变量名,tip,tip_tw,tip_en,tip_kr,monRes
默认值,,,,,
ID,tip,tip,tip,tip_韩,展示人物资源
1,小提示：主场景中似乎有一只害羞的谜拟Q会偶尔出现的样子,小提示：主場景中似乎有一隻害羞的謎擬Q會偶爾出現的樣子,Tip: A shy Mimikyu seems to appear occasionally in the main scene.,??: ?? ???? ???? ???? ??? ?????.,
2,小提示：百变怪也想和大伙儿们一起玩，但是它似乎还不会变眼睛,小提示：百變怪也想和大夥兒們一起玩，但是它似乎還不會變眼睛,"Tip: Ditto also wants to play with everyone, but it can't seem to change its eyes yet","""??: ???? ?? ???? ?? ?????, ?? ??? ??? ?? ??? ????.""",
3,小提示：个人形象加成的属性解锁后即生效了哦,小提示：個人形象加成的屬性解鎖後即生效了哦,Tip: Personal image bonus stats become effective immediately after unlocking,??: ?? ??? ???? ??? ?? ?? ?????.,
4,小提示：解锁精灵的图鉴后可以使用该精灵作为头像,小提示：解鎖精靈的圖鑒後可以使用該精靈作為頭像,"Tip: After unlocking a Pokémon in the Pokédex, you may use its avatar as your profile picture.",??: ??? ?? ?? ? ?? ???? ???? ??? ? ????.,
5,小提示：可以在设置中控制运行帧率,小提示：可以在設置中控制運行幀率,Tip: You can change the operating frame rate in the settings,??: ???? ???? ??? ? ????.,
6,小提示：限时称号到期后就无法使用了,小提示：限時稱號到期後就無法使用了,Tip: Time-limited titles cannot be used when has expired.,??: ?? ??? ???? ??? ? ????.,
7,小提示：听说有人打完关卡后发现了一个神秘的商店,小提示：聽說有人打完關卡後發現了一個神秘的商店,Tip: I heard that someone found a Mystery Shop after clearing all the levels.,??: ??? ????? ???? ? ??? ??? ????? ???.,
8,小提示：长按体力条可以看到体力恢复情况,小提示：長按體力條可以看到體力恢復情況,Tip: Long press energy bar to check your energy recovery status,??: ?? ?? ?? ???? ?? ?? ??? ??? ? ????.,
9,小提示：通关关卡后，别忘了看看地图上有没有散落的小宝箱,小提示：通關關卡後，別忘了看看地圖上有沒有散落的小寶箱,"Tip: After clearing the level, don't forget to check if there are any chests to be collected",??: ???? ??? ? ??? ??? ????? ??? ?????.,
10,小提示：千万别错过每天的奖励副本,小提示：千萬別錯過每天的獎勵副本,Tip: Don't forget to clear the daily reward dungeon,??: ?? ?? ??? ?? ?? ???.,
11,小提示：金币活动本造成的伤害越多，可以拿到的金币就越多哦,小提示：金幣活動本造成的傷害越多，可以拿到的金幣就越多哦,"Tip: The more damage you deal in the Coin Event, the more coins you get",??: ?? ?????? ??? ??? ??? ???? ??? ?????.,
12,小提示：礼物活动本的怪物有时会免疫物理伤害，有时会免疫特攻伤害，要看清楚哦,小提示：禮物活動本的怪物有時會免疫物理傷害，有時會免疫特攻傷害，要看清楚哦,"Tip: The monsters in the Gift Event Dungeon are sometimes immune to P.ATK and SP.ATK,  so do be careful!",??: ?? ???? ???? ??? ?? ?? ???? ??? ???? ? ???? ???.,
13,小提示：使用和碎片活动本相同系列的精灵去挑战可以获得额外奖励哦,小提示：使用和碎片活動本相同系列的精靈去挑戰可以獲得額外獎勵哦,Tip: Use Pokémons that are of the same series as the Shard Event Book in the challenge to get extra rewards.,??: ?? ???? ?? ??? ???? ??? ???? ?? ??? ??? ? ????.,
14,小提示：如果没有将主城阵容同步到竞技场防守阵容，记得常去看看调整调整,小提示：如果沒有將主城陣容同步到競技場防守陣容，記得常去看看調整調整,Tip: Remember to adjust and sync your Main City line-up with your Arena Defense line-up.,??: ?? ?? ???? ??? ?? ???? ?? ?????? ???.,
15,小提示：快去加入一个公会，寻找志同道合的伙伴吧,小提示：快去加入一個公會，尋找志同道合的夥伴吧,"Tip: Hurry, join a union and find like-minded companions!",??: ?? ??? ??? ?? ?? ???? ?? ???.,
16,小提示：精灵等级不能超过训练家的等级哦,小提示：精靈等級不能超過訓練家的等級哦,Tip: The Pokémon level cannot exceed the level of the trainer.,??: ??? ??? ???? ???? ?? ? ????.,
17,小提示：公会副本的通关奖励统一在右下角，千万别忘了哦,小提示：公會副本的通關獎勵統一在右下角，千萬別忘了哦,Tip: Don't forget to claim the union War Rewards at the bottom right hand corner!,??: ?? ??? ??? ??? ?? ?? ??? ????.,
18,小提示：训练中心中的单只精灵每天最多获得6次加速的经验哦,小提示：訓練中心中的單只精靈每天最多獲得6次加速的經驗哦,Tip: A single Pokémon in the Training Center can gain up to EXP time boost per day.,??: ?? ??? ?? ???? ?? ?? 6? ?? ???? ??? ? ????.,
19,小提示：获得红包后记得发放，发红包是免费的，记得和大家分享,小提示：獲得紅包後記得發放，發紅包是免費的，記得和大家分享,"Tip: Remember to distribute the Red Packet after getting it. It's free anyway, do share it with everyone",??: ??? ?? ? ???? ?? ?? ???. ??? ??? ?????.,
20,小提示：更换公会后，会有很多建筑当天是没办法使用的，谨慎操作哦,小提示：更換公會後，會有很多建築當天是沒辦法使用的，謹慎操作哦,"Tip: Note that after changing union, there will be many buildings that cannot be used on the day. ",??: ?? ?? ? ?? ??? ??? ??? ? ????.,
21,小提示：传说看到凤王的人能够获得永远的幸福,小提示：傳說看到鳳王的人能夠獲得永遠的幸福,Tip: Legend has it that anyone who sees Ho-Oh can gain eternal happiness.,??: ??? ??? ???? ? ??? ??? ??? ????? ???.,
22,小提示：玩家等级达到20级时可开启战斗3倍速,小提示：玩家等級達到20級時可開啟戰鬥3倍速,Tip: Trainers can enable 3x battle speed when they reach level 20,??: ??? 20??? ???? ?? 3??? ??? ? ????.,
