变量名,_mailType,tab,icon,sender,subject,content,attachs,special
默认值,,2,,"""""","""""","""""",{},FALSE
ID,邮件功能（备注）,邮件类型1.通知2.系统,邮件图标,发件人名称,标题,内容,附件,是否特殊邮件
1,系统邮件,1,,小秘书,系统邮件,,,
2,GM邮件,2,,大罗罗,GM邮件,,,
3,竞技场奖励邮件,2,,竞技场管理员,竞技场结算奖励,亲爱的小伙伴:\n    您在竞技场中的表现精彩绝伦，截止到今天21:00，您的名次是%d，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
4,考古矿洞结算邮件,2,,废弃,矿洞采干了！,亲爱的小伙伴:\n    您的矿洞已经被采干了，%s产出奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
5,考古矿洞被抢夺结算邮件,2,,废弃,矿洞被抢了！,亲爱的小伙伴:\n    您的矿洞已经被%s抢占了，%s产出奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
6,无尽之塔结算奖励,2,,无尽之塔守护者,无尽之塔结算奖励,亲爱的小伙伴:\n    您的表现精彩绝伦，今天在无尽之塔的名次是%d，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
7,每日登陆奖励,2,,小秘书,每日登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{rmb=3000;gold=100000;vip=5},
8,每日登陆奖励,2,,小秘书,每日登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{rmb=3000;gold=100000;vip=3},
9,每日登陆奖励,2,,小秘书,每日登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{rmb=3000;gold=100000;vip=5},
10,每日登陆奖励,2,,小秘书,每日登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{rmb=3000;gold=100000;vip=7},
11,测试礼包发放邮件,2,,小秘书,测试礼包，测试专用,,{37=99},
12,补偿邮件,2,,羞愧的程序猿,“给您跪了”补偿礼包,亲爱的小伙伴:\n    现在服务器已维护完毕！由于我们的工作人员打开了“暗黑之门”，放出了很多BUG，给您造成了不必要麻烦和损失，现特此对您进行补偿，补偿内容已随邮件发送，请及时查收。\n    首次测试，希望获得您的谅解!,{rmb=300;gold=50000},
13,系统邮件,2,,小秘书,系统公告,亲爱的小伙伴:\n    为了能让您更流畅的体验游戏，服务器将在16:30——16:45重启，进行部分问题修复。重新开服后，补偿奖励将会发送到您的邮箱中，届时，请您及时查收。\n    祝您游戏愉快!,,
14,系统邮件,2,,小秘书,“传家宝”礼包,亲爱的小伙伴:\n    请您谅解这份迟来的传家包礼包，但该来的总会来，神秘的“传家宝”礼包已随邮件发送，请及时查收。\n    祝您游戏愉快!,{40=1},
