变量名,key,_beizhu,sortValue,waitTime,isActive
默认值,"""""",,1,20,0
ID,触发key（唯一）,备注,优先级(大的优先),有效时长（min）,是否激活
,,,,,
1,drawCard,钻石抽卡,5,,1
2,limitDrawCardUp,限定抽卡UP,1,,1
3,drawHoldItem,抽携带道具,4,,1
4,capture,捕捉,3,,1
5,pvpTopRank,竞技场冠军,8,,1
6,limitDrawCard,魂匣获得S+,6,,1
7,limitBox,限时神兽,7,,1
8,randomTowerPass,以太乐园全通关,9,,1
9,endlessTowerPass,冒险之路通关达到X,10,,1
10,cardStar,精灵培养到6星及以上,11,,1
11,fragCombCard,S+精灵碎片合成,12,,1
12,pvpTopRankLast,竞技场结算第一,12,,1
13,craftTopRank,石英结算第一,12,,1
14,cardInLimitCard,限时神兽拿到S+,12,,1
15,crossArenaTopRank,跨服竞技场结算第一,12,,1
16,crossArenaTopHistoryRefresh,跨服竞技场精彩战报刷新,12,,1
17,crossMineTopHistoryRefresh,跨服资源战精彩战报刷新,12,,1
18,serverLog,服务器维护信息,13,,1
19,groupDrawCardUp,自选抽卡UP,2,,1
