变量名,sort,res,attrNum2,attrType2,attrNum3,attrType3,targetTextShow,showShadow,attrNum1,attrType1,hidedesc,desc,targetArg,type,medalName,medalID,targetType,targetArgSpecial,award,pos,languages
默认值,0,"""""","""""",0,"""""",0,0,0.1,"""""",0,"""""","""""",0,0,"""""",0,0,{},{},{x=0;y=0},<cn>
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
,,,,,,,,,,,,,,,,,,,,,
1001,1,city/medal/icon/medal_1.png,,,,,,1,800,1,完成每日任务拿到最大的宝箱，这对训练家的培养精灵非常重要，坚持约百余天，任务也就完成啦！,每日在日常任务内领取最高活跃度宝箱累计10天,10,2,宝箱，一个都不能少,1,1,,{453=200;rmb=100},{x=15;y=0},
1011,1,city/medal/icon/medal_8.png,300,8,,,,1,300,7,,签到累计达到10天,10,1,坚持…就是胜利！,2,2,,{stamina=150;gold=1000000},{x=15;y=0},
1021,1,city/medal/icon/medal_4.png,200,10,,,,1,200,9,我的形象展示在主界面上，点我能为你带来便利，要每天都使用我一下，大约百余天，就能来领任务奖励咯,每日使用托洛姆-日常小助手达到150天,150,2,得力助手,3,3,,{stamina=150;gold=1000000},,
1031,1,city/medal/icon/medal_6.png,,,,,,1,1120,1,,符石内累计钻石抽卡1000次,1000,1,符石奖池装了啥？,4,4,,{529=2000;531=5},,
1041,1,city/medal/icon/medal_18.png,420,8,,,,1,420,7,,秘境图腾内累计抽卡1000次,1000,1,图腾奖池装了啥？,5,5,,{541=5;gold=1000000},{x=-22;y=0},
1051,1,city/medal/icon/medal_22.png,,,,,,1,1120,1,,芯片内累计钻石抽卡1000次,1000,1,芯片奖池装了啥？,6,6,,{124=20;121=5},{x=20;y=0},
1061,1,city/medal/icon/medal_21.png,420,8,,,,1,420,7,符石、探险器、图腾、芯片，攒的钻石总是要抽满爽一爽！等抽满的次数两只手都数完了，任务自然完成，而且...万一能出什么好东西呢？,养成内的符石、探险器、图腾、芯片，以上任何一项抽卡达到当日上限，累计10次,10,2,无限！,7,7,,{541=3;531=3;503=3;520=3},,
