变量名,cost1,cost2,cost3,cost7,cost5,cost4,cost6
默认值,{gold=50000;151=5},{gold=50000;151=14},{gold=50000;151=18},{gold=50000;151=22},{gold=50000;151=26},{gold=50000;151=26},{gold=50000;151=22}
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值
0,{gold=300000;161=100},{gold=330000;161=110},{gold=360000;161=120},{gold=630000;161=210},{gold=450000;161=150},{gold=390000;161=130},{gold=540000;161=180}
1,{gold=360000;161=125},{gold=396000;161=140},{gold=432000;161=150},{gold=756000;161=265},{gold=540000;161=190},{gold=468000;161=165},{gold=648000;161=225}
2,{501=1;gold=420000;161=150},{501=1;gold=462000;161=165},{501=1;gold=504000;161=180},{gold=882000;161=315},{501=1;gold=630000;161=225},{501=1;gold=546000;161=195},{gold=756000;161=270}
3,{gold=480000;502=2;161=175},{gold=528000;502=2;161=195},{gold=576000;502=2;161=210},{gold=1008000;502=2;161=370},{gold=720000;502=2;161=265},{gold=624000;502=2;161=230},{gold=864000;502=3;161=315}
4,{gold=540000;161=200},{gold=594000;161=220},{gold=648000;161=240},{gold=1134000;161=420},{gold=810000;161=300},{gold=702000;161=260},{gold=972000;161=360}
5,{501=1;gold=600000;161=225},{501=1;gold=660000;161=250},{501=1;gold=720000;161=270},{501=1;gold=1260000;161=475},{501=1;gold=900000;161=340},{501=1;gold=780000;161=295},{501=1;gold=1080000;161=405}
6,{gold=660000;502=2;161=250},{gold=726000;502=2;161=275},{gold=792000;502=2;161=300},{gold=1386000;502=2;161=525},{gold=990000;502=2;161=375},{gold=858000;502=2;161=325},{gold=1188000;502=3;161=450}
7,{gold=720000;161=275},{gold=792000;161=305},{gold=864000;161=330},{501=1;gold=1512000;161=580},{gold=1080000;161=415},{gold=936000;161=360},{501=1;gold=1296000;161=495}
8,{501=1;gold=780000;161=300},{501=1;gold=858000;161=330},{501=1;gold=936000;161=360},{gold=1638000;161=630},{501=1;gold=1170000;161=450},{501=1;gold=1014000;161=390},{gold=1404000;161=540}
9,{gold=840000;502=2;161=325},{gold=924000;502=2;161=360},{gold=1008000;502=2;161=390},{161=685;501=1;502=2;gold=1764000},{gold=1260000;502=2;161=490},{gold=1092000;502=2;161=425},{161=585;501=1;502=3;gold=1512000}
10,{gold=900000;161=350},{gold=990000;161=385},{gold=1080000;161=420},{gold=1890000;161=735},{gold=1350000;161=525},{gold=1170000;161=455},{gold=1620000;161=630}
11,{501=1;gold=960000;161=375},{501=1;gold=1056000;161=415},{501=1;gold=1152000;161=450},{501=1;gold=2016000;161=790},{501=1;gold=1440000;161=565},{501=1;gold=1248000;161=490},{501=1;gold=1728000;161=675}
