变量名,specialLimitType,desc,weight,group,specialLimitParameter
默认值,0,"""""",100,1,{}
ID,默认值,默认值,默认值,默认值,默认值
101,2,限定上阵自然属性：%s,,,{natureTypes=<1;2;3;4;6;7;8>}
102,2,限定上阵自然属性：%s,,,{natureTypes=<13;14;15;17;18>}
103,2,限定上阵自然属性：%s,,,{natureTypes=<2;5;6;9;10;11;12>}
104,2,限定上阵自然属性：%s,,,{natureTypes=<9;11;12;14;16>}
105,2,限定上阵自然属性：%s,,,{natureTypes=<1;3;4;5;7;8;13>}
106,2,限定上阵自然属性：%s,,,{natureTypes=<13;15;16;17;18>}
201,3,限定上阵稀有度：%s的精灵不超过%s只,,,{count=5;rarities=<4;5>}
202,3,限定上阵稀有度：%s的精灵不超过%s只,,,{count=4;rarities=<4;5>}
301,1,限定上阵稀有度：%s,,,{rarities=<3;4>}
401,4,不可上阵：%s,,,{cardIDs=<1982;3632;3601;7011>}
402,4,不可上阵：%s,,,{cardIDs=<4121;3632;3601;7011>}
403,4,不可上阵：%s,,,{cardIDs=<1962;3632;3601;3651>}
404,4,不可上阵：%s,,,{cardIDs=<1982;4121;3601;7011>}
601,8,#F42##C0x5B545B#上阵%s的精灵数量大于等于%s人时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{count=2;natureTypes=<1;16;17>;skillIDs=<260111>}
602,8,#F42##C0x5B545B#上阵%s的精灵数量大于等于%s人时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{count=2;natureTypes=<1;4;16>;skillIDs=<260111>}
701,9,#F42##C0x5B545B#上阵 %s自然属性之一的精灵时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{natureTypes=<7;12;14;15>;skillIDs=<260112>}
702,9,#F42##C0x5B545B#上阵 %s自然属性之一的精灵时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{natureTypes=<7;12;14;15>;skillIDs=<260112>}
801,8,#F42##C0x5B545B#上阵%s的数量大于等于%s人时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{count=2;natureTypes=<13;16;17>;skillIDs=<260211>}
802,8,#F42##C0x5B545B#上阵%s的数量大于等于%s人时%s解锁#C0xFF9019#%s#C0x5B546B#技能,,,{count=2;natureTypes=<13;15;17>;skillIDs=<260211>}
901,9,#F42##C0x5B545B#上阵 %s自然属性之一的精灵时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{natureTypes=<2;3;4;10>;skillIDs=<260212>}
902,9,#F42##C0x5B545B#上阵 %s自然属性之一的精灵时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{natureTypes=<3;6;4;10>;skillIDs=<260212>}
1001,8,#F42##C0x5B545B#上阵%s的数量大于等于%s人时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{count=2;natureTypes=<1;2;10;14>;skillIDs=<260311>}
1002,8,#F42##C0x5B545B#上阵%s的数量大于等于%s人时%s解锁#C0xFF9019#%s#C0x5B546B#技能,,,{count=2;natureTypes=<2;3;10;17>;skillIDs=<260311>}
1101,9,#F42##C0x5B545B#上阵 %s自然属性之一的精灵时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{natureTypes=<3;5;7;11>;skillIDs=<260312>}
1102,9,#F42##C0x5B545B#上阵 %s自然属性之一的精灵时%s解锁#C0xFF9019#%s#C0x5B545B#技能,,,{natureTypes=<3;4;15;17>;skillIDs=<260312>}
