变量名,index,threshold,level
默认值,0,0,0
ID,索引,阈值,等级
1,1,30000000,
2,1,30600000,6
3,1,31210000,12
4,1,31830000,18
5,1,32470000,24
6,1,33120000,30
7,1,33780000,36
8,1,34460000,42
9,1,35150000,48
10,1,35850000,54
11,1,36570000,60
12,1,37300000,66
13,1,38050000,72
14,1,38810000,78
15,1,39590000,84
16,1,40380000,90
17,1,41190000,96
18,1,42010000,102
19,1,42850000,108
20,1,43710000,114
21,1,44580000,120
22,1,45470000,126
23,1,46380000,132
24,1,47310000,138
25,1,48260000,144
26,1,49230000,150
27,1,50210000,156
28,1,51210000,162
29,1,52230000,168
30,1,53270000,174
31,1,54180000,180
32,1,55100000,186
33,1,56040000,192
34,1,56990000,198
35,1,57960000,204
36,1,58950000,210
37,1,59950000,216
38,1,60970000,222
39,1,62010000,228
40,1,63060000,234
41,1,64130000,240
42,1,65220000,246
43,1,66330000,252
44,1,67460000,258
45,1,68610000,264
46,1,69780000,270
47,1,70970000,276
48,1,72180000,282
49,1,73410000,288
50,1,74660000,294
51,1,75930000,300
52,1,77220000,306
53,1,78530000,312
54,1,79870000,318
55,1,81230000,324
56,1,82610000,330
57,1,84010000,336
58,1,85440000,342
59,1,86890000,348
60,1,88370000,354
61,1,89610000,360
62,1,90860000,366
63,1,92130000,372
64,1,93420000,378
65,1,94730000,384
66,1,96060000,390
67,1,97400000,396
68,1,98760000,402
69,1,100140000,408
70,1,101540000,414
71,1,102960000,420
72,1,104400000,426
73,1,105860000,432
74,1,107340000,438
75,1,108840000,444
76,1,110360000,450
77,1,111910000,456
78,1,113480000,462
79,1,115070000,468
80,1,116680000,474
81,1,118310000,480
82,1,119970000,486
83,1,121650000,492
84,1,123350000,498
85,1,125080000,504
86,1,126830000,510
87,1,128610000,516
88,1,130410000,522
89,1,132240000,528
90,1,134090000,534
91,1,135430000,540
92,1,136780000,546
93,1,138150000,552
94,1,139530000,558
95,1,140930000,564
96,1,142340000,570
97,1,143760000,576
98,1,145200000,582
99,1,146650000,588
100,1,148120000,594
101,1,149600000,600
102,1,151100000,606
103,1,152610000,612
104,1,154140000,618
105,1,155680000,624
106,1,157240000,630
107,1,158810000,636
108,1,160400000,642
109,1,162000000,648
110,1,163620000,654
111,1,165260000,660
112,1,166910000,666
113,1,168580000,672
114,1,170270000,678
115,1,171970000,684
116,1,173690000,690
117,1,175430000,696
118,1,177180000,702
119,1,178950000,708
120,1,180740000,714
121,1,181820000,720
122,1,182910000,726
123,1,184010000,732
124,1,185110000,738
125,1,186220000,744
126,1,187340000,750
127,1,188460000,756
128,1,189590000,762
129,1,190730000,768
130,1,191870000,774
131,1,193020000,780
132,1,194180000,786
133,1,195350000,792
134,1,196520000,798
135,1,197700000,804
136,1,198890000,810
137,1,200080000,816
138,1,201280000,822
139,1,202490000,828
140,1,203700000,834
141,1,204920000,840
142,1,206150000,846
143,1,207390000,852
144,1,208630000,858
145,1,209880000,864
146,1,211140000,870
147,1,212410000,876
148,1,213680000,882
149,1,214960000,888
150,1,216250000,894
151,1,216680000,900
