变量名,index,damageRange,bossID,scoresCoefficient
默认值,0,0,0,0
ID,索引,伤害范围,BossID,分数系数
1,1,300000,1,0.1291
2,1,600000,1,0.1455
3,1,1000000,1,0.1645
4,1,1400000,1,0.1836
5,1,1800000,1,0.2018
6,1,2200000,1,0.22
7,1,2600000,1,0.2373
8,1,3000000,1,0.2545
9,1,3500000,1,0.2736
10,1,4000000,1,0.2927
11,1,4500000,1,0.31
12,1,5000000,1,0.32
13,1,5500000,1,0.3291
14,1,6100000,1,0.34
15,1,6700000,1,0.35
16,1,7300000,1,0.3591
17,1,8000000,1,0.37
18,1,8700000,1,0.3809
19,1,9400000,1,0.3909
20,1,10200000,1,0.4018
21,1,11000000,1,0.4118
22,1,12000000,1,0.4255
23,1,13000000,1,0.4373
24,1,14200000,1,0.4518
25,1,15400000,1,0.4664
26,1,16900000,1,0.4836
27,1,18400000,1,0.5
28,1,20400000,1,0.5227
29,1,22400000,1,0.5445
30,1,24900000,1,0.5718
31,1,27400000,1,0.5991
32,1,30400000,1,0.6309
33,1,33400000,1,0.6636
34,1,36900000,1,0.7009
35,1,40400000,1,0.7382
36,1,44400000,1,0.78
37,1,48400000,1,0.8227
38,1,52900000,1,0.87
39,1,57400000,1,0.9182
40,1,62400000,1,0.9709
41,1,67400000,1,1.0236
42,1,72900000,1,1.0827
43,1,78400000,1,1.1409
44,1,84400000,1,1.2045
45,1,90400000,1,1.2682
46,1,96900000,1,1.3364
47,1,103400000,1,1.4055
48,1,110400000,1,1.48
49,1,117400000,1,1.5536
50,1,124900000,1,1.6291
51,2,300000,1,0.1936
52,2,600000,1,0.2182
53,2,1000000,1,0.2473
54,2,1400000,1,0.2755
55,2,1800000,1,0.3027
56,2,2200000,1,0.33
57,2,2600000,1,0.3564
58,2,3000000,1,0.3827
59,2,3500000,1,0.4109
60,2,4000000,1,0.4382
61,2,4500000,1,0.4655
62,2,5000000,1,0.48
63,2,5500000,1,0.4936
64,2,6100000,1,0.5091
65,2,6700000,1,0.5245
66,2,7300000,1,0.5391
67,2,8000000,1,0.5555
68,2,8700000,1,0.5709
69,2,9400000,1,0.5855
70,2,10200000,1,0.6018
71,2,11000000,1,0.6182
72,2,12000000,1,0.6373
73,2,13000000,1,0.6564
74,2,14200000,1,0.6782
75,2,15400000,1,0.6991
76,2,16900000,1,0.7255
77,2,18400000,1,0.7509
78,2,20400000,1,0.7836
79,2,22400000,1,0.8164
80,2,24900000,1,0.8573
81,2,27400000,1,0.8982
82,2,30400000,1,0.9464
83,2,33400000,1,0.9945
84,2,36900000,1,1.0509
85,2,40400000,1,1.1064
86,2,44400000,1,1.17
87,2,48400000,1,1.2336
88,2,52900000,1,1.3055
89,2,57400000,1,1.3773
90,2,62400000,1,1.4564
91,2,67400000,1,1.5364
92,2,72900000,1,1.6236
93,2,78400000,1,1.7109
94,2,84400000,1,1.8064
95,2,90400000,1,1.9018
96,2,96900000,1,2.0055
97,2,103400000,1,2.1082
98,2,110400000,1,2.22
99,2,117400000,1,2.3309
100,2,124900000,1,2.4436
101,3,300000,1,0.3227
102,3,600000,1,0.3645
103,3,1000000,1,0.4118
104,3,1400000,1,0.4591
105,3,1800000,1,0.5055
106,3,2200000,1,0.55
107,3,2600000,1,0.5945
108,3,3000000,1,0.6373
109,3,3500000,1,0.6845
110,3,4000000,1,0.7309
111,3,4500000,1,0.7764
112,3,5000000,1,0.8
113,3,5500000,1,0.8227
114,3,6100000,1,0.8491
115,3,6700000,1,0.8745
116,3,7300000,1,0.8991
117,3,8000000,1,0.9255
118,3,8700000,1,0.9518
