变量名,dropTriggerTimes,probInit,probStep,lotteryWeight3,lotteryWeight9,probEffectInterval,probMiniTimes,lotteryWeight7,dropTriggerType,effectLimit,lotteryWeight8,probLimit,lotteryWeight5,lotteryWeight10,lotteryWeight6,scoresCondition,lotteryWeight4,lotteryWeight1,lotteryWeight2,bossID,lotteryType1,lotteryType2,lotteryType3,lotteryType4,lotteryType5,lotteryType6,lotteryType7,lotteryType8,lotteryType9,lotteryType10
默认值,0,0,0.01,0,0,50,30,0,0,0,0,0.2,0,0,0,0,0,0,0,0,{},{},{},{},{},{},{},{},{},{}
ID,掉落触发次数,初始概率,概率增长,抽奖权重3,抽奖权重9,概率生效间隔,概率最小次数,抽奖权重7,掉落触发类型,效果限制,抽奖权重8,概率上限,抽奖权重5,抽奖权重10,抽奖权重6,分数条件,抽奖权重4,抽奖权重1,抽奖权重2,BossID,抽奖类型1,抽奖类型2,抽奖类型3,抽奖类型4,抽奖类型5,抽奖类型6,抽奖类型7,抽奖类型8,抽奖类型9,抽奖类型10
301,,,,,,,,,,,,,,,,30000,,100,,,{3=1},,,,,,,,,
302,,,,,,,,,,,,,,,,60000,,100,,,{4=1},,,,,,,,,
303,,,,,,,,,,,,,,,,100000,,100,60,,{3=1},{4=1},,,,,,,,
304,,,,,,,,,,,,,,,,180000,,100,,,{5=1},,,,,,,,,
1001,27,0.15,0.15,,,,6,,1,1,,1,,,,,,100,,,{5=1},,,,,,,,,
1002,10,0.2,0.2,,,,4,,1,1,,1,,,,,,100,,1,{5=1},,,,,,,,,
1003,3,0.2,0.2,,,5,4,,1,,,1,,,,,,100,40,,{3=1},{4=1},,,,,,,,
1004,3,0.14,0.14,,,8,7,,1,,,1,,,,,,100,,,{2=1},,,,,,,,,
1005,1,0.4,0.3,,,,3,,1,1,,1,,,,,,100,,,{2=1},,,,,,,,,
1101,1,,,35,,,,,,2,,,,,,,,,65,,{},{1=1},{2=1},,,,,,,
1102,24,,,80,,,,,,,,,10,,2,,10,10,110,,{},{1=1},{2=1},{3=1},{4=1},{5=1},,,,
1103,12,,,40,,,,,,,,,,,,,10,5,55,,{},{1=1},{2=1},{3=1},,,,,,
1104,3,,,40,,,,,,,,,,,,,,5,55,,{},{1=1},{2=1},,,,,,,
2002,10,0.2,0.2,,,,4,,1,1,,1,,,,,,100,,2,{5=1},,,,,,,,,
