变量名,star,advance,level,megaIndex,markID,blockPower,breakBlock,cardID,strikeDamage,strike,block,strikeResistance,damageAdd,damageSub,mainSkillAdd,mainSkillSub,speedRate,equipAwake,equipLevel,equipStar,equipAdvance,fetters,specialDefence,specialDamage,hp,defence,damage,skillLevels,abilities,nvalue,languages
默认值,8,17,100,0,0,"""""","""""",0,"""""","""""","""""","""""","""""","""""","""""","""""",0,5,105,5,16,TRUE,"""""","""""","""""","""""","""""",<100;100;100;100;100;100>,<20;20;20;20;20;20;20;20;20;20>,{speed=31;damage=31;specialDefence=31;specialDamage=31;hp=31;defence=31},<cn;kr;tw;en;en_us;en_eu>
ID,星级,进阶,等级,mega索引,标记ID,格挡强度,破格挡,卡牌ID,击破伤害,击破,格挡,击破抗性,伤害加成,伤害减免,主技能加成,主技能减免,速度倍率,装备觉醒,装备等级,装备星级,装备进阶,羁绊,特防,特攻,生命,防御,攻击,技能等级,能力,N值,语言
1001,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
1002,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
1003,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
1004,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,
1006,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,
1007,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,
1009,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,
1010,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,
1012,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,
1013,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,
1015,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,
1016,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,
1017,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,
1018,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,
1019,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,
1020,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,
1022,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,
1024,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,212,,,,,,,,,,,,,,,,,,,,<100;100;100;100;100;100;100>,,,
1026,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,
1027,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,
1028,,,,,,,,242,,,,,,,,,,,,,,,,,,,,,,,
1029,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,
1030,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,
1031,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,
1032,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,
1033,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,,
1034,,,,,,,,283,,,,,,,,,,,,,,,,,,,,,,,
1035,,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,
1036,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,
1037,,,,,,,,333,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,
1039,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,
1040,,,,,,,,372,,,,,,,,,,,,,,,,,,,,,,,
1041,,,,,,,,382,,,,,,,,,,,,,,,,,,,,,,,
1042,,,,,,,,393,,,,,,,,,,,,,,,,,,,,,,,
1043,,,,,,,,394,,,,,,,,,,,,,,,,,,,,,,,
1044,,,,,,,,402,,,,,,,,,,,,,,,,,,,,,,,
1045,,,,,,,,403,,,,,,,,,,,,,,,,,,,,,,,
1046,,,,,,,,442,,,,,,,,,,,,,,,,,,,,,,,
1047,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,
1048,,,,,,,,462,,,,,,,,,,,,,,,,,,,,,,,
1049,,,,,,,,463,,,,,,,,,,,,,,,,,,,,,,,
1050,,,,,,,,464,,,,,,,,,,,,,,,,,,,,,,,
1051,,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,
1052,,,,,,,,482,,,,,,,,,,,,,,,,,,,,,,,
1053,,,,,,,,493,,,,,,,,,,,,,,,,,,,,,,,
1054,,,,,,,,503,,,,,,,,,,,,,,,,,,,,,,,
1055,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,
1056,,,,,,,,552,,,,,,,,,,,,,,,,,,,,,,,
1057,,,,,,,,562,,,,,,,,,,,,,,,,,,,,,,,
1058,,,,,,,,572,,,,,,,,,,,,,,,,,,,,,,,
1059,,,,,,,,574,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,,593,,,,,,,,,,,,,,,,,,,,,,,
1061,,,,,,,,603,,,,,,,,,,,,,,,,,,,,,,,
1062,,,,,,,,611,,,,,,,,,,,,,,,,,,,,,,,
1063,,,,,,,,631,,,,,,,,,,,,,,,,,,,,,,,
1064,,,,,,,,632,,,,,,,,,,,,,,,,,,,,,,,
1065,,,,,,,,641,,,,,,,,,,,,,,,,,,,,,,,
1066,,,,,,,,692,,,,,,,,,,,,,,,,,,,,,,,
