变量名,issue,openBosses,extraCoefficient,languages
默认值,0,{},{},<cn;tw;en;kr;en_us;en_eu>
ID,期数,开放的Boss,额外系数,语言
1,1,{1=601;2=802},{1=1.1;2=0.891},<cn;kr;tw;en;en_us>
2,2,{1=602;3=1001},{1=1.1;3=1},<cn;kr;tw;en;en_us>
3,3,{2=801;3=1002},{2=0.891;3=1},<cn;kr;tw;en;en_us>
4,4,{1=701;2=902},{1=1.1;2=0.891},<cn;kr;tw;en;en_us>
5,5,{1=702;3=1101},{1=1.1;3=1},<cn;kr;tw;en;en_us>
6,6,{2=901;3=1102},{2=0.891;3=1},<cn;kr;tw;en;en_us>
7,7,{1=602;2=901},{1=1.1;2=0.891},<cn;kr;tw;en;en_us>
8,8,{1=701;3=1002},{1=1.1;3=1},<cn;kr;tw;en;en_us>
9,9,{2=802;3=1101},{2=0.891;3=1},<cn;kr;tw;en;en_us>
10,10,{1=702;2=801},{1=1.1;2=0.891},<cn;kr;tw;en;en_us>
11,11,{1=601;3=1102},{1=1.1;3=1},<cn;kr;tw;en;en_us>
12,12,{2=902;3=1001},{2=0.891;3=1},<cn;kr;tw;en;en_us>
13,13,{1=601;2=901},{1=1.1;2=0.891},<cn;kr;tw;en;en_us>
14,14,{1=701;3=1001},{1=1.1;3=1},<cn;kr;tw;en;en_us>
15,15,{2=801;3=1101},{2=0.891;3=1},<cn;kr;tw;en;en_us>
16,16,{1=602;2=902},{1=1.1;2=0.891},<cn;kr;tw;en;en_us>
17,17,{1=702;3=1002},{1=1.1;3=1},<cn;kr;tw;en;en_us>
18,18,{2=802;3=1102},{2=0.891;3=1},<cn;kr;tw;en;en_us>
19,19,{1=701;2=802},{1=1.1;2=0.891},<cn;kr;tw;en;en_us>
20,20,{1=602;3=1101},{1=1.1;3=1},<cn;kr;tw;en;en_us>
21,21,{2=901;3=1002},{2=0.891;3=1},<cn;kr;tw;en;en_us>
22,22,{1=702;2=801},{1=1.1;2=0.891},<cn;kr;tw;en;en_us>
23,23,{1=601;3=1102},{1=1.1;3=1},<cn;kr;tw;en;en_us>
24,24,{2=902;3=1001},{2=0.891;3=1},<cn;kr;tw;en;en_us>
