变量名,rankMax,award
默认值,0,{}
ID,排名上限,奖励
1,1,{15=30;161=850;gold=2000000;rmb=200}
2,2,{15=27;161=750;gold=1800000;rmb=180}
3,3,{15=24;161=660;gold=1600000;rmb=160}
4,6,{15=22;161=610;gold=1400000;rmb=140}
5,10,{15=20;161=560;gold=1200000;rmb=120}
6,30,{15=18;161=510;gold=1120000;rmb=100}
7,60,{15=16;161=460;gold=1040000;rmb=90}
8,100,{15=14;161=430;gold=960000;rmb=80}
9,300,{15=13;161=400;gold=880000;rmb=70}
10,600,{15=12;161=360;gold=800000;rmb=60}
11,1000,{15=11;161=330;gold=720000;rmb=55}
12,99999,{15=10;161=300;gold=640000;rmb=50}
