变量名,targetArg,mimicryAchievement,type,targetArg2,specialArg,award,languages
默认值,0,"""""",1,0,<>,{},<cn>
ID,目标参数,拟态成就名称,类型,目标参数2,特殊参数,奖励,语言
1001,,挑战拟态首领5次,5,5,,{161=30;59002=2;gold=50000},<cn;kr;tw;en;en_us>
1002,,挑战拟态首领10次,5,10,,{161=30;59002=2;gold=50000},<cn;kr;tw;en;en_us>
1003,,挑战拟态首领15次,5,15,,{161=30;59003=1;gold=50000},<cn;kr;tw;en;en_us>
1004,,挑战拟态首领20次,5,20,,{161=30;59003=1;gold=50000},<cn;kr;tw;en;en_us>
1101,1,本期获得绿色品质的首领增益4个,2,4,,{161=20;901=5;gold=50000},<cn;kr;tw;en;en_us>
1102,1,本期获得绿色品质的首领增益8个,2,8,,{161=20;901=10;gold=50000},<cn;kr;tw;en;en_us>
1111,2,本期获得蓝色品质的首领增益3个,2,3,,{161=20;901=5;gold=50000},<cn;kr;tw;en;en_us>
1112,2,本期获得蓝色品质的首领增益6个,2,6,,{161=20;901=10;gold=50000},<cn;kr;tw;en;en_us>
1121,3,本期获得紫色品质的首领增益2个,2,2,,{161=20;930=20;gold=50000},<cn;kr;tw;en;en_us>
1122,3,本期获得紫色品质的首领增益4个,2,4,,{161=20;930=20;gold=50000},<cn;kr;tw;en;en_us>
1131,4,本期获得橙色品质的首领增益1个,2,1,,{161=20;930=20;gold=50000},<cn;kr;tw;en;en_us>
1132,4,本期获得橙色品质的首领增益2个,2,2,,{161=20;930=20;gold=50000},<cn;kr;tw;en;en_us>
1201,,安装满绿色品质和蓝色品质的首领增益挑战首领5次,7,5,<1;2>,{161=20;59002=2;gold=50000},<cn;kr;tw;en;en_us>
1202,,安装满紫色品质的首领增益挑战首领4次,7,4,<3>,{161=20;59003=1;gold=50000},<cn;kr;tw;en;en_us>
1203,,安装满绿色品质，蓝色品质，紫色品质的首领增益挑战首领2次,7,2,<1;2;3>,{161=50;gold=50000;talent_point=1},<cn;kr;tw;en;en_us>
1204,,安装满所有品质的首领增益挑战首领2次,7,2,<1;2;3;4>,{161=50;gold=50000;talent_point=1},<cn;kr;tw;en;en_us>
1301,,携带猫老大挑战首领1次,6,1,<1025>,{14=10;161=30;gold=50000},<cn;kr;tw;en;en_us>
1302,,携带耿鬼挑战首领1次,6,1,<1042>,{14=10;161=30;gold=50000},<cn;kr;tw;en;en_us>
1303,,携带小智版皮卡丘挑战首领1次,6,1,<1226>,{14=10;161=30;gold=50000},<cn;kr;tw;en;en_us>
