变量名,scene_id,_name,round,monsters,bossMark,showInfo,posAdjust,bossLifeCount,rebornSeq,hpC,speedC,damageC,specialDamageC,defenceC,specialDefenceC,bkCsv,storys,winStories,failStories,storyNames,weatherTypeId,monsters3,defenceC2,specialDefenceC2,specialDamageC2,speedC2,bossMark2,damageC2,monsters2,multiTeamNum,hpC2,damageC3,defenceC3,hpC3,specialDamageC3,specialDefenceC3,speedC3
默认值,,,,<>,,FALSE,,,,1,1,1,1,1,1,csv.stage.mgcb,<>,{},{},{},,<>,1,1,1,1,,1,<>,1,1,1,1,1,1,1,1
ID,对应scene_conf里的关卡id,关卡名字,当前波次,怪物id,boss标志位<0;1;0;0;0;0>,是否显示BOSS标志位上的简介,站位微调<0;{x=10;y=20};0;0;0;0>,boss血条数,复活序列,整体hp修正,速度修正,整体物攻修正,整体特攻修正,整体防御力修正,整体特防修正,背景配置 ,剧情ID配置<round; storyId; heroId>,获胜剧情,失败剧情,剧情角色名,场景默认天气ID,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,damageC3,defenceC3,hpC3,specialDamageC3,specialDefenceC3,speedC3
1,10101,,1,<50071;50071;0;0;0;0>,,,,,,0.9,0.5,,,,,csv.stage.city,<<0;10001>;<1;1001>;<1;1011;1>;<1;1021;2>>,,,,,,,,,,,,,,,,,,,,
2,10101,,2,<60301;0;60301;0;30302;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.5,4,4,2,2,csv.stage.city,<<1;1031;1>;<1;1041;2>;<2;1051;1>>,,,,,,,,,,,,,,,,,,,,
4,10102,,1,<52071;50791;50051;0;0;0>,,,,,,0.9,0.5,,,,,csv.stage.city,<<0;10021>;<1;1101;2>>,,,,,,,,,,,,,,,,,,,,
5,10102,,2,<53291;0;53291;0;180601;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.5,1.5,1.5,1.5,1.5,csv.stage.city,<<99;10031>>,,,,,,,,,,,,,,,,,,,,
7,10103,,1,<50281;50783;50281;0;52013;0>,,,,,,0.9,0.5,,,,,csv.stage.sg,<<0;10041>;<1;1201;2>>,,,,,,,,,,,,,,,,,,,,
8,10103,,2,<50781;60541;50781;0;181293;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.5,1.5,1.5,1.5,1.5,csv.stage.sg2,<<99;10051>>,,,,,,,,,,,,,,,,,,,,
10,10104,,1,<50551;0;50551;0;51313;0>,,,,,,0.9,0.5,,,,,csv.stage.sl,<<0;10061>>,,,,,,,,,,,,,,,,,,,,
11,10104,,2,<53011;53012;53011;0;183472;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.5,1.5,1.5,1.5,1.5,csv.stage.ty,<<99;10071>>,,,,,,,,,,,,,,,,,,,,
13,10105,,1,<51351;0;51351;50803;0;50803>,,,,,,0.9,0.5,,,,,csv.stage.ty,<<0;10081>>,,,,,,,,,,,,,,,,,,,,
14,10105,,2,<0;0;0;0;183303;0>,<0;0;0;0;1;0>,TRUE,,,,0.9,0.5,0.65,0.65,0.8,0.8,csv.stage.sl,,,,,,,,,,,,,,,,,,,,,
16,10201,,1,<50592;0;50592;52012;0;52012>,,,,,,0.65,0.5,0.9,0.9,,,csv.stage.grass,<<0;10100>>,,,,,,,,,,,,,,,,,,,,
17,10201,,2,<53472;0;53472;0;70232;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,,,csv.stage.grass,,,,,,,,,,,,,,,,,,,,,
19,10202,,1,<0;0;50551;50301;0;50301>,,,,,,0.65,0.5,0.9,0.9,,,csv.stage.sss,<<0;10110>>,,,,,,,,,,,,,,,,,,,,
20,10202,,2,<60541;50791;60541;0;70803;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,,,csv.stage.sss,,,,,,,,,,,,,,,,,,,,,
22,10203,,1,<50062;0;50062;50071;0;50071>,,,,,,0.65,0.5,0.9,0.9,,,csv.stage.zz,,,,,,,,,,,,,,,,,,,,,
23,10203,,2,<61861;0;61861;0;70632;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,,,csv.stage.zz,,,,,,,,,,,,,,,,,,,,,
25,10204,,1,<51612;50472;0;51171;0;51171>,,,,,,0.65,0.5,0.9,0.9,,,csv.stage.sg2,<<0;10120>>,,,,,,,,,,,,,,,,,,,,
26,10204,,2,<50021;60001;50011;0;70092;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,,,csv.stage.s,<<99;10130>>,,,,,,,,,,,,,,,,,,,,
28,10205,,1,<52481;0;52481;50691;0;50691>,,,,,,0.65,0.5,0.9,0.9,,,csv.stage.s,<<0;10140>>,,,,,,,,,,,,,,,,,,,,
29,10205,,2,<50451;0;50451;0;73293;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,,,csv.stage.shm,,,,,,,,,,,,,,,,,,,,,
