变量名,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_kr,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2,choices
默认值,,,,,,1,0,,0,0,,,FALSE,0,,,1,1,,,,,,"""""","""""","""""","""""","""""","""""","""""","""""","""""",,,<>,,,0,,,FALSE,,,,,,<>
ID,_备注id,_注释（这里只是界面引导，战斗内引导另外配置）,所属阶段(-1:完成新手战斗，-2:主城点15下跳过引导)每段剧情都用单独的阶段值,名称(特殊非正常引导触发)填什么都行，不再对此字段值做校验,打开该场景/界面时触发，默认主城触发（all为对应战斗胜利，升级，主城等界面触发）,起始等级,触发关卡,补充条件（公式可扩展）,排序（多个stage满足，小的越先触发）,服务器交互(1、记录引导；3、进关卡记录引导，战斗返回继续引导),默默塞奖励,默默塞和初始选择卡牌相关的奖励,客户端显示奖励,1主城2关卡界面(每条引导最后触发),跳转步骤（该stage的最后一条配置生效）,出来延时,表现样式（1、引导员，2剧情对话，3、空白）,角色位置在 1左 2右（通用设置）,使用角色形象配置<id;字段> id 0 为主角形象（样式2）,unitID（样式2）,对话角色额外偏移位置（样式2）,头像资源（样式1，特殊用于样式2）,头像额外偏移位置，初始为工程位置（样式1）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）_韩,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）_越南,聊天内容（富文本配置）（通用设置）_韩,显示指定背景图（样式2）,要点击的控件名称（样式1）,要点击的控件名称（样式1）,跳到目标节点（需要程序逻辑增加）,动画文件（样式1）,动画的角度（样式1）,动画额外偏移位置（样式1）,强制上阵,任意位置取消（样式1）,明亮的地方（样式1）,选项文本1（样式1）,对应功能（样式1）,选项文本2（样式1）,对应功能（样式1）,选项组
1,,,1,summerChallenge101,,,,,,,,,,,,,2,,,,,,,,,,,皮卡！皮卡！,,,,,,,,,,,,,,,,,,,
2,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,皮卡丘，那就让我们一起并肩作战吧！,,,,,,,,,,,,,,,,,,,<11;21;31>
11,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,金苹果2,,,,,,,,,,,,,,,,,,,
21,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,银苹果2,,,,,,,,,,,,,,,,,,,
31,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,烂苹果2,,,,,,,,,,,,,,,,,,,
1001,,,2,summerChallenge1001,,,,,,,,,,,,,2,,<32>,,{y=-150;x=0},,,主持人,,,,欢迎各位来参与本次的夏日活动宝藏探险活动，我们现在所在的就是美纳斯栖息的美丽群岛了，接下来的时间里大家将在惊险刺激的游戏中与我们一同追寻美纳斯的传说，前往神秘而又古老的湖中神殿探索美纳斯的秘密……,,,,,,,,,,,,,,,,,,,
1002,,,2,,,,,,,,,,,,,,2,,<32>,,{y=-150;x=0},,,主持人,,,,传说美纳斯就栖息在美丽群岛正中央的湖中神殿下，而进入湖中神殿的线索，就隐藏在我们惊险刺激的游戏关卡中，最终只有一个队伍能够赢得进入湖中神殿的机会，美纳斯和本次活动的最终宝藏都在那里等着你们！,,,,,,,,,,,,,,,,,,,
1003,,,2,,,,,,,,,,,,,,2,,<32>,,{y=-150;x=0},,,主持人,,,,每个队伍将得到一份详细的探险指南，包含了我们活动区域的地图还有活动的详细介绍……,,,,,,,,,,,,,,,,,,,
1004,,,2,,,,,,,1,,,,,,,2,2,<0>,,,,,,,,,我已经迫不及待了，快开始吧！,,,,,,,,,,,,,,,,,,,
2001,,,3,mimicry,,,,,,,,,,,,,,2,<32>,,{y=250;x=-800},,,图鉴洛托姆,,,,点击可查看首领增益详情,,,,,,,<buffLeftPanel;buffList;subList;cell>,,,,,,TRUE,{height=215;dy=0;width=215;dx=0},,,,,
2002,,,3,,,,,,,,,,,,,,,2,<32>,,{y=150;x=-800},,,图鉴洛托姆,,,,点击可选中该增益并装备，挑战结束后可以获得更高的积分,,,,,,,<buffLeftPanel;buffList;subList;cell;markerSpace>,,,,,,TRUE,{height=82;dy=0;width=82;dx=0},,,,,
2003,,,3,,,,,,,,,,,,,,,,<32>,,{y=450;x=150},,,图鉴洛托姆,,,,可查阅选中的首领增益数量和效果，累计积分达到解锁条件后，解锁更多槽位,,,,,,,<buffRightPanel>,,,,,,TRUE,{height=400;dy=450;width=600;dx=90},,,,,
2004,,,3,,,,,,,1,,,,,,,,,<32>,,{y=250;x=-400},,,图鉴洛托姆,,,,再选择首领增益后，首领等级会根据所选的增益等级累加，难度会增加！！,,,,,,,<bg;panel;progressBarBg>,,,,,,TRUE,{height=180;dy=-20;width=950;dx=0},,,,,
3001,,,4,mimicryNewBuff,,,,,,1,,,,,,,,2,<0>,,{y=250;x=-800},,,图鉴洛托姆,,,,挑战结束后获得了新的首领增益！可装备突破新的难度和收益！,,,,,,,<buffLeftPanel;buffList;subList;cell>,,,,,,TRUE,{height=215;dy=0;width=215;dx=0},,,,,
4001,,,7,blackJack,,,,,,1,,,,,,,,2,<0>,,,,,图鉴洛托姆,,,,快看，这是新的娱乐城！虽然每日开业时间都在变动，但是很火爆！,,,,,,,<bgPanel;squarePanel;bgPanel;btnBlackJack>,,,,,,TRUE,{height=500;dy=0;width=800;dx=0},,,,,
4002,,,8,blackJackTalk,,,,,,1,,,,,,,2,2,<32>,,,,,图鉴洛托姆,,,,街区里的人们消息最灵通了，点击有气泡提示的训练家进行对话，即可知晓娱乐城的消息！,,,,,,,,,,,,,TRUE,,,,,,
5001,,,9,autoChess,,,,,,,,,,,,,,,<32>,,{y=150;x=200},,,图鉴洛托姆,,,,这里是游戏开始按钮，点击后即可开始游戏,,,,,,,<centerPanel;btnGame>,,,,,,TRUE,{height=180;dy=0;width=380;dx=0},,,,,
5002,,,9,,,,,,,,,,,,,,,,<32>,,{y=150;x=-500},,,图鉴洛托姆,,,,这里是休闲模式按钮，使用此模式游玩无法解锁成就且无法获得任何奖励,,,,,,,<centerPanel;btnRelax>,,,,,,TRUE,{height=180;dy=0;width=380;dx=0},,,,,
5003,,,9,,,,,,,,,,,,,,,,<32>,,{y=150;x=-900},,,图鉴洛托姆,,,,这里是商城，可以花费货币购买道具,,,,,,,<downPanel;btnShop>,,,,,,TRUE,{height=160;dy=0;width=160;dx=0},,,,,
5004,,,9,,,,,,,,,,,,,,,,<32>,,{y=150;x=-800},,,图鉴洛托姆,,,,这里是排行榜，上榜可获得丰厚奖励,,,,,,,<downPanel;btnRank>,,,,,,TRUE,{height=160;dy=0;width=160;dx=0},,,,,
5005,,,9,,,,,,,,,,,,,,,,<32>,,{y=150;x=-800},,,图鉴洛托姆,,,,这里是规则，游玩前记得仔细阅读一遍哦,,,,,,,<downPanel;btnRule>,,,,,,TRUE,{height=160;dy=0;width=160;dx=0},,,,,
5006,,,9,,,,,,,,,,,,,,,,<32>,,{y=150;x=700},,,图鉴洛托姆,,,,这里是成就，达成成就可以提升成就等级,,,,,,,<achievementPanel>,,,,,,TRUE,{height=260;dy=0;width=260;dx=0},,,,,
5007,,,9,,,,,,,,,,,,,,,,<32>,,{y=300;x=-50},,,图鉴洛托姆,,,,这里是训练家切换界面，让我们点击进入,,,,,,,<personPanel;figure>,,,,,,,{height=580;dy=0;width=240;dx=0},,,,,
6001,,,10,autoChessTrainerChange,,,,,,,,,,,,,,,<32>,,{y=150;x=-800},,,图鉴洛托姆,,,,这里是所有训练家的名单,,,,,,,<trainerPanel;trainerList>,,,,,,TRUE,{height=1050;dy=0;width=580;dx=0},,,,,
6002,,,10,,,,,,,,,,,,,,,,<32>,,{y=150;x=-800},,,图鉴洛托姆,,,,这里可以切换所使用的训练家,,,,,,,<trainerPanel;btnChange>,,,,,,TRUE,{height=140;dy=0;width=350;dx=0},,,,,
6003,,,10,,,,,,,,,,,,,,,,<32>,,{y=450;x=100},,,图鉴洛托姆,,,,这里是训练家的技能列表，一些技能需要提升训练家精通等级来解锁,,,,,,,<skillPanel;skillList>,,,,,,TRUE,{height=470;dy=0;width=630;dx=0},,,,,
6004,,,10,,,,,,,,,,,,,,,,<32>,,{y=550;x=100},,,图鉴洛托姆,,,,这里是训练家的信息,,,,,,,<infoPanel>,,,,,,TRUE,{height=160;dy=0;width=380;dx=0},,,,,
6005,,,10,,,,,,,,,,,,,,,,<32>,,{y=0;x=500},,,图鉴洛托姆,,,,这里是训练家的初始伙伴池，解锁后可以在游戏开始时选择,,,,,,,<btnBag>,,,,,,TRUE,{height=250;dy=0;width=240;dx=0},,,,,
7001,,,11,qixiGame,,,,,,,,,,,,0.1,2,2,,,{y=700;x=0},login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,嗨嗨，先让我来简单介绍一下游戏规则吧，准备好咯！,,,,,,,,,,,,,,,,,,,
7002,,,11,,,,,,,,,,,,,0.1,,2,,,{y=450;x=0},login/new_character/img_tjltm@.png,{y=300;x=0},图鉴洛托姆,,,,关卡开始后，#C0xE77421#上方栏位会出现一些装扮不同的比翼鸟，#C0x5B545B#这些是需要你#C0xE77421#寻找出的#C0x5B545B#比翼鸟的样子哦,,,,,,,<topPanel;topBg>,,,,,,TRUE,{height=290;dy=0;width=1880;dx=0},,,,,
7003,,,11,,,,,,,,,,,,,0.1,,,,,{y=0;x=-700},login/new_character/img_tjltm@.png,{y=300;x=0},图鉴洛托姆,,,,在这片区域中，#C0xE77421#点击找出和上方栏位中颜色装扮一致#C0x5B545B#的比翼鸟，#C0xE77421#需要全部找出哦,,,,,,,<listview>,,,,,,TRUE,{height=968;dy=30;width=1726;dx=0},,,,,
7004,,,11,,,,,,1,,,,,,,0.1,,2,,,{y=150;x=-560},login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,这里显示#C0xE77421#本局小游戏总时长和点错机会，#C0x5B545B#还请注意哦！不过#C0xE77421#本局不会扣除游戏次数~#C0x5B545B#大胆尝试吧,,,,,,,<leftPanel>,,,,,,TRUE,{height=420;dy=0;width=450;dx=0},,,,,
7005,,,12,qixiGame1,,,,,1,,,,,,,0.1,2,2,,,{y=350;x=0},login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,恭喜你来到第2关啦！#C0xE77421#这一关出现的比翼鸟变多了，#C0x5B545B#难度有提升，但是对你来说一定没问题的！,,,,,,,,,,,,,,,,,,,
7006,,,13,qixiGame2,,,,,1,,,,,,,0.1,2,2,,,{y=350;x=0},login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,嗯！很好！虽然#C0xE77421#关卡难度逐级变大了#C0x5B545B#但是你已经很熟练啦，接下去挑战吧！,,,,,,,,,,,,,,,,,,,
8001,,,14,developGate,,,,,,1,,,,,,0.1,,2,<32>,,{y=420;x=-960},,,图鉴洛托姆,,,,精灵的一些#C0xE77421#培养汇总#C0x5B545B#在这里啦，#C0xE77421#点击【更多】#C0x5B545B#即可展开~,,,,,,,<left;btnCombination>,,,,,,TRUE,{height=214;dy=0;width=200;dx=0},,,,,
