变量名,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2,__version
默认值,,0,FALSE,FALSE,<0;0>,TRUE,<cn;tw;en;en_us;en_eu;vn;th;kr>,,"""""",,"""""",
ID,备注,卡牌id,图鉴默认激活开关,图鉴前置形态自动激活开关,身高体重,当前版本是否开放,语言区域,属性加成类型1,属性加成数值1,属性加成类型2,属性加成数值2,__version
1,,1,,,<0.7;6.9>,,,1,0.13%,,,
2,,2,,,<1;13>,,,1,0.13%,,,
3,,3,,,<2;100>,,,1,0.13%,,,
4,,4,,,<2;100>,,<cn;kr;en;en_us;en_eu;tw>,1,0.13%,,,
11,,11,,,<0.6;8.5>,,,8,0.20%,,,
12,,12,,,<1.1;19>,,,8,0.20%,,,
13,,13,,,<1.7;90.5>,,,8,0.20%,,,
14,,14,,,<1.7;90.5>,,<cn;kr;en;en_us;en_eu;tw>,8,0.20%,,,
15,,15,,,<1.7;90.5>,,<cn;kr;en;en_us;en_eu;tw>,8,0.20%,,,
21,,21,,,<0.5;9>,,,10,0.20%,,,
22,,22,,,<1;22.5>,,,10,0.20%,,,
23,,23,,,<1.6;85.5>,,,10,0.20%,,,
24,,24,,,<1.6;85.5>,,<cn;kr;en;en_us;en_eu;tw>,10,0.20%,,,
31,,31,,,<0.3;2.9>,,,1,0.15%,,,
33,,33,,,<1.1;32>,,,1,0.15%,,,
41,,41,,,<1;29.5>,,,7,0.40%,,,
44,,44,,,<1;29.5>,,<cn;kr;en;en_us;en_eu;tw>,7,0.40%,,,
51,,51,,,<0.3;1.8>,,,7,0.20%,,,
52,,52,,,<1.1;30>,,,7,0.20%,,,
53,,53,,,<1.5;39.5>,,,7,0.20%,,,
54,,54,,,<2.2;50.5>,,<cn;kr;en;en_us;en_eu;tw>,7,0.20%,,,
61,,61,,,<0.3;3.5>,,,7,0.20%,,,
62,,62,,,<0.7;18.5>,,,7,0.20%,,,
71,,71,,,<0.3;2>,,,10,0.20%,,,
72,,72,,,<1.2;38>,,,10,0.20%,,,
81,,81,,,<2;6.9>,,,9,0.20%,,,
82,,82,,,<3.5;65>,,,9,0.20%,,,
91,,91,,,<0.3;2>,,,13,0.20%,,,
92,,92,,TRUE,<0.4;6>,,,13,0.20%,,,
93,,93,,,<0.8;30>,,,13,0.20%,,,
101,,101,,,<0.6;12>,,,10,0.20%,,,
102,,102,,,<1;29.5>,,,10,0.20%,,,
111,,111,,,<0.4;7>,,,8,0.13%,,,
112,,112,,,<0.8;20>,,,8,0.13%,,,
113,,113,,,<1.3;60>,,,8,0.13%,,,
121,,121,,,<0.5;9>,,,9,0.13%,,,
122,,122,,,<0.9;19.5>,,,9,0.13%,,,
123,,123,,,<1.4;62>,,,9,0.13%,,,
131,,131,,,<0.3;3>,,,8,0.20%,,,
132,,132,,,<0.6;7.5>,,,8,0.20%,,,
133,,133,,,<1.3;40>,,,8,0.20%,,,
143,,143,,,<0.6;9.9>,,<cn;kr;en;en_us;en_eu;tw>,13,0.40%,,,
144,,144,,,<1.1;19.9>,,<cn;kr;en;en_us;en_eu;tw>,13,0.40%,,,
151,,151,,,<0.3;1>,,<cn;kr;en;en_us;en_eu;tw>,13,0.20%,,,
152,,152,,,<0.5;5.5>,,<cn;kr;en;en_us;en_eu;tw>,13,0.20%,,,
