变量名,markID,_beizhu1,_beizhu2,_beizhu3,_beizhu4,star,attrType1,attrValue1,attrType2,attrValue2,__version
默认值,0,,,,,0,0,"""""",0,"""""",
ID,卡牌markID,精灵名字,第一属性,资质,初始星级,星级,加成属性类型1,加成属性值1,加成属性类型2,加成属性值2,__version
1,1,,,,,1,1,0%,,,
2,1,,,,,2,1,0.06%,,,
3,1,,,,,3,1,0.11%,,,
4,1,,,,,4,1,0.17%,,,
5,1,,,,,5,1,0.28%,,,
6,1,,,,,6,1,0.39%,,,
7,1,,,,,7,1,0.56%,,,
8,1,,,,,8,1,0.73%,,,
9,1,,,,,9,1,0.95%,,,
10,1,,,,,10,1,1.18%,,,
11,1,,,,,11,1,1.40%,,,
12,1,,,,,12,1,1.68%,,,
13,11,,,,,1,8,0%,,,
14,11,,,,,2,8,0.08%,,,
15,11,,,,,3,8,0.16%,,,
16,11,,,,,4,8,0.24%,,,
17,11,,,,,5,8,0.40%,,,
18,11,,,,,6,8,0.56%,,,
19,11,,,,,7,8,0.80%,,,
20,11,,,,,8,8,1.04%,,,
21,11,,,,,9,8,1.36%,,,
22,11,,,,,10,8,1.68%,,,
23,11,,,,,11,8,2%,,,
24,11,,,,,12,8,2.40%,,,
25,21,,,,,1,10,0%,,,
26,21,,,,,2,10,0.08%,,,
27,21,,,,,3,10,0.16%,,,
28,21,,,,,4,10,0.24%,,,
29,21,,,,,5,10,0.40%,,,
30,21,,,,,6,10,0.56%,,,
31,21,,,,,7,10,0.80%,,,
32,21,,,,,8,10,1.04%,,,
33,21,,,,,9,10,1.36%,,,
34,21,,,,,10,10,1.68%,,,
35,21,,,,,11,10,2%,,,
36,21,,,,,12,10,2.40%,,,
37,31,,,,,1,1,0%,,,
38,31,,,,,2,1,0.03%,,,
39,31,,,,,3,1,0.04%,,,
40,31,,,,,4,1,0.06%,,,
41,31,,,,,5,1,0.08%,,,
42,31,,,,,6,1,0.13%,,,
43,31,,,,,7,1,0.17%,,,
44,31,,,,,8,1,0.22%,,,
45,31,,,,,9,1,0.28%,,,
46,31,,,,,10,1,0.35%,,,
47,31,,,,,11,1,0.42%,,,
48,31,,,,,12,1,0.50%,,,
49,41,,,,,1,7,0%,,,
50,41,,,,,2,7,0.04%,,,
51,41,,,,,3,7,0.06%,,,
52,41,,,,,4,7,0.08%,,,
53,41,,,,,5,7,0.12%,,,
54,41,,,,,6,7,0.18%,,,
55,41,,,,,7,7,0.24%,,,
56,41,,,,,8,7,0.32%,,,
57,41,,,,,9,7,0.40%,,,
58,41,,,,,10,7,0.50%,,,
59,41,,,,,11,7,0.60%,,,
60,41,,,,,12,7,0.72%,,,
61,51,,,,,1,7,0%,,,
62,51,,,,,2,7,0.08%,,,
63,51,,,,,3,7,0.16%,,,
64,51,,,,,4,7,0.24%,,,
65,51,,,,,5,7,0.40%,,,
66,51,,,,,6,7,0.56%,,,
67,51,,,,,7,7,0.80%,,,
68,51,,,,,8,7,1.04%,,,
69,51,,,,,9,7,1.36%,,,
70,51,,,,,10,7,1.68%,,,
71,51,,,,,11,7,2%,,,
72,51,,,,,12,7,2.40%,,,
73,61,,,,,1,7,0%,,,
74,61,,,,,2,7,0.04%,,,
75,61,,,,,3,7,0.06%,,,
76,61,,,,,4,7,0.08%,,,
