变量名,range,periodAward,version
默认值,,{},0
ID,区间,结算奖励,奖励版本
1,<1;2>,{rmb=28888;coin1=1200;gold=188888},
2,<2;3>,{rmb=25888;coin1=1050;gold=158888},
3,<3;4>,{rmb=21888;coin1=900;gold=128888},
4,<4;5>,{rmb=18888;coin1=800;gold=118888},
5,<5;6>,{rmb=15888;coin1=750;gold=108888},
6,<6;7>,{rmb=12888;coin1=720;gold=99999},
7,<7;8>,{rmb=11888;coin1=690;gold=88888},
8,<8;9>,{rmb=9999;coin1=660;gold=77777},
9,<9;10>,{rmb=8888;coin1=630;gold=66666},
10,<10;11>,{rmb=6666;coin1=600;gold=55555},
11,<11;21>,{rmb=6666;coin1=550;gold=50000},
12,<21;31>,{rmb=6666;coin1=510;gold=45000},
13,<31;41>,{rmb=5000;coin1=490;gold=40000},
14,<41;51>,{rmb=5000;coin1=460;gold=35000},
15,<51;71>,{rmb=3000;coin1=430;gold=30000},
16,<71;101>,{rmb=2000;coin1=400;gold=28000},
17,<101;201>,{rmb=1500;coin1=380;gold=26000},
18,<201;301>,{rmb=1000;coin1=360;gold=24000},
19,<301;401>,{rmb=85;coin1=340;gold=22000},
20,<401;501>,{rmb=80;coin1=320;gold=20000},
21,<501;601>,{rmb=75;coin1=300;gold=18000},
22,<601;701>,{rmb=70;coin1=280;gold=17000},
23,<701;801>,{rmb=65;coin1=260;gold=16000},
24,<801;1001>,{rmb=60;coin1=240;gold=15000},
25,<1001;3001>,{rmb=55;coin1=220;gold=14000},
26,<3001;5001>,{rmb=50;coin1=200;gold=13000},
27,<5001;10001>,{rmb=45;coin1=195;gold=12000},
28,<10001;15001>,{rmb=40;coin1=190;gold=11000},
29,<15001;100000>,{rmb=40;coin1=185;gold=10000},
,,,
101,<1;2>,{rmb=28888;coin1=1200;gold=188888},101
102,<2;3>,{rmb=25888;coin1=1050;gold=158888},101
103,<3;4>,{rmb=21888;coin1=900;gold=128888},101
104,<4;5>,{rmb=18888;coin1=800;gold=118888},101
105,<5;6>,{rmb=15888;coin1=750;gold=108888},101
106,<6;7>,{rmb=12888;coin1=720;gold=99999},101
107,<7;8>,{rmb=11888;coin1=690;gold=88888},101
108,<8;9>,{rmb=9999;coin1=660;gold=77777},101
109,<9;10>,{rmb=8888;coin1=630;gold=66666},101
110,<10;11>,{rmb=6666;coin1=600;gold=55555},101
111,<11;21>,{rmb=6666;coin1=550;gold=50000},101
112,<21;31>,{rmb=6666;coin1=510;gold=45000},101
113,<31;41>,{rmb=5000;coin1=490;gold=40000},101
114,<41;51>,{rmb=5000;coin1=460;gold=35000},101
115,<51;71>,{rmb=3000;coin1=430;gold=30000},101
116,<71;101>,{rmb=2000;coin1=400;gold=28000},101
117,<101;201>,{rmb=1500;coin1=380;gold=26000},101
118,<201;301>,{rmb=1000;coin1=360;gold=24000},101
119,<301;401>,{rmb=85;coin1=340;gold=22000},101
120,<401;501>,{rmb=80;coin1=320;gold=20000},101
121,<501;601>,{rmb=75;coin1=300;gold=18000},101
122,<601;701>,{rmb=70;coin1=280;gold=17000},101
123,<701;801>,{rmb=65;coin1=260;gold=16000},101
124,<801;1001>,{rmb=60;coin1=240;gold=15000},101
125,<1001;3001>,{rmb=55;coin1=220;gold=14000},101
126,<3001;5001>,{rmb=50;coin1=200;gold=13000},101
127,<5001;10001>,{rmb=45;coin1=195;gold=12000},101
128,<10001;15001>,{rmb=40;coin1=190;gold=11000},101
129,<15001;100000>,{rmb=40;coin1=185;gold=10000},101
