变量名,needRank,award,cost
默认值,,{},{}
ID,需要名次,排位奖励,消耗
1,1,{rmb=500000;2181=1},
2,3,{rmb=300000;2182=1},
3,6,{rmb=200000;2182=1},
4,10,{rmb=100000;2182=1},
5,30,{rmb=80000;521=88},
6,50,{rmb=60000;500=50},
7,70,{rmb=50000;19=50},
8,100,{rmb=30000;937=1},
9,200,{rmb=20000;930=300},
10,300,{rmb=10000;925=1},
11,400,{rmb=100;501=1},
12,600,{rmb=100;941=1},
13,800,{rmb=100;gold=25000},
14,1000,{rmb=100;503=1},
15,1500,{rmb=80;gold=18000},
16,2000,{rmb=80;gold=18000},
17,3000,{rmb=80;503=1},
18,4000,{rmb=60;gold=16000},
19,6000,{rmb=60;gold=12000},
20,8000,{rmb=60;gold=12000},
21,10000,{rmb=60;gold=10000},
22,12000,{rmb=50;gold=8000},
23,16000,{rmb=50;gold=6000},
24,20000,{rmb=50;gold=6000},
25,30000,{rmb=50;gold=5000},
