变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;tw;en;vn;th;kr>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
31,懒人獭,{21421=5},{coin1=1500},,,,,,,,,,
32,飞天螳螂,{20571=5},{coin1=1500},,,,,,,,,,
33,鸭嘴宝宝,{20601=5},{coin1=1500},,,,,,,,,,
,,,,,,,,,,,,,
34,哈力栗,{23281=5},{coin1=900},,,,,,<150;150>,,,,
35,火狐狸,{23291=5},{coin1=900},,,,,,<150;150>,,,,
36,皮宝宝,{20131=5},{coin1=900},,,,,,<150;150>,,,,
37,杰尼龟,{20021=5},{coin1=900},,,,,,<150;150>,,,,
,,,,,,,,,,,,,
41,暴鲤龙,{20631=5},{coin1=1500},,,,,,,,,,
42,电击怪,{20591=5},{coin1=1500},,,,,,,,,,
43,拉鲁拉丝,{21391=5},{coin1=1500},,,,,,,,,,
,,,,,,,,,,,,,
51,经验药水,{12=10},{coin1=300},,,,,,<150;150>,,,,
52,经验药水,{13=10},{coin1=600},,,,,,<150;150>,,,,
53,经验药水,{14=10},{coin1=1000},,,,,,<150;150>,,,,
54,铜制粉,{2103=3},{coin1=600},,,,,,<150;150>,,,,
55,30W金币,{514=30},{coin1=1000},,,,,,<150;150>,,,,
,,,,,,,,,,,,,
61,哈力栗,{23281=5},{coin1=900},,,,,,,,,,
62,火狐狸,{23291=5},{coin1=900},,,,,,,,,,
63,皮宝宝,{20131=5},{coin1=900},,,,,,,,,,
64,杰尼龟,{20021=5},{coin1=900},,,,,,,,,,
65,电飞鼠,{22891=5},{coin1=900},,,,,,,,,,
66,齿轮二,{22961=5},{coin1=900},,,,,,,,,,
,,,,,,,,,,,,,
71,经验药水,{12=10},{coin1=300},,,,,,,,,,
72,经验药水,{13=10},{coin1=600},,,,,,,,,,
73,经验药水,{14=10},{coin1=1000},,,,,,,,,,
74,铜制粉,{2103=3},{coin1=600},,,,,,,,,,
75,30W金币,{514=30},{coin1=1000},,,,,,,,,,
,,,,,,,,,,,,,
80,橙色百变怪兑换,{29002=50},{coin1=18000},,,,,,,3,1,,
101,形象兑换,{2205=1},{coin1=20000},,,,,,,4,1,,
,形象兑换,{2231=1},{coin1=20000},,,,,,,4,1,,
