变量名,name,imgIdx,showID,award,attrMap
默认值,"""""",1,0,{},{}
ID,章节名称,章节图片索引,展示故事ID(story表showID),通关奖励{道具ID=数量;rmb=钻石;gold=金币},属性加成{属性ID=百分比}
1,巨岩岛奇遇,6,,{136=2;rmb=100},
2,沉睡巨鲸,2,,{136=2;rmb=100},
3,陶鼓庆典,2,,{136=2;rmb=100},
4,涌浪救援记,5,,{136=2;rmb=100},
5,猴怪山丘大逃亡,5,,{136=2;rmb=100},
6,雨夜羁绊,3,,{136=2;rmb=100},
7,最后的守护,,,{136=2;rmb=100},
8,夕阳下的送别,3,,{136=2;rmb=100},
9,波导勇者,4,,{136=2;rmb=100},
10,森之守护,4,,{136=2;rmb=100},
11,沉重的友谊,,,{136=2;rmb=100},
12,为爱成全,5,1,{136=2;gold=300000;rmb=100},{1=0.5%}
13,火斑喵的成长,5,2,{136=2;gold=300000;rmb=100},{9=0.5%;10=0.5%}
14,雨夜羁绊,5,3,{136=2;gold=300000;rmb=100},{1=0.5%}
15,夕阳下的送别,5,4,{136=2;gold=300000;rmb=100},{7=0.5%;8=0.5%}
16,最后的守护,3,5,{136=4;gold=600000;rmb=200},{9=1.0%;10=1.0%}
17,沉重的友谊,3,6,{136=4;gold=600000;rmb=200},{7=1.0%;8=1.0%}
18,波导勇者,,7,{136=6;7393=1;gold=1000000;rmb=300},{1=1.5%}
19,森之守护,,8,{136=6;7393=1;gold=1000000;rmb=300},{7=1.5%;8=1.5%}
