变量名,anchorY,res,x,layer,anchorX,y,scale,theme,z
默认值,0.5,"""""",0,"""""",0.5,0,1,,
ID,锚点Y,装饰资源图片路径,X坐标偏移,所属层级(panelBg/panelBottom),锚点X,Y坐标偏移,缩放比例,所属主题ID(theme表),Z轴层级排序
1,,city/adventure/random_maze/huoshan/beijing.png,,panelBg,,,4,1,1
2,,city/adventure/random_maze/huoshan/taimian_01.png,,panelBg,1,-100,2,1,2
3,,city/adventure/random_maze/huoshan/taimian_02.png,,panelBg,0,-100,2,1,2
4,,city/adventure/random_maze/huoshan/taimianzhedang.png,216,panelBottom,,-716,2,1,
5,,city/adventure/random_maze/huoshan/taimianhou.png,,panelBg,,182,2,1,3
10,,city/adventure/random_maze/bingxue/beijing.png,,panelBg,,,4,2,1
11,,city/adventure/random_maze/bingxue/taimian_01.png,2,panelBg,1,5,2,2,2
12,,city/adventure/random_maze/bingxue/taimian_02.png,2,panelBg,0,5,2,2,2
13,,city/adventure/random_maze/bingxue/taimianzhedang.png,-48,panelBottom,,-664,2,2,
14,,city/adventure/random_maze/bingxue/taimianhou.png,,panelBg,,182,2,2,3
20,,city/adventure/random_maze/youming/beijing.png,,panelBg,,,4,3,1
21,,city/adventure/random_maze/youming/taimian_01.png,2,panelBg,1,5,2,3,2
22,,city/adventure/random_maze/youming/taimian_02.png,2,panelBg,0,5,2,3,2
23,,city/adventure/random_maze/youming/taimianzhedang.png,30,panelBottom,,-730,2,3,
30,,city/adventure/random_maze/liekong/beijing.png,,panelBg,,,4,4,1
31,,city/adventure/random_maze/liekong/taimian_01.png,2,panelBg,1,5,2,4,2
32,,city/adventure/random_maze/liekong/taimian_02.png,2,panelBg,0,5,2,4,2
33,,city/adventure/random_maze/liekong/taimianzhedang.png,-90,panelBottom,,-768,2,4,
