变量名,point,award
默认值,0,{}
ID,冒险见闻积分阈值,积分奖励{道具ID=数量;gold=金币}
1,,{135=10;gold=6000}
2,100,{135=20;gold=12000}
3,200,{135=30;gold=18000}
4,300,{135=40;gold=24000}
5,400,{135=50;gold=30000}
6,500,{135=60;7380=1;gold=36000}
7,600,{135=70;7380=1;gold=42000}
8,700,{135=80;7380=1;gold=48000}
9,800,{135=90;7380=1;gold=54000}
10,900,{135=100;7380=1;gold=60000}
11,1000,{135=110;7380=1;gold=66000}
12,1100,{135=120;7380=1;gold=72000}
13,1200,{135=130;7380=1;gold=78000}
14,1300,{135=140;7380=1;gold=84000}
15,1400,{135=150;7380=1;gold=90000}
16,1500,{135=160;7380=1;gold=96000}
17,1600,{135=170;7380=1;gold=102000}
18,1700,{135=180;7380=1;gold=108000}
19,1800,{135=190;7380=1;gold=114000}
20,1900,{135=200;7380=1;gold=120000}
21,2000,{135=210;7380=1;7396=1;gold=126000}
22,2100,{135=220;7380=1;7396=1;gold=132000}
23,2200,{135=230;7380=1;7396=1;gold=138000}
24,2300,{135=240;7380=1;7396=1;gold=144000}
25,2400,{135=250;7380=1;7396=1;gold=150000}
26,2500,{135=260;136=1;7380=1;7396=1;gold=156000}
27,2600,{135=270;136=1;7380=1;7396=1;gold=162000}
28,2700,{135=280;136=1;7380=1;7396=1;gold=168000}
29,2800,{135=290;136=1;7380=1;7396=1;gold=174000}
30,2900,{135=300;136=1;7380=1;7396=1;gold=180000}
31,3000,{135=310;136=1;7380=1;7396=1;gold=186000}
32,3100,{135=320;136=1;7380=1;7396=1;gold=192000}
33,3200,{135=330;136=1;7380=1;7396=1;gold=198000}
34,3300,{135=340;136=1;7380=1;7396=1;gold=204000}
35,3400,{135=350;136=1;7380=1;7396=1;gold=210000}
36,3500,{135=360;136=1;7380=1;7396=1;gold=216000}
37,3600,{135=370;136=1;7380=1;7396=1;gold=222000}
38,3700,{135=380;136=1;7380=1;7396=1;gold=228000}
39,3800,{135=390;136=1;7380=1;7396=1;gold=234000}
40,3900,{135=400;136=1;7380=1;7396=1;gold=240000}
41,4000,{135=410;136=1;7380=1;7381=1;7396=1;gold=246000}
42,4100,{135=420;136=1;7380=1;7381=1;7396=1;gold=252000}
43,4200,{135=430;136=1;7380=1;7381=1;7396=1;gold=258000}
44,4300,{135=440;136=1;7380=1;7381=1;7396=1;gold=264000}
45,4400,{135=450;136=1;7380=1;7381=1;7396=1;gold=270000}
46,4500,{135=460;136=1;7380=1;7381=1;7396=1;gold=276000}
47,4600,{135=470;136=1;7380=1;7381=1;7396=1;gold=282000}
48,4700,{135=480;136=1;7380=1;7381=1;7396=1;gold=288000}
49,4800,{135=490;136=1;7380=1;7381=1;7396=1;gold=294000}
50,4900,{135=500;136=1;7380=1;7381=1;7396=1;gold=300000}
51,5000,{135=510;136=2;7380=1;7381=1;7396=1;gold=306000}
52,5100,{135=520;136=2;7380=1;7381=1;7396=1;gold=312000}
53,5200,{135=530;136=2;7380=1;7381=1;7396=1;gold=318000}
54,5300,{135=540;136=2;7380=1;7381=1;7396=1;gold=324000}
55,5400,{135=550;136=2;7380=1;7381=1;7396=1;gold=330000}
56,5500,{135=560;136=2;7380=1;7381=1;7396=1;gold=336000}
57,5600,{135=570;136=2;7380=1;7381=1;7396=1;gold=342000}
58,5700,{135=580;136=2;7380=1;7381=1;7396=1;gold=348000}
59,5800,{135=590;136=2;7380=1;7381=1;7396=1;gold=354000}
60,5900,{135=600;136=2;7380=1;7381=1;7396=1;gold=360000}
61,6000,{135=610;136=2;7380=1;7381=1;7396=2;gold=366000}
62,6100,{135=620;136=2;7380=1;7381=1;7396=2;gold=372000}
63,6200,{135=630;136=2;7380=1;7381=1;7396=2;gold=378000}
64,6300,{135=640;136=2;7380=1;7381=1;7396=2;gold=384000}
65,6400,{135=650;136=2;7380=1;7381=1;7396=2;gold=390000}
66,6500,{135=660;136=2;7380=1;7381=1;7396=2;gold=396000}
67,6600,{135=670;136=2;7380=1;7381=1;7396=2;gold=402000}
68,6700,{135=680;136=2;7380=1;7381=1;7396=2;gold=408000}
69,6800,{135=690;136=2;7380=1;7381=1;7396=2;gold=414000}
70,6900,{135=700;136=2;7380=1;7381=1;7396=2;gold=420000}
71,7000,{135=710;136=2;7380=1;7381=1;7396=2;gold=426000}
72,7100,{135=720;136=2;7380=1;7381=1;7396=2;gold=432000}
73,7200,{135=730;136=2;7380=1;7381=1;7396=2;gold=438000}
74,7300,{135=740;136=2;7380=1;7381=1;7396=2;gold=444000}
75,7400,{135=750;136=2;7380=1;7381=1;7396=2;gold=450000}
76,7500,{135=760;136=2;7380=1;7381=1;7396=2;gold=456000}
77,7600,{135=770;136=2;7380=1;7381=1;7396=2;gold=462000}
78,7700,{135=780;136=2;7380=1;7381=1;7396=2;gold=468000}
79,7800,{135=790;136=2;7380=1;7381=1;7396=2;gold=474000}
80,7900,{135=800;136=2;7380=1;7381=1;7396=2;gold=480000}
81,8000,{135=810;136=2;7380=1;7381=1;7396=2;gold=486000}
