变量名,name,type,desc,scale2,scale,icon,ignoreIntervalProb,light,interval,icon2,color
默认值,"""""",0,"""""",1,1,"""""",0,FALSE,0,"""""",<0;0;0>
ID,格子名称,格子类型(1入口/2出口/3事件/4商店/5宝箱/6小游戏/7高级宝箱/8普通战斗/9困难战斗/10Boss/11代价宝箱/12翻牌宝箱/13特殊事件/14故事事件/15地狱战斗/101传送门/111双向传送门/201-204藏宝图碎片),格子描述文本,未激活图标缩放,已激活图标缩放,格子图标资源路径,忽略间隔概率(0~1),是否默认点亮(TRUE/FALSE),生成间隔(最少间隔几个格子),已激活图标资源路径,小地图标记颜色<R;G;B>
1,入口,1,,,,city/adventure/random_maze/icon/logo_rk.png,,,,,<0;0;255>
2,出口,2,,,,city/adventure/random_maze/icon/logo_ck.png,,,,,<255;0;0>
3,事件,3,,,,city/adventure/random_maze/icon/icon_sj.png,,,1,city/adventure/random_maze/icon/icon_sj1.png,<82;76;120>
4,商店,4,,,,city/adventure/random_maze/icon/icon_sd.png,,,5,city/adventure/random_maze/icon/icon_sd1.png,<198;200;82>
5,宝箱,5,,,,city/adventure/random_maze/icon/icon_bx.png,,,5,city/adventure/random_maze/icon/icon_bx1.png,<198;75;200>
6,小游戏,6,,,,city/adventure/random_maze/icon/icon_xyx.png,,,5,city/adventure/random_maze/icon/icon_xyx1.png,<155;155;155>
7,高级宝箱,7,,,,city/adventure/random_maze/icon/icon_bx.png,,,5,city/adventure/random_maze/icon/icon_bx1.png,<198;75;255>
8,普通战斗,8,,,,city/adventure/random_maze/icon/icon_jddr.png,0.3,,2,city/adventure/random_maze/icon/icon_jddr1.png,<100;200;0>
9,困难战斗,9,,,,city/adventure/random_maze/icon/icon_kndr.png,0.1,,3,city/adventure/random_maze/icon/icon_kndr1.png,<200;200;0>
10,Boss战斗,10,,,,city/adventure/random_maze/icon/icon_kndr.png,,,,city/adventure/random_maze/icon/icon_kndr1.png,<255;200;0>
11,代价宝箱,11,,,,city/adventure/random_maze/icon/icon_bx.png,,,5,city/adventure/random_maze/icon/icon_bx1.png,<198;75;255>
12,翻牌宝箱,12,,,,city/adventure/random_maze/icon/icon_bx.png,,,5,city/adventure/random_maze/icon/icon_bx1.png,<198;75;255>
13,特殊事件,13,,,,city/adventure/random_maze/icon/icon_sj.png,,,10,city/adventure/random_maze/icon/icon_sj1.png,<82;76;120>
14,故事事件,14,,,,city/adventure/random_maze/icon/icon_gsxsj.png,,TRUE,20,city/adventure/random_maze/icon/icon_gsxsj1.png,<82;76;120>
15,地狱战斗,15,,,,city/adventure/random_maze/icon/icon_dynd.png,,,15,city/adventure/random_maze/icon/icon_dynd1.png,<255;200;0>
101,一次传送门,101,,,,city/adventure/random_maze/icon/icon_csm.png,,,15,city/adventure/random_maze/icon/icon_csm1.png,<0;0;155>
111,传送门双向,111,,,,city/adventure/random_maze/icon/icon_sxcsm.png,,,15,city/adventure/random_maze/icon/icon_sxcsm1.png,<155;0;155>
201,藏宝图碎片1,201,集齐4片合成藏宝图，进入宝藏之地,1.2,1.2,city/union/cross_union_adventure/map/logo_xs.png,,,10,city/union/cross_union_adventure/map/logo_xs.png,<200;200;200>
202,藏宝图碎片2,201,集齐4片合成藏宝图，进入宝藏之地,1.2,1.2,city/union/cross_union_adventure/map/logo_xs.png,,,10,city/union/cross_union_adventure/map/logo_xs.png,<200;200;200>
203,藏宝图碎片3,201,集齐4片合成藏宝图，进入宝藏之地,1.2,1.2,city/union/cross_union_adventure/map/logo_xs.png,,,10,city/union/cross_union_adventure/map/logo_xs.png,<200;200;200>
204,藏宝图碎片4,201,集齐4片合成藏宝图，进入宝藏之地,1.2,1.2,city/union/cross_union_adventure/map/logo_xs.png,,,10,city/union/cross_union_adventure/map/logo_xs.png,<200;200;200>
