变量名,light,gridID,key,map
默认值,FALSE,0,101,
ID,是否默认点亮(TRUE/FALSE),格子类型ID(grid表),格子位置键值,所属地图ID(map表)
10001,TRUE,2,109,1
10002,TRUE,1,1101,1
10003,TRUE,2,109,2
10004,TRUE,1,1101,2
10005,TRUE,2,109,3
10006,TRUE,1,1101,3
10007,TRUE,1,1106,4
10008,TRUE,2,107,4
10009,TRUE,1,1106,5
10010,TRUE,2,107,5
10011,TRUE,1,1106,6
10012,TRUE,2,107,6
10013,TRUE,2,109,7
10014,TRUE,1,1101,7
10015,TRUE,2,109,8
10016,TRUE,1,1101,8
10017,TRUE,2,109,9
10018,TRUE,1,1101,9
10019,TRUE,1,1102,10
10020,TRUE,2,106,10
10021,TRUE,1,1102,11
10022,TRUE,2,106,11
10023,TRUE,1,1102,12
10024,TRUE,2,106,12
