变量名,name,passiveGroup,effectTimes,passiveSkill,stackMax,passiveType,condition,supplyNum,quality,gridState,gridRange,supplyTarget,supplyType,targetType,icon,desc,useType,showType,viewTag,gridType,excludeGrid,attrFix,extraParams,sortValue
默认值,"""""",0,0,0,99,0,0,0,3,0,1,0,0,1,city/adventure/random_tower/hell/item_icon/icon_wj_01.png,"""""",0,0,<>,<>,<>,{},{},20
ID,道具名称,被动分组ID,生效次数(0=永久),被动技能ID,最大叠加数量,被动类型(1=视野/2=翻倍/3=属性强化),使用条件(1=非力竭/2=全体非力竭/3=力竭/4=体力恢复),补给数值(百分比或固定值),品质(3普通/4高级/5稀有),格子状态效果ID,格子作用范围,补给目标(1=单体/2=全体),补给类型(1=回血/3=复活/6=行动力/7=避战/8=体力/9=随机行动力),目标类型(2=精灵/3=场地),图标资源路径,道具描述文本,使用类型(1=直接使用/2=战斗前生效/3=选择格子使用),展示类型(0=不展示/1=展示),界面标签列表<标签ID>,适用格子类型列表<格子类型ID>,排除格子列表<格子ID>,属性修正{属性ID=百分比},extraParams,sortValue
1,普通恢复药剂,,,,,,1,20,,,,1,1,2,city/adventure/random_maze/items/icon_pthf.png,精灵未处于力竭时可使用，单只精灵血量恢复20%,1,1,,,,,,1
2,高级恢复药剂,,,,,,1,50,4,,,1,1,2,city/adventure/random_maze/items/icon_jphf.png,精灵未处于力竭时可使用，单只精灵血量恢复50%,1,1,,,,,,1
3,复活药剂,,,,,,3,1,4,,,1,3,2,city/adventure/random_maze/items/icon_fhyj.png,可复活单只血量为0的精灵，复活且血量恢复到1%,1,1,,,,,,3
4,全体疗伤药剂,,,,,,2,10,4,,,2,1,2,city/adventure/random_maze/items/icon_zygl.png,精灵未处于力竭时，可使用，全体精灵生命恢复10%,1,1,,,,,,2
5,一次性强化药剂,3,1,,,3,,,4,,,,,,city/adventure/random_maze/items/icon_qhyj.png,生效于队伍全部精灵，下次战斗时，全精灵六维度属性提升30%（仅生效在下次战斗），生效后不可重复使用,2,1,<2>,,,{1=30%;7=30%;8=30%;9=30%;10=30%;13=30%},,7
6,普通避战药剂,,,,,,,1,,,,,7,,city/adventure/random_maze/items/icon_lmyj.png,恢复1次避战次数,1,1,,,,,,6
7,高级避战药剂,,,,,,,3,4,,,,7,,city/adventure/random_maze/items/icon_xjyj.png,恢复3次避战次数,1,1,,,,,,6
8,明亮药剂,1,3,,,1,,,5,,,,,,city/adventure/random_maze/items/icon_mlyj.png,使用后，后3次行动可视范围扩大至周边8格事件，3次行动后恢复正常,3,1,<1>,,,,,8
9,下次翻倍卡！,2,1,,,2,,,5,,,,,,city/adventure/random_maze/items/icon_xcfb.png,使用后，下次触发奖励或惩罚翻倍,3,1,<1>,,,,,9
10,普通精灵体力药,,,,,,4,1,,,,1,8,2,city/adventure/random_maze/items/icon_tlyj.png,使用后可恢复1只精灵1点体力,1,1,,,,,,3
11,全体精灵体力药,,,,,,4,1,5,,,2,8,2,city/adventure/random_maze/items/icon_jdbp.png,使用后可恢复全部精灵1点体力,1,1,,,,,,4
12,普通行动力补品,,,,,,,2,,,,,6,,city/adventure/random_maze/items/icon_fcsl.png,使用后恢复自身2点行动力,1,1,,,,,,5
13,高级行动力补品,,,,,,,4,4,,,,6,,city/adventure/random_maze/items/icon_hhcd.png,使用后恢复自身4点行动力,1,1,,,,,,5
14,未知果实,,,,,,,2,4,,,,9,,city/adventure/random_maze/items/icon_wzgs.png,使用后有50%概率回复2点行动力，也有50%概率扣除2点行动力,1,1,,,,,{successProb=0.7},10
15,顶级恢复补品,,,,,,1,80,5,,,1,1,2,config/item/icon_sgd.png,精灵未处于力竭时可使用，单只精灵血量恢复80%,1,1,,,,,,1
16,全体治愈药剂,,,,,,2,40,5,,,2,1,2,config/item/icon_ddm.png,精灵未处于力竭时，可使用，全体精灵生命恢复40%,1,1,,,,,,2
17,高级精灵体力药,,,,,,4,3,5,,,1,8,2,config/item/icon_bkfkh.png,使用后可恢复1只精灵3点体力,1,1,,,,,,3
18,顶级行动力补品,,,,,,,6,5,,,,6,,config/item/icon_mczy.png,使用后恢复自身6点行动力,1,1,,,,,,5
1001,便携式攀登梯,,,,,,,,5,4,2,,,3,city/adventure/random_maze/items/icon_tz.png,"使用后可一次性生成1个攀登梯搭在临近的障碍物上,下次移动时可直接越过前方障碍直达障碍后1格方块,同一障碍物每个方向仅可搭1个攀登梯",3,1,,,,,,11
1002,便携式破坏者,,,,,,,,5,4,2,,,3,city/adventure/random_maze/items/icon_bxsphz.png,使用后可摧毁1个临近的障碍物，被破坏的障碍物下方无任何事件,3,1,,,,,,11
2001,急速冷却液,,,,,,,,5,,3,,,3,city/adventure/random_maze/items/icon_jslqy.png,使用后可选择周边8格范围内的任意1格的岩浆去除,3,1,,<-1>,,,,12
2002,便携式火炉,,,,,,,,5,,3,,,3,city/adventure/random_maze/items/icon_bxsnl.png,使用后可选择周边8格范围内的任意1格变为保暖区，生成的保暖区将在暴雪侵袭后消除,3,1,,,<1;2;3>,,,12
2003,神佑庇护符,4,1,,,,,,5,,,,,,city/adventure/random_maze/items/icon_bhf.png,使用后可庇护一次来自于幽冥诅咒对全体精灵的伤害,3,1,<1>,,,,,12
2004,临时挡风墙,,,,,,,,5,,3,,,3,city/adventure/random_maze/items/icon_dfq.png,使用后可选择临近自身的一处位置生成临时避风墙，抵挡一次狂风侵袭，狂风侵袭后避风港消失(避风墙存在时无法走到墙所在的格子上),3,1,,,<1;2;5>,,,12
