变量名,moveAction,height,width,earthRes,blockRes,x,usedRes,y,mapInnerBuildingID,mapInnerP,buildings,blockArray,base,random
默认值,0,11,11,"""""",city/adventure/random_maze/huoshan,0,"""""",0,13,0,<>,<>,{},<<105;2>;<9;0.2>;<8;0.3>;<4;5>;<5;0.12>;<6;0.2>>
ID,移动消耗行动力,地图高度(格子数),地图宽度(格子数),地表资源图片路径,方块资源目录路径,地图X坐标偏移,已完成遮罩资源路径,地图Y坐标偏移,内部地图建筑ID(map_building表),内部地图生成概率,建筑ID列表<map_building表ID>,方块样式数组<样式编号>,基础配置{},随机事件配置<<格子类型ID;权重>>
1,,,,city/adventure/random_maze/huoshan/yanjiang.png,city/adventure/random_maze/huoshan,,city/adventure/random_maze/icon/mask_yiwancheng1.png,-175,11,0.2,<14;14;15;11;12>,<1;2;3;5;8>,,<<101;2>;<14;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
2,,,,city/adventure/random_maze/huoshan/yanjiang.png,city/adventure/random_maze/huoshan,,city/adventure/random_maze/icon/mask_yiwancheng1.png,-175,,0.5,<14;15;16;17;11;12;13>,<1;2;3;4;5;6;7;8;9>,,<<101;2>;<14;1>;<111;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
3,,,,city/adventure/random_maze/huoshan/yanjiang.png,city/adventure/random_maze/huoshan,,city/adventure/random_maze/icon/mask_yiwancheng1.png,-175,17,0.5,<14;15;16;17>,<4;6;7;9>,,<<111;2>;<14;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
4,,,,,city/adventure/random_maze/bingxue,,city/adventure/random_maze/icon/mask_yiwancheng.png,-175,24,0.2,<21;22;23;24;25;26>,<4;5;6;7;10;11>,,<<101;2>;<14;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
5,,,,,city/adventure/random_maze/bingxue,,city/adventure/random_maze/icon/mask_yiwancheng.png,-175,25,0.5,<21;22;23;24;25;26;27>,<1;2;4;5;6;7;8;9;10;11>,,<<101;2>;<14;1>;<111;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
6,,,,,city/adventure/random_maze/bingxue,,city/adventure/random_maze/icon/mask_yiwancheng.png,-175,27,0.5,<21;22;23;27>,<1;2;8;9>,,<<111;2>;<14;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
7,,,,,city/adventure/random_maze/youming,,city/adventure/random_maze/icon/mask_yiwancheng2.png,-165,32,0.2,<31;32;33;34>,<3;4;5;7;8>,,<<101;2>;<14;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
8,,,,,city/adventure/random_maze/youming,,city/adventure/random_maze/icon/mask_yiwancheng2.png,-165,33,0.5,<31;32;33;34>,<1;2>,,<<101;2>;<14;1>;<111;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
9,,,,,city/adventure/random_maze/youming,,city/adventure/random_maze/icon/mask_yiwancheng2.png,-165,34,0.5,<31;32;33;34>,<3;4;5;7;8>,,<<111;2>;<14;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
10,,,,,city/adventure/random_maze/liekong,,city/adventure/random_maze/icon/mask_yiwancheng3.png,-205,41,0.2,<41;42;43;44;45>,<3;5;7;8>,,<<101;2>;<14;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
11,,,,,city/adventure/random_maze/liekong,,city/adventure/random_maze/icon/mask_yiwancheng3.png,-205,43,0.5,<41;42;43;44;45>,<1;2;6>,,<<101;2>;<14;1>;<111;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
12,,,,,city/adventure/random_maze/liekong,,city/adventure/random_maze/icon/mask_yiwancheng3.png,-205,45,0.5,<41;42;43;44;45>,<1;2;3;5;6;7;8>,,<<111;2>;<14;1>;<4;10>;<5;6>;<6;4>;<7;3>;<8;20>;<9;15>;<15;5>;<11;3>;<12;2>;<3;20>;<13;3>>
