变量名,damageC,hpC,skillLevel,starEnd,starStart,advanceEnd,advanceStart,fightEnd,level,fightStart,specialDefenceC,defenceC,specialDamageC
默认值,1,1,0,0,0,0,0,0,0,0,1,1,1
ID,物攻系数,生命系数,技能等级,星级上限,星级下限,进阶上限,进阶下限,战力上限,怪物等级,战力下限,特防系数,物防系数,特攻系数
1,0.61,0.25,1,1,1,3,2,2000,3,,0.25,0.25,0.61
2,0.61,0.25,1,1,1,3,2,2200,4,2001,0.25,0.25,0.61
3,0.61,0.25,1,1,1,3,2,2420,5,2201,0.25,0.25,0.61
4,0.61,0.25,1,1,1,3,2,2662,6,2421,0.25,0.25,0.61
5,0.61,0.25,1,1,1,3,2,2928,7,2663,0.25,0.25,0.61
6,0.61,0.25,1,1,1,4,3,3221,8,2929,0.25,0.25,0.61
7,0.61,0.25,1,1,1,4,3,3543,9,3222,0.25,0.25,0.61
8,0.61,0.25,1,2,1,4,3,4074,10,3544,0.25,0.25,0.61
9,0.61,0.25,1,2,1,4,3,4685,11,4075,0.25,0.25,0.61
10,0.61,0.25,1,2,1,4,3,5388,12,4686,0.25,0.25,0.61
11,0.61,0.24,1,2,1,4,3,6196,13,5389,0.24,0.24,0.61
12,0.61,0.24,1,2,1,4,3,7125,14,6197,0.24,0.24,0.61
13,0.61,0.24,1,2,1,4,3,8194,15,7126,0.24,0.24,0.61
14,0.61,0.23,1,2,1,5,4,9013,16,8195,0.23,0.23,0.61
15,0.61,0.23,1,2,1,5,4,9914,17,9014,0.23,0.23,0.61
16,0.61,0.23,1,2,1,5,4,10905,18,9915,0.23,0.23,0.61
17,0.61,0.23,1,2,1,5,4,11996,19,10906,0.23,0.23,0.61
18,0.61,0.23,1,3,2,5,4,13196,20,11997,0.23,0.23,0.61
19,0.61,0.23,1,3,2,5,4,14516,21,13197,0.23,0.23,0.61
20,0.61,0.23,1,3,2,6,5,15968,22,14517,0.23,0.23,0.61
21,0.61,0.23,1,3,2,6,5,17565,23,15969,0.23,0.23,0.61
22,0.61,0.23,1,3,2,6,5,19322,24,17566,0.23,0.23,0.61
23,0.61,0.23,1,3,2,6,5,21254,25,19323,0.23,0.23,0.61
24,0.61,0.23,1,3,2,6,5,23379,26,21255,0.23,0.23,0.61
25,0.61,0.23,1,3,2,6,5,25717,27,23380,0.23,0.23,0.61
26,0.61,0.23,1,3,2,7,6,28289,28,25718,0.23,0.23,0.61
