变量名,limit,theme,pos,cost,weight,result,award
默认值,99,0,1,0,100,{},{}
ID,购买次数上限,适用主题ID(theme表),商品位置(1=常驻/2=药剂/3=恢复/4=特殊),航海币价格,随机权重(0=固定商品),购买结果{items=道具ID列表或{道具ID=数量}},购买奖励
1,,,,100,0,{items=<1>},
2,,,,200,0,{items={2=1}},
3,,,,200,0,{items={3=1}},
4,,,,200,0,{items={4=1}},
5,,,,300,0,{items={16=1}},
6,,,,300,0,{items={15=1}},
7,,,2,200,0,{items={5=1}},
8,,,2,300,0,{items={8=1}},
9,,,2,300,0,{items={9=1}},
10,,,2,200,0,{items={14=1}},
11,,,3,100,0,{items={6=1}},
12,,,3,200,0,{items={7=1}},
13,,,3,100,0,{items={12=1}},
14,,,3,200,0,{items={13=1}},
15,,,3,300,0,{items={18=1}},
16,,,3,100,0,{items={10=1}},
17,,,3,300,0,{items={11=1}},
18,,,3,300,0,{items={17=1}},
19,,,4,300,0,{items={1001=1}},
20,,,4,300,0,{items={1002=1}},
21,,,,100,300,{items=<1>},
22,,,,200,120,{items={2=1}},
23,,,,200,80,{items={3=1}},
24,,,,200,80,{items={4=1}},
25,,,,300,50,{items={16=1}},
26,,,,300,50,{items={15=1}},
27,,,2,200,300,{items={5=1}},
28,,,2,300,300,{items={8=1}},
29,,,2,300,120,{items={9=1}},
30,,,2,200,300,{items={14=1}},
31,,,3,100,300,{items={6=1}},
32,,,3,200,120,{items={7=1}},
33,,,3,100,300,{items={12=1}},
34,,,3,200,120,{items={13=1}},
35,,,3,300,50,{items={18=1}},
36,,,3,100,300,{items={10=1}},
37,,,3,300,80,{items={11=1}},
38,,,3,300,80,{items={17=1}},
39,,,4,300,300,{items={1001=1}},
40,,,4,300,300,{items={1002=1}},
41,,1,4,300,120,{items={2001=1}},
42,,2,4,300,120,{items={2002=1}},
43,,3,4,300,120,{items={2003=1}},
44,,4,4,300,120,{items={2004=1}},
