变量名,title,order,activeNumber,regainNumber,activeWeight,weight,chapter,desc,award
默认值,"""""",1,100,20,100,100,1,"""""",{}
ID,故事标题,排序序号,激活所需冒险见闻数,回收冒险见闻数,激活权重,随机权重,所属章节ID(chapter表),故事描述文本(\n换行),通关奖励{道具ID=数量;gold=金币}
1,征途启航,,0,0,0,0,,枯叶港的日子，水手皮卡丘早就过腻了。每天听着海浪拍岸的重复声响，闻着空气里散不去的咸腥味，看着码头工人来来回回搬运货物，已然提不起劲。\n直到那天，一艘画着巨翅飞鱼图腾的大船 “破浪号”扬起风帆，几只巨翅飞鱼套着缰绳，正摆着尾巴准备拉船前往传说里满是宝藏的富饶群岛。\n此刻它没有丝毫犹豫，闪电般穿过喧嚣码头，纵身跃上甲板，在未知的冒险和平淡的生活中，皮卡丘果断选择前者。\n海鸥在头顶盘旋，船长的号令声混着海风飘过来，巨翅飞鱼猛然发力，船身破开浪花，载着满满期待的皮卡丘，朝着无边无际的大海出发。,{135=100;gold=100000}
2,奇岛现身,,0,0,0,0,,海上航行风雨莫测，一场突兀的风暴席卷而来，巨浪拍打着“破浪号” ，船只在怒海中颠簸飘摇。\n也不知过了多久，风雨平息，“破浪号”前方隐约出现一座被浓雾笼罩的奇异岛屿。\n岛上皆是高耸的岩柱，如人工雕刻般笔直。船长紧急下令停船，让大家上岛勘探。\n皮卡丘拉着波加曼、喵喵组成小队，踏上了这片未知的土地，在岩柱之间穿梭，向岛屿的深处探索。,{135=100;gold=100000}
3,巨兽觉醒,,0,0,0,0,,皮卡丘在好奇心的驱使下触摸了冰凉的岩柱，突然脚下大地毫无征兆地猛烈摇晃、抬升！岩柱在剧烈的摇晃中崩裂，无数碎石滚落。\n这不是小岛，是一只极巨的隆隆岩！它身上覆盖着的苔藓和沉积岩证明已经沉睡数载，兴许是因为有外来者踏足而苏醒！！\n极巨隆隆岩一迈步，海面瞬间掀起了滔天巨浪。站在 “岛” 边的皮卡丘无意踩到苔藓，失足滑落，无助的坠入了这片无垠之海。,{135=100;gold=100000}
4,铁翼援手,,0,0,0,0,,坠入深海的皮卡丘奋力挣扎，但巨浪无情地将它越推越远，层层的海水不断吞没皮卡丘。\n力气一点点流失，窒息的绝望感蔓延全身，就在皮卡丘意识快要模糊的时候，隐约听到声尖锐的鸣叫！\n一道银色闪电俯冲滑破云层，是一只钢铠鸦\n它的钢爪精准钳住水中挣扎的黄色小点，猛地发力，将皮卡丘带离了吞噬一切的海之深渊，飞至灰暗的天空。,{135=100;gold=100000}
5,云端雷光,,0,0,0,0,,高空中，皮卡丘被钢铠鸦牢牢抓在金属爪中，无法挣脱。\n皮卡丘抬头看向钢铠鸦，目光对视中感受到没有一点温度，就像欣赏自己的猎物。往下望去，只有茫茫的大海，还有远处模糊的陆地轮廓。\n皮卡丘暗想这不是救援！求生的本能爆发，积攒全身剩余的力量，脸颊电囊迸发出十万伏特！强大的电流瞬间传遍钢铠鸦的全身，在痛苦的嘶鸣中金属爪缓缓松开。\n皮卡丘失去所有力量，从高空坠下。,{135=100;gold=100000}
6,密林馈赠,,0,0,0,0,,皮卡丘穿透云层飞速下坠，接受最后的命运，闭上了眼睛。幸运的是，皮卡丘坠入一片雨林，树叶和藤蔓减缓了下落的冲击力。\n当皮卡丘从铺满落叶的地上爬起时，一个高大、毛茸茸的粉色身影靠近—是穿着熊。皮卡丘警惕的做好战斗姿态，但因受伤过重再次倒地。\n穿着熊抱起满是伤痕的皮卡丘，带回到林间树洞，用一些有治愈能力的水果给皮卡丘疗伤，此刻皮卡丘才放下戒心，慢慢睡去。一天后皮卡丘恢复了活力并向这位森林守护者告别。\n临行前，穿着熊赠予它一枚在洞外拾到的奇异树果，也是友谊的信物。皮卡丘紧握这枚树果，挥了挥尾巴，再次踏上了回家的路，不管前面还有多少未知，此刻的它，满是勇气。,{135=100;gold=100000}
7,雾隐珊瑚,,0,0,0,0,2,一场突如其来的飓风推着“破浪号”前行，一头扎进了厚重的浓雾里。\n海面上的可见度极低，突然一道蓝绿色的巨影从雾中渐现，是一片嶙峋的珊瑚丛，绵延着组构成一座小岛！\n皮卡丘赶紧扑到船舵前，猛力转舵，堪堪避开尖锐的珊瑚。负责抛锚的锈斑猫船员刚把锚扔下去，突然惊呼：“这珊瑚丛…… 在动！” 话音刚落，锚链就传来一阵低沉的轰鸣，像巨兽的低语，带着整艘船都跟着震颤。,{135=100;gold=100000}
8,露丽之怒,,0,0,0,0,2,就在众人惊疑不定时，一群玛力露丽顺着船舷跃上甲板，为首的玛力露丽族长，尾巴上的大球砸向正偷偷摸珊瑚的牙牙，怒声道：“敢惊扰鲸神长眠的，都得永远困在这迷雾里！”\n一旁的老龟壶壶慢慢爬过来，颤巍巍地展开背上壳，壳上的壁画清晰可见。它指着壁画解释：这珊瑚岛，原是上古吼鲸王的群葬之地，那些露在外面的珊瑚角，吸收着月华慢慢生长，成了指引方向的导航珊瑚。\n每折断一枝，沉睡的吼鲸王，就离真正的死亡近一分。,{135=100;gold=100000}
9,断角惊魂,,0,0,0,0,2,当天夜里，牙牙趁大家不注意，偷偷溜下船，瞅见一根发光的珊瑚枝，想折下来当纪念品。\n“咔嚓——” 一声脆响，在寂静的夜里宛如一声雷暴！紧接着，整座珊瑚岛剧烈倾斜，海床裂开道深深的深渊。\n最大的那根珊瑚柱上，突然渗出像鲜血一样的红液，玛力露丽们见状，纷纷跪倒在地哀泣：“领航鲸王的角断了…… 它要永远迷失在深海坟场里了！”,{135=100;gold=100000}
10,链缚鲸歌,,0,0,0,0,2,皮卡丘见此情景，立刻喊道：“所有人动手，把锚链都缠到断角上！” \n大比鸟叼着缆绳，猛地俯冲捆绑；龙虾小兵们用钳子紧紧钳住锁扣，把锚链牢牢固定在断角上。\n船员们敲响船钟，钟声模仿着幼鲸的呼唤，一声声传向深海。皮卡丘站在断角旁边，使出十万伏特，激发自身的电气磁场。\n很快，一阵低沉的鲸鸣从地心深处传来，那道裂开的深渊里涌动的红液，竟奇迹般地慢慢凝固。,{135=100;gold=100000}
11,珍珠赎罪,,0,0,0,0,2,玛力露丽族长这时走上前，双手捧着一颗虹彩珍珠，郑重地说：“这是百年前鲸王赠予我们族的，如今该还给它了。”\n珍珠触碰到断角便化作液态的蓝金色，顺着断角慢慢流淌，最后重塑出一根流转星辉的新角。\n牙牙红着眼眶，把自己冒险得来的生命水滴献了出来，露珠一渗入珊瑚，原本苍白的枝干上，瞬间绽放出一朵朵荧光花苞。,{135=100;gold=100000}
12,彩虹航道,,0,0,0,0,2,第二天朝阳升起时，那头领航吼鲸王缓缓向深海下潜，断角处新生的珊瑚枝，自动飘落下来，落在了 “破浪号” 的船首。\n忽然，一阵空灵的鲸歌传来，七头幼年吼鲸王跃出波涛，它们喷出的水幕，在空中架起一道美丽的虹桥。\n“破浪号” 顺着虹桥的光晕，朝着风平浪静的金色海平线驶去。,{135=100;gold=100000}
