变量名,targetArg,targetType,taskType,desc,award
默认值,0,0,0,"""""",{}
ID,目标数值(达成条件),目标类型(1=挑战次数/2=击杀领主/3=消耗行动力/4=获取见闻/8=小游戏胜利/9=消耗航海币),任务类型(1=每周任务/2=累计任务),任务描述文本,任务奖励{道具ID=数量;gold=金币}
1,3,1,1,本周累计挑战3次,{135=200;136=1;gold=150000}
2,12,2,1,本周累计击杀12只领主,{135=200;545=1;gold=150000}
3,100,3,1,本周累计消耗玩法行动力100点,{135=200;136=1;gold=150000}
4,8000,4,1,本周累计获取冒险见闻8000点,{135=200;545=1;gold=150000}
10,15,2,2,累计击杀15只领主,{135=200;7390=1;gold=100000}
11,30,2,2,累计击杀30只领主,{135=200;7390=1;gold=100000}
12,45,2,2,累计击杀45只领主,{135=200;7390=1;gold=100000}
13,60,2,2,累计击杀60只领主,{135=200;7390=1;gold=100000}
14,75,2,2,累计击杀75只领主,{135=200;7391=1;gold=100000}
15,90,2,2,累计击杀90只领主,{135=200;7390=1;gold=100000}
16,105,2,2,累计击杀105只领主,{135=200;7390=1;gold=100000}
17,120,2,2,累计击杀120只领主,{135=200;7390=1;gold=100000}
18,135,2,2,累计击杀135只领主,{135=200;7390=1;gold=100000}
19,150,2,2,累计击杀150只领主,{135=200;7392=1;gold=100000}
20,165,2,2,累计击杀165只领主,{135=200;7390=1;gold=100000}
21,180,2,2,累计击杀180只领主,{135=200;7390=1;gold=100000}
22,195,2,2,累计击杀195只领主,{135=200;7390=1;gold=100000}
23,210,2,2,累计击杀210只领主,{135=200;7390=1;gold=100000}
24,225,2,2,累计击杀225只领主,{135=200;7391=1;gold=100000}
25,240,2,2,累计击杀240只领主,{135=200;7390=1;gold=100000}
26,255,2,2,累计击杀255只领主,{135=200;7390=1;gold=100000}
27,270,2,2,累计击杀270只领主,{135=200;7390=1;gold=100000}
28,285,2,2,累计击杀285只领主,{135=200;7390=1;gold=100000}
29,300,2,2,累计击杀300只领主,{135=200;7393=1;gold=100000}
30,315,2,2,累计击杀315只领主,{135=300;7390=1;gold=150000}
31,330,2,2,累计击杀330只领主,{135=300;7390=1;gold=150000}
32,345,2,2,累计击杀345只领主,{135=300;7390=1;gold=150000}
33,360,2,2,累计击杀360只领主,{135=300;7390=1;gold=150000}
34,375,2,2,累计击杀375只领主,{135=300;7391=1;gold=150000}
35,390,2,2,累计击杀390只领主,{135=300;7390=1;gold=150000}
36,405,2,2,累计击杀405只领主,{135=300;7390=1;gold=150000}
37,420,2,2,累计击杀420只领主,{135=300;7390=1;gold=150000}
38,435,2,2,累计击杀435只领主,{135=300;7390=1;gold=150000}
39,450,2,2,累计击杀450只领主,{135=300;7392=1;gold=150000}
40,465,2,2,累计击杀465只领主,{135=300;7390=1;gold=150000}
41,480,2,2,累计击杀480只领主,{135=300;7390=1;gold=150000}
42,495,2,2,累计击杀495只领主,{135=300;7390=1;gold=150000}
43,510,2,2,累计击杀510只领主,{135=300;7390=1;gold=150000}
44,525,2,2,累计击杀525只领主,{135=300;7391=1;gold=150000}
45,540,2,2,累计击杀540只领主,{135=300;7390=1;gold=150000}
46,555,2,2,累计击杀555只领主,{135=300;7390=1;gold=150000}
47,570,2,2,累计击杀570只领主,{135=300;7390=1;gold=150000}
48,585,2,2,累计击杀585只领主,{135=300;7390=1;gold=150000}
49,600,2,2,累计击杀600只领主,{135=300;7393=1;gold=150000}
50,615,2,2,累计击杀615只领主,{135=400;7390=1;gold=200000}
51,630,2,2,累计击杀630只领主,{135=400;7390=1;gold=200000}
52,645,2,2,累计击杀645只领主,{135=400;7390=1;gold=200000}
53,660,2,2,累计击杀660只领主,{135=400;7390=1;gold=200000}
54,675,2,2,累计击杀675只领主,{135=400;7391=1;gold=200000}
55,690,2,2,累计击杀690只领主,{135=400;7390=1;gold=200000}
56,705,2,2,累计击杀705只领主,{135=400;7390=1;gold=200000}
57,720,2,2,累计击杀720只领主,{135=400;7390=1;gold=200000}
58,735,2,2,累计击杀735只领主,{135=400;7390=1;gold=200000}
59,750,2,2,累计击杀750只领主,{135=400;7392=1;gold=200000}
60,765,2,2,累计击杀765只领主,{135=400;7390=1;gold=200000}
61,780,2,2,累计击杀780只领主,{135=400;7390=1;gold=200000}
62,795,2,2,累计击杀795只领主,{135=400;7390=1;gold=200000}
63,810,2,2,累计击杀810只领主,{135=400;7390=1;gold=200000}
64,825,2,2,累计击杀825只领主,{135=400;7391=1;gold=200000}
65,840,2,2,累计击杀840只领主,{135=400;7390=1;gold=200000}
66,855,2,2,累计击杀855只领主,{135=400;7390=1;gold=200000}
67,870,2,2,累计击杀870只领主,{135=400;7390=1;gold=200000}
68,885,2,2,累计击杀885只领主,{135=400;7390=1;gold=200000}
69,900,2,2,累计击杀900只领主,{135=400;7393=1;gold=200000}
100,10000,4,2,累计获得10000点冒险见闻,{135=200;7390=1;gold=100000}
101,20000,4,2,累计获得20000点冒险见闻,{135=200;7390=1;gold=100000}
102,30000,4,2,累计获得30000点冒险见闻,{135=200;7390=1;gold=100000}
103,40000,4,2,累计获得40000点冒险见闻,{135=200;7390=1;gold=100000}
104,50000,4,2,累计获得50000点冒险见闻,{135=200;7391=1;gold=100000}
105,60000,4,2,累计获得60000点冒险见闻,{135=200;7390=1;gold=100000}
106,70000,4,2,累计获得70000点冒险见闻,{135=200;7390=1;gold=100000}
107,80000,4,2,累计获得80000点冒险见闻,{135=200;7390=1;gold=100000}
108,90000,4,2,累计获得90000点冒险见闻,{135=200;7390=1;gold=100000}
109,100000,4,2,累计获得100000点冒险见闻,{135=200;7392=1;gold=100000}
110,110000,4,2,累计获得110000点冒险见闻,{135=200;7390=1;gold=100000}
111,120000,4,2,累计获得120000点冒险见闻,{135=200;7390=1;gold=100000}
112,130000,4,2,累计获得130000点冒险见闻,{135=200;7390=1;gold=100000}
113,140000,4,2,累计获得140000点冒险见闻,{135=200;7390=1;gold=100000}
114,150000,4,2,累计获得150000点冒险见闻,{135=200;7391=1;gold=100000}
115,160000,4,2,累计获得160000点冒险见闻,{135=200;7390=1;gold=100000}
116,170000,4,2,累计获得170000点冒险见闻,{135=200;7390=1;gold=100000}
117,180000,4,2,累计获得180000点冒险见闻,{135=200;7390=1;gold=100000}
118,190000,4,2,累计获得190000点冒险见闻,{135=200;7390=1;gold=100000}
119,200000,4,2,累计获得200000点冒险见闻,{135=200;7393=1;gold=100000}
120,210000,4,2,累计获得210000点冒险见闻,{135=300;7390=1;gold=150000}
121,220500,4,2,累计获得220500点冒险见闻,{135=300;7390=1;gold=150000}
122,231000,4,2,累计获得231000点冒险见闻,{135=300;7390=1;gold=150000}
123,241500,4,2,累计获得241500点冒险见闻,{135=300;7390=1;gold=150000}
124,252000,4,2,累计获得252000点冒险见闻,{135=300;7391=1;gold=150000}
125,262500,4,2,累计获得262500点冒险见闻,{135=300;7390=1;gold=150000}
126,273000,4,2,累计获得273000点冒险见闻,{135=300;7390=1;gold=150000}
127,283500,4,2,累计获得283500点冒险见闻,{135=300;7390=1;gold=150000}
128,294000,4,2,累计获得294000点冒险见闻,{135=300;7390=1;gold=150000}
129,304500,4,2,累计获得304500点冒险见闻,{135=300;7392=1;gold=150000}
130,315000,4,2,累计获得315000点冒险见闻,{135=300;7390=1;gold=150000}
131,329000,4,2,累计获得329000点冒险见闻,{135=300;7390=1;gold=150000}
132,343000,4,2,累计获得343000点冒险见闻,{135=300;7390=1;gold=150000}
133,357000,4,2,累计获得357000点冒险见闻,{135=300;7390=1;gold=150000}
134,371000,4,2,累计获得371000点冒险见闻,{135=300;7391=1;gold=150000}
135,385000,4,2,累计获得385000点冒险见闻,{135=300;7390=1;gold=150000}
136,399000,4,2,累计获得399000点冒险见闻,{135=300;7390=1;gold=150000}
137,413000,4,2,累计获得413000点冒险见闻,{135=300;7390=1;gold=150000}
138,427000,4,2,累计获得427000点冒险见闻,{135=300;7390=1;gold=150000}
139,441000,4,2,累计获得441000点冒险见闻,{135=300;7393=1;gold=150000}
140,455000,4,2,累计获得455000点冒险见闻,{135=400;7390=1;gold=200000}
141,469000,4,2,累计获得469000点冒险见闻,{135=400;7390=1;gold=200000}
142,483000,4,2,累计获得483000点冒险见闻,{135=400;7390=1;gold=200000}
143,497000,4,2,累计获得497000点冒险见闻,{135=400;7390=1;gold=200000}
144,511000,4,2,累计获得511000点冒险见闻,{135=400;7391=1;gold=200000}
145,525000,4,2,累计获得525000点冒险见闻,{135=400;7390=1;gold=200000}
146,539000,4,2,累计获得539000点冒险见闻,{135=400;7390=1;gold=200000}
147,553000,4,2,累计获得553000点冒险见闻,{135=400;7390=1;gold=200000}
148,567000,4,2,累计获得567000点冒险见闻,{135=400;7390=1;gold=200000}
149,581000,4,2,累计获得581000点冒险见闻,{135=400;7392=1;gold=200000}
150,595000,4,2,累计获得595000点冒险见闻,{135=400;7390=1;gold=200000}
151,612500,4,2,累计获得612500点冒险见闻,{135=400;7390=1;gold=200000}
152,630000,4,2,累计获得630000点冒险见闻,{135=400;7390=1;gold=200000}
153,647500,4,2,累计获得647500点冒险见闻,{135=400;7390=1;gold=200000}
154,665000,4,2,累计获得665000点冒险见闻,{135=400;7391=1;gold=200000}
155,682500,4,2,累计获得682500点冒险见闻,{135=400;7390=1;gold=200000}
156,700000,4,2,累计获得700000点冒险见闻,{135=400;7390=1;gold=200000}
157,717500,4,2,累计获得717500点冒险见闻,{135=400;7390=1;gold=200000}
158,735000,4,2,累计获得735000点冒险见闻,{135=400;7390=1;gold=200000}
159,752500,4,2,累计获得752500点冒险见闻,{135=400;7393=1;gold=200000}
200,6,8,2,累计获得小游戏胜利/平局6次,{135=200;7390=1;gold=100000}
201,12,8,2,累计获得小游戏胜利/平局12次,{135=200;7390=1;gold=100000}
202,18,8,2,累计获得小游戏胜利/平局18次,{135=200;7390=1;gold=100000}
203,24,8,2,累计获得小游戏胜利/平局24次,{135=200;7390=1;gold=100000}
204,30,8,2,累计获得小游戏胜利/平局30次,{135=200;7391=1;gold=100000}
205,36,8,2,累计获得小游戏胜利/平局36次,{135=200;7390=1;gold=100000}
206,42,8,2,累计获得小游戏胜利/平局42次,{135=200;7390=1;gold=100000}
207,48,8,2,累计获得小游戏胜利/平局48次,{135=200;7390=1;gold=100000}
208,54,8,2,累计获得小游戏胜利/平局54次,{135=200;7390=1;gold=100000}
209,60,8,2,累计获得小游戏胜利/平局60次,{135=200;7392=1;gold=100000}
210,66,8,2,累计获得小游戏胜利/平局66次,{135=200;7390=1;gold=100000}
211,74,8,2,累计获得小游戏胜利/平局74次,{135=200;7390=1;gold=100000}
212,82,8,2,累计获得小游戏胜利/平局82次,{135=200;7390=1;gold=100000}
213,90,8,2,累计获得小游戏胜利/平局90次,{135=200;7390=1;gold=100000}
214,98,8,2,累计获得小游戏胜利/平局98次,{135=200;7391=1;gold=100000}
215,106,8,2,累计获得小游戏胜利/平局106次,{135=200;7390=1;gold=100000}
216,114,8,2,累计获得小游戏胜利/平局114次,{135=200;7390=1;gold=100000}
217,122,8,2,累计获得小游戏胜利/平局122次,{135=200;7390=1;gold=100000}
218,130,8,2,累计获得小游戏胜利/平局130次,{135=200;7390=1;gold=100000}
219,138,8,2,累计获得小游戏胜利/平局138次,{135=200;7393=1;gold=100000}
220,146,8,2,累计获得小游戏胜利/平局146次,{135=300;7390=1;gold=150000}
221,156,8,2,累计获得小游戏胜利/平局156次,{135=300;7390=1;gold=150000}
222,166,8,2,累计获得小游戏胜利/平局166次,{135=300;7390=1;gold=150000}
223,176,8,2,累计获得小游戏胜利/平局176次,{135=300;7390=1;gold=150000}
224,186,8,2,累计获得小游戏胜利/平局186次,{135=300;7391=1;gold=150000}
225,196,8,2,累计获得小游戏胜利/平局196次,{135=300;7390=1;gold=150000}
226,206,8,2,累计获得小游戏胜利/平局206次,{135=300;7390=1;gold=150000}
227,216,8,2,累计获得小游戏胜利/平局216次,{135=300;7390=1;gold=150000}
228,226,8,2,累计获得小游戏胜利/平局226次,{135=300;7390=1;gold=150000}
229,236,8,2,累计获得小游戏胜利/平局236次,{135=300;7392=1;gold=150000}
230,246,8,2,累计获得小游戏胜利/平局246次,{135=300;7390=1;gold=150000}
231,256,8,2,累计获得小游戏胜利/平局256次,{135=300;7390=1;gold=150000}
232,266,8,2,累计获得小游戏胜利/平局266次,{135=300;7390=1;gold=150000}
233,276,8,2,累计获得小游戏胜利/平局276次,{135=300;7390=1;gold=150000}
234,286,8,2,累计获得小游戏胜利/平局286次,{135=300;7391=1;gold=150000}
235,296,8,2,累计获得小游戏胜利/平局296次,{135=300;7390=1;gold=150000}
236,306,8,2,累计获得小游戏胜利/平局306次,{135=300;7390=1;gold=150000}
237,316,8,2,累计获得小游戏胜利/平局316次,{135=300;7390=1;gold=150000}
238,326,8,2,累计获得小游戏胜利/平局326次,{135=300;7390=1;gold=150000}
239,336,8,2,累计获得小游戏胜利/平局336次,{135=300;7393=1;gold=150000}
240,346,8,2,累计获得小游戏胜利/平局346次,{135=400;7390=1;gold=200000}
241,356,8,2,累计获得小游戏胜利/平局356次,{135=400;7390=1;gold=200000}
242,366,8,2,累计获得小游戏胜利/平局366次,{135=400;7390=1;gold=200000}
243,376,8,2,累计获得小游戏胜利/平局376次,{135=400;7390=1;gold=200000}
244,386,8,2,累计获得小游戏胜利/平局386次,{135=400;7391=1;gold=200000}
245,396,8,2,累计获得小游戏胜利/平局396次,{135=400;7390=1;gold=200000}
246,406,8,2,累计获得小游戏胜利/平局406次,{135=400;7390=1;gold=200000}
247,416,8,2,累计获得小游戏胜利/平局416次,{135=400;7390=1;gold=200000}
248,426,8,2,累计获得小游戏胜利/平局426次,{135=400;7390=1;gold=200000}
249,436,8,2,累计获得小游戏胜利/平局436次,{135=400;7392=1;gold=200000}
250,446,8,2,累计获得小游戏胜利/平局446次,{135=400;7390=1;gold=200000}
