变量名,room,_roomType,_beizhu,icon,weight,group,name,monsterType,type,desc,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
默认值,0,,,"""""",100,1,"""""",1,0,"""""",1,1,1,{},<>,<>,1,0,0,{},{}
ID,房间,房间设定,备注,图标,权值（-1表示必定会随机到）,组ID,显示名称,怪物类型,类型（1-怪物；2-加成buff；3-宝箱；4-随机事件event）,描述文本,怪物组id,战力修正系数,积分修正,掉落预览,加成组（<<group;weight>; <group;weight>>）,随机事件（<<group;weight>; <group;weight>>）,宝箱类型（1普通，2豪华）,金币产出,试炼币产出,首次开启随机奖励,加开随机奖励
1,2,4选1被动,定库被动1,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<101;100>>,,,,,,
2,2,4选1被动,定库被动2,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<102;100>>,,,,,,
3,2,4选1被动,定库被动3,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<12223;100>>,,,,,,
10003,2,4选1被动,定库被动3,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<12224;100>>,,,,,,
4,3,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
5,3,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
6,3,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
7,3,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
8,3,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
9,3,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
10,4,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
11,4,混固箱,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
12,4,混固箱,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
13,4,混固箱,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
14,4,混固箱,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
15,4,混固箱,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
16,4,混固箱,小宝箱,city/adventure/random_tower/icon_bx.png,-1,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,10000,20,{libs=<504;504;>},
17,4,混固箱,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
18,4,混固箱,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
19,4,混固箱,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
20,5,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
21,5,混固箱,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
22,5,混固箱,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;30>>,,,,,,
23,5,混固箱,属性加成大,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
24,5,混固箱,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
25,5,混固箱,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
26,5,混固箱,小宝箱,city/adventure/random_tower/icon_bx.png,-1,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,10000,20,{libs=<504;504;>},
27,5,混固箱,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
28,5,混固箱,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
29,5,混固箱,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
30,6,混固怪,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
10030,6,4选1被动,定库被动3,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<1;100>;<12223;20>;<12224;20>>,,,,,,
31,6,混固怪,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
32,6,混固怪,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;40>>,,,,,,
10032,6,4选1被动,定库被动3,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<1;100>;<2;40>;<2223;50>;<2224;50>>,,,,,,
33,6,混固怪,属性加成大,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
34,6,混固怪,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
35,6,混固怪,随机事件中,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
36,6,混固怪,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,10000,20,{libs=<504;504;>},
37,6,混固怪,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
38,6,混固怪,普通,city/adventure/random_tower/icon/img_ptdr@.png,-1,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
39,6,混固怪,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
40,7,混合,补给大,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
41,7,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
42,7,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
43,7,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
44,7,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
45,7,混合,随机事件中,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
