变量名,icon,name,type,param,validRechargeHuodong,rmbDisplay,rmb,firstPresent,firstDesc,present,desc,recommend,sortValue,languages
默认值,“”,,1,{},TRUE,"""""",0,0,,0,,0,0,<cn>
充值项ID,充值项图标,充值项名称,类型（1一次性，2持续性，3礼包）,特殊参数,是否激活充值类活动,消耗RMB,基础钻石,首次购买赠送,首次购买描述,普通购买赠送,普通购买描述,是否推荐,排序优先级（越大越前，未首冲+100）,语言区域
1,,300钻石月卡包,2,{days=30},,"""30""",300,0,连续30天每天领取58888钻,0,连续30天每天领取58888钻,1,,<cn;tw;en;vn;th;kr>
2,,880钻石月卡包,2,{days=30},,"""88""",880,0,连续30天每天领取88888钻,0,连续30天每天领取88888钻,1,,<cn;tw;en;vn;th;kr>
3,city/recharge/icon_cz_7@.png,6480钻石,,,,"""648""",6480,52300,另赠6480钻(仅首次),0,,1,9,
4,city/recharge/icon_cz_6@.png,3280钻石,,,,"""328""",3280,23800,另赠3280钻(仅首次),0,,1,8,
5,city/recharge/icon_cz_5@.png,1980钻石,,,,"""198""",1980,12800,另赠1980钻(仅首次),0,,1,7,
6,city/recharge/icon_cz_4@.png,980钻石,,,,"""98""",980,5000,另赠980钻(仅首次),0,,0,6,
7,city/recharge/icon_cz_3@.png,600钻石,,,,"""60""",600,3000,另赠600钻(仅首次),0,,0,5,
8,city/recharge/icon_cz_2@.png,300钻石,,,,"""30""",300,1500,另赠300钻(仅首次),0,,0,4,
9,city/recharge/icon_cz_1@.png,60钻石,,,,"""6""",60,300,,0,,0,3,
,,10钻石,,,,1,10,,,,,,,
,,1钻石1角测试,,,,0.1,1,,,,,,,
,,,,,,,,,,,,,,
101,,直购礼包1,3,,,"""1""",10,0,,,,,,<cn>
102,,直购礼包6,3,,,"""6""",60,0,,,,,,<cn;tw;en;vn;th;kr>
103,,直购礼包12,3,,,"""12""",120,0,,,,,,<cn;tw;en;vn;th;kr>
104,,直购礼包18,3,,,"""18""",180,0,,,,,,<cn;tw;en;vn;th;kr>
105,,直购礼包25,3,,,"""25""",250,0,,,,,,<cn;tw;en;vn;th;kr>
106,,直购礼包30,3,,,"""30""",300,0,,,,,,<cn;tw;en;vn;th;kr>
107,,直购礼包60,3,,,"""60""",600,0,,,,,,<cn;tw;en;vn;th;kr>
108,,直购礼包98,3,,,"""98""",980,0,,,,,,<cn;tw;en;vn;th;kr>
109,,直购礼包128,3,,,"""128""",1280,0,,,,,,<cn;tw;en;vn;th;kr>
110,,直购礼包168,3,,,"""168""",1680,0,,,,,,<cn;tw;en;vn;th;kr>
111,,直购礼包198,3,,,"""198""",1980,0,,,,,,<cn;tw;en;vn;th;kr>
112,,直购礼包328,3,,,"""328""",3280,0,,,,,,<cn;tw;en;vn;th;kr>
113,,直购礼包648,3,,,"""648""",6480,0,,,,,,<cn;tw;en;vn;th;kr>
,,,,,,,,,,,,,,
,,,2,{days=30},,,340,0,,0,,1,,<tw>
,,,2,{days=30},,,980,0,,0,,1,,<tw>
,city/recharge/icon_cz_6.png,,,,,,6580,6580,,0,,1,9,<tw>
,city/recharge/icon_cz_5.png,,,,,,3380,3380,,0,,1,8,<tw>
,city/recharge/icon_cz_4.png,,,,,,1980,1980,,0,,1,7,<tw>
,city/recharge/icon_cz_3.png,,,,,,980,980,,0,,0,6,<tw>
,city/recharge/icon_cz_2.png,,,,,,580,580,,0,,0,5,<tw>
,city/recharge/icon_cz_1.png,,,,,,340,340,,0,,0,4,<tw>
,city/recharge/icon_cz_1.png,,,,,,66,66,,0,,0,3,<tw>
,,,,,,,,,,,,,,
1101,city/recharge/icon_cz_1@.png,,,,,,66,66,,0,,0,1,<tw>
1102,city/recharge/icon_cz_1@.png,,,,,,140,140,,0,,0,2,<tw>
1103,city/recharge/icon_cz_2@.png,,,,,,200,200,,0,,0,3,<tw>
1104,city/recharge/icon_cz_2@.png,,,,,,260,260,,0,,0,4,<tw>
1105,city/recharge/icon_cz_3@.png,,,,,,340,340,,0,,0,5,<tw>
1106,city/recharge/icon_cz_3@.png,,,,,,580,580,,0,,0,6,<tw>
1107,city/recharge/icon_cz_4@.png,,,,,,860,860,,0,,0,7,<tw>
1108,city/recharge/icon_cz_4@.png,,,,,,980,980,,0,,0,8,<tw>
1109,city/recharge/icon_cz_5@.png,,,,,,1340,1340,,0,,0,9,<tw>
1110,city/recharge/icon_cz_5@.png,,,,,,1740,1740,,0,,0,10,<tw>
