变量名,name,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,type,__version
默认值,"""""",config/portrait/speedranktouxiang/img_25_pkq@.png,,,,,<cn;tw;en;vn;th;kr;en_us;en_eu>,特殊途径解锁,1,
ID,名字,icon（支持spine）,卡牌id,物品id,形象id,皮肤id,语言区域,解锁条件,新增,__version
1,小智,config/portrait/toptouxiang/img_role_1@.png,,,1,,<cn;tw;en;vn;th;kr;en_us;en_eu>,解锁训练家形象后可使用,,
2,小霞,config/portrait/toptouxiang/img_role_2@.png,,,2,,,解锁训练家形象后可使用,,
3,拉普,config/portrait/toptouxiang/img_role_3@.png,,,3,,,解锁训练家形象后可使用,,
4,布尔美丽,config/portrait/toptouxiang/img_role_4@.png,,,4,,,解锁训练家形象后可使用,,
5,露美旦,config/portrait/toptouxiang/img_role_5@.png,,,5,,,解锁训练家形象后可使用,,
6,梅雅利,config/portrait/toptouxiang/img_role_6@.png,,,6,,<cn;kr;en;tw;en_eu;en_us>,解锁训练家形象后可使用,,
7,三色堇,config/portrait/toptouxiang/img_role_7@.png,,,7,,,解锁训练家形象后可使用,,
8,紫罗兰,config/portrait/toptouxiang/img_role_8@.png,,,8,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
9,西子伊,config/portrait/toptouxiang/img_role_9@.png,,,9,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
10,杜娟,config/portrait/toptouxiang/img_role_10@.png,,,10,,,解锁训练家形象后可使用,,
11,阿克罗玛,config/portrait/toptouxiang/img_role_11@.png,,,11,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
12,亚莎,config/portrait/toptouxiang/img_role_12@.png,,,12,,,解锁训练家形象后可使用,,
13,修,config/portrait/toptouxiang/img_role_13@.png,,,13,,,解锁训练家形象后可使用,,
14,霍米加,config/portrait/toptouxiang/img_role_14@.png,,,14,,,解锁训练家形象后可使用,,
15,白露,config/portrait/toptouxiang/img_role_15@.png,,,15,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
16,可尔妮,config/portrait/toptouxiang/img_role_16@.png,,,16,,,解锁训练家形象后可使用,,
17,兰昼妮,config/portrait/toptouxiang/img_role_17@.png,,,17,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
18,露夕华,config/portrait/toptouxiang/img_role_18@.png,,,18,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
19,兰妞夜,config/portrait/toptouxiang/img_role_19@.png,,,19,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
20,芦荟,config/portrait/toptouxiang/img_role_20@.png,,,20,,,解锁训练家形象后可使用,,
21,斗子,config/portrait/toptouxiang/img_role_21@.png,,,21,,,解锁训练家形象后可使用,,
22,芽衣,config/portrait/toptouxiang/img_role_22@.png,,,22,,,解锁训练家形象后可使用,,
23,弥莉丝,config/portrait/toptouxiang/img_role_23@.png,,,23,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
24,芙蓉,config/portrait/toptouxiang/img_role_24@.png,,,24,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
25,水莲,config/portrait/toptouxiang/img_role_25@.png,,,25,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
26,碧蓝,config/portrait/toptouxiang/img_role_26@.png,,,26,,,解锁训练家形象后可使用,,
27,小刚,config/portrait/toptouxiang/img_role_27@.png,,,27,,,解锁训练家形象后可使用,,
28,碧珂,config/portrait/toptouxiang/img_role_28@.png,,,28,,,解锁训练家形象后可使用,,
29,达帕,config/portrait/toptouxiang/img_role_29@.png,,,29,,,解锁训练家形象后可使用,,
30,库库伊,config/portrait/toptouxiang/img_role_30@.png,,,30,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
31,艾岚,config/portrait/toptouxiang/img_role_31@.png,,,46,,,解锁训练家形象后可使用,,
32,大木博士,config/portrait/toptouxiang/img_role_32@.png,,,32,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
33,朗日,config/portrait/toptouxiang/img_role_33@.png,,,33,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
34,美月,config/portrait/toptouxiang/img_role_34@.png,,,34,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
35,小次郎,config/portrait/toptouxiang/img_role_35@.png,,,35,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
36,武藏,config/portrait/toptouxiang/img_role_36@.png,,,36,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
37,小智(圣诞),config/portrait/toptouxiang/img_role_37@.png,,,37,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
38,小霞(圣诞),config/portrait/toptouxiang/img_role_38@.png,,,38,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
39,水莲(夏日限定),config/portrait/toptouxiang/img_role_39@.png,,,39,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
40,格拉吉欧,config/portrait/toptouxiang/img_role_40@.png,,,40,,<cn;kr;tw;en;en_us;en_eu>,解锁训练家形象后可使用,,
41,玛奥,config/portrait/toptouxiang/img_role_41@.png,,,41,,<cn;kr;en;en_us;en_eu;tw>,解锁训练家形象后可使用,,
42,莉莉艾,config/portrait/toptouxiang/img_role_42@.png,,,42,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
43,阿塞萝拉,config/portrait/toptouxiang/img_role_43@.png,,,43,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
44,斗子(圣诞限定),config/portrait/toptouxiang/img_role_44@.png,,,44,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
45,美月(新春限定),config/portrait/toptouxiang/img_role_45@.png,,,45,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
46,小胜,config/portrait/toptouxiang/img_role_47@.png,,,48,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
47,希特隆,config/portrait/toptouxiang/img_role_49@.png,,,49,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
48,莉莉艾（活动限定）,config/portrait/toptouxiang/img_role_50@.png,,,50,,<cn>,解锁训练家形象后可使用,,
49,赤焰松,config/portrait/toptouxiang/img_role_51@.png,,,51,,<cn;kr;en;tw;en_eu;en_us>,解锁训练家形象后可使用,,
50,阿塞萝拉(万圣节),config/portrait/toptouxiang/img_role_52@.png,,,52,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
51,柚丽嘉,config/portrait/toptouxiang/img_role_53@.png,,,53,,<cn;kr;en;tw;en_eu;en_us>,解锁训练家形象后可使用,,
52,芽衣（圣诞限定）,config/portrait/toptouxiang/img_role_54@.png,,,54,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
53,玛奥(新春限定),config/portrait/toptouxiang/img_role_55@.png,,,55,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
54,天桐,config/portrait/toptouxiang/img_role_56@.png,,,56,,<cn;kr;en;tw;en_us>,解锁训练家形象后可使用,,
55,小茂,config/portrait/toptouxiang/img_role_57@.png,,,57,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
56,小光,config/portrait/toptouxiang/img_role_46@.png,,,47,,<cn;kr;en;tw;en_eu;en_us>,解锁训练家形象后可使用,,
57,莎莉娜,config/portrait/toptouxiang/img_role_58@.png,,,58,,<cn;kr;en;tw;en_eu;en_us>,解锁训练家形象后可使用,,
58,露璃娜,config/portrait/toptouxiang/img_role_59@.png,,,59,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
59,丹帝,config/portrait/toptouxiang/img_role_60@.png,,,60,,<cn;tw;kr;en;en_us>,解锁训练家形象后可使用,,
60,彩豆,config/portrait/toptouxiang/img_role_61@.png,,,61,,<cn;tw;kr;en;en_us>,解锁训练家形象后可使用,,
61,卡露妮（活动限定）,config/portrait/toptouxiang/img_role_62@.png,,,62,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
62,辛俐,config/portrait/toptouxiang/img_role_63@.png,,,63,,<cn;kr;en;tw;en_us>,解锁训练家形象后可使用,,
63,欧尼奥（万圣节）,config/portrait/toptouxiang/img_role_64@.png,,,64,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
64,玛俐,config/portrait/toptouxiang/img_role_65@.png,,,65,,<cn;kr;en;tw;en_us>,解锁训练家形象后可使用,,
65,奇树,config/portrait/toptouxiang/img_role_66@.png,,,66,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
66,莉可（新春限定）,config/portrait/toptouxiang/img_role_67@.png,,,67,,<cn;tw;en;en_us;en_eu;kr>,解锁训练家形象后可使用,,
