变量名,_beizhu,index,seatExtraFix,wave,hp,damage,specialDamage,defence,specialDefence,speed,hpself,damageself,specialDamageself,defenceself,specialDefenceself,speedself
默认值,,,{},,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
id,备注,索引,站位修正,波次,怪物血量修正,怪物攻击修正,怪物攻击修正,怪物防御修正,怪物防御修正,怪物速度修正,己方血量修正,己方攻击修正,己方攻击修正,己方防御修正,己方防御修正,己方攻击修正
,,,,,,,,,,,,,,,,
1,道馆1_难度1,80001,{11=1.1},1,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
2,道馆1_难度1,80001,{11=1.1},2,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
3,道馆1_难度1,80001,{11=1.1},3,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
4,道馆1_难度1,80001,{11=1.1},4,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
5,道馆1_难度1,80001,{11=1.1},5,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
6,道馆1_难度1,80001,{11=1.1},6,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
7,道馆1_难度1,80001,{11=1.1},7,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
8,道馆1_难度1,80001,{11=1.1},8,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
9,道馆1_难度1,80001,{11=1.1},9,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
10,道馆1_难度1,80001,{11=1.1},10,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
11,道馆1_难度1,80001,{11=1.1},11,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
12,道馆1_难度1,80001,{11=1.1},12,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
13,道馆1_难度1,80002,{11=1.1},1,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
14,道馆1_难度1,80002,{11=1.1},2,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
15,道馆1_难度1,80002,{11=1.1},3,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
16,道馆1_难度1,80002,{11=1.1},4,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
17,道馆1_难度1,80002,{11=1.1},5,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
18,道馆1_难度1,80002,{11=1.1},6,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
19,道馆1_难度1,80002,{11=1.1},7,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
20,道馆1_难度1,80002,{11=1.1},8,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
21,道馆1_难度1,80002,{11=1.1},9,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
22,道馆1_难度1,80002,{11=1.1},10,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
23,道馆1_难度1,80002,{11=1.1},11,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
24,道馆1_难度1,80002,{11=1.1},12,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
25,道馆1_难度1,80003,{11=1.1},1,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
26,道馆1_难度1,80003,{11=1.1},2,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
27,道馆1_难度1,80003,{11=1.1},3,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
28,道馆1_难度1,80003,{11=1.1},4,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
29,道馆1_难度1,80003,{11=1.1},5,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
30,道馆1_难度1,80003,{11=1.1},6,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
31,道馆1_难度1,80003,{11=1.1},7,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
32,道馆1_难度1,80003,{11=1.1},8,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
33,道馆1_难度1,80003,{11=1.1},9,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
