变量名,text,text_tw,text_en,text_vn,text_kr,startStoryID,skills
默认值,"""""","""""","""""","""""","""""",0,{}
ID,选项文本,選項文本,Option text,V?n b?n tùy ch?n,?? ???,选项跳转剧情ID,选项添加buff({skillID=num;...})
1,金苹果,金蘋果,Golden apple,,?? ??,3000007,{66016=1}
2,银苹果,銀蘋果,Silver apple,,?? ??,3000009,{66017=1}
3,烂苹果,爛蘋果,Rotten apple,,?? ??,3000011,{66016=1;66017=1}
,,,,,,,
11,金苹果2,金蘋果2,Golden Apple 2,,?? ??2,11,{66016=1}
21,银苹果2,銀蘋果2,Silver Apple 2,,?? ??2,21,{66017=1}
31,烂苹果2,爛蘋果2,Rotten apple 2,,?? ??2,31,{66016=1;66017=1}
,,,,,,,
100001,走左边,走左邊,Go left,,?? ??,100007,{50000001=1}
100002,走右边,走右邊,Go right,,??? ??,100009,
,,,,,,,
100101,出来吧！杰尼龟！用水来解冻！,出來吧！傑尼龜！用水來解凍！,I choose you! Squirtle! Use water to unfreeze,,???! ???! ?? ??!,100105,
100102,出来吧！小火龙！用火来解冻！,出來吧！小火龍！用火來解凍！,I choose you! Charmander! Use fire to unfreeze!,,???! ???! ??? ??!,100107,{50000002=1}
,,,,,,,
100601,优先治疗丑丑鱼,優先治療醜醜魚,Heals the Feebas first,,???? ?? ??,100612,{50000011=1}
100602,优先赶跑不良少年,優先趕跑不良少年,Chasing off teen hooligan first,,?? ??? ????? ????,100614,{50000012=1}
