变量名,vipDouble,months,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
默认值,9999,<>,{},{},{},{},{},{},{},{},{},{},{},{}
ID,vip双倍,这一天在哪个月份显示特效,1月奖励,2月奖励,3月奖励,4月奖励,5月奖励,6月奖励,7月奖励,8月奖励,9月奖励,10月奖励,11月奖励,12月奖励
1,1,<>,{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000},{gold=100000}
2,,<>,{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60},{rmb=60}
3,2,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
4,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
5,3,<1;2;3;4;5;6;7;8;9;10;11;12>,{20741=5},{20571=5},{21251=5},{21221=5},{20391=5},{21231=5},{22401=5},{23151=5},{21931=5},{21421=5},{20641=5},{23771=5}
6,3,<>,{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000},{gold=120000}
7,,<>,{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70},{rmb=70}
8,4,<>,{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1},{503=1}
9,,<>,{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2},{519=2}
10,4,<1;2;3;4;5;6;7;8;9;10;11;12>,{20741=5},{20571=5},{21251=5},{21221=5},{20391=5},{21231=5},{22401=5},{23151=5},{21931=5},{21421=5},{20641=5},{23771=5}
