变量名,desc,name,key,bgColor,strokeColor,fontColor,__version
默认值,"""""","""""","""""",<192;126;221>,<133;87;153>,<157;77;192>,
ID,默认值,默认值,默认值,默认值,默认值,默认值,__version
41,草系附着类效果，目标行动时损失5%最大生命值，汲取为释放者的生命值,【寄生种子】,【寄生种子】,<245;175;37>,<233;147;25>,<233;147;25>,
141,龙息类攻击，暴虐无常，造成释放者50%~80%物攻/特攻伤害（对妖精和冰系精灵，只会造成下限伤害，且不会暴击）,【龙息Ⅰ】,【龙息Ⅰ】,<245;175;37>,<233;147;25>,<233;147;25>,
151,1级增益，攻击时对主目标附带1层【灼烧Ⅰ】效果2回合,【引火Ⅰ】,【引火Ⅰ】,<245;175;37>,<233;147;25>,<233;147;25>,
541,上限3层，每层提升自身20%伤害加成,【风势】,【风势】,<120;203;147>,<92;153;112>,<92;153;112>,
542,特殊效果，无法被选中,【盘旋】,【盘旋】,<245;175;37>,<233;147;25>,<233;147;25>,
543,特殊控制效果，无法被选中，无法行动,【滞空】,【滞空】,<169;123;231>,<141;93;206>,<141;93;206>,
941,2级增益，提升自身50%免控率，可抵消1次主动伤害，并消耗回击之盾，释放1道【天雷Ⅰ】 对其进行反击,【回击之盾】,【回击之盾】,<120;203;147>,<92;153;112>,<92;153;112>,
942,特殊效果，可储存释放者300%特攻的伤害；每储存50%特攻伤害，可提升自身5%免伤和3%电系伤害（蓄满后，持续1回合后清空）,【电力袋】,【电力袋】,<245;175;37>,<233;147;25>,<233;147;25>,
943,特殊效果，受到【感电】/【超导】目标伤害降低30%，受到电元素伤害降低50%,【导电皮毛】,【导电皮毛】,<245;175;37>,<233;147;25>,<233;147;25>,
944,1级增益，最高可叠至7层；每层提升自身3%电系伤害和必杀伤害,【蓄电】,【蓄电】,<245;175;37>,<233;147;25>,<233;147;25>,
1441,1级负面，每层令目标降低5%对冰系伤害和3%速度，达到3层时候，消耗全部冰粒对目标【冰冻Ⅰ】1回合,【冰粒】,【冰粒】,<251;85;114>,<220;53;76>,<241;59;84>,
1442,冰系特殊障碍物，穿过极光幕的敌方，本次主动双攻降低5%，对己方冰系伤害额外降低12%,【极光幕】,【极光幕】,<245;175;37>,<233;147;25>,<233;147;25>,
1443,降雪、暴雪、冰雪暴天气,【雪天】,【雪天】,<245;175;37>,<233;147;25>,<233;147;25>,
1711,增益效果，每回合前回复自身生命上限10%的生命值,【光合作用】,【光合作用】,<120;203;147>,<92;153;112>,<92;153;112>,
2311,增益效果，提升40%暴击率和20%速度,【暴怒】,【暴怒】,<120;203;147>,<92;153;112>,<92;153;112>,
2411,负面效果，目标每回合前造成自身10%最大生命值的物理伤害,【灼烧】,【灼烧】,<251;85;114>,<220;53;76>,<241;59;84>,
2531,1级增益，每回合首次受到攻击时，会用普攻反击1次,【反击力量Ⅰ】,【反击力量Ⅰ】,<120;203;147>,<92;153;112>,<92;153;112>,
2532,1级增益，每回合前2次受到攻击时，会用普攻反击1次,【反击力量Ⅱ】,【反击力量Ⅱ】,<120;203;147>,<92;153;112>,<92;153;112>,
2533,水系助战召唤物，对目标造成召唤者50%特攻伤害，随后令目标【特防降低Ⅰ】1回合,【蚊香君】,【蚊香君】,<245;175;37>,<233;147;25>,<233;147;25>,
2534,水系助战召唤物，对目标造成召唤者80%特攻伤害，随后令目标【特防降低Ⅰ】1回合，并有50%概率对攻击目标释放1次【净化Ⅰ】,【蚊香泳士】,【蚊香泳士】,<245;175;37>,<233;147;25>,<233;147;25>,
2641,特殊效果，不可驱散，攻击时有40%概率石化目标1回合,【念力】,【念力】,<120;203;147>,<92;153;112>,<92;153;112>,
2642,特殊效果，攻击时有10%概率石化目标1回合,【助·念力】,【助·念力】,<120;203;147>,<92;153;112>,<92;153;112>,
3111,光环效果，令己方骏马类精灵伤害增加和伤害减免提升15%，速度提升6%,【奔腾战意】,【奔腾战意】,<245;175;37>,<233;147;25>,<233;147;25>,
3112,躲避本次攻击，跳跃至空位，落到空位后立刻释放1次【烈焰冲锋】,【烈焰腾跃】,【烈焰腾跃】,<245;175;37>,<233;147;25>,<233;147;25>,
3113,2级增益，期间攻击对主目标添加【灼烧Ⅰ】，并对其所在一横排造成60%物攻元素伤害,【火蹄践踏】,【火蹄践踏】,<120;203;147>,<92;153;112>,<92;153;112>,
3114,以火焰姿态快速掠过战场，对直线上的所有敌人/护盾/障碍物造成100%物攻的火元素伤害，烈焰冲刺的火元素伤害可享受暴击率加成,【烈焰冲锋】,【烈焰冲锋】,<245;175;37>,<233;147;25>,<233;147;25>,
3115,2级负面，处于路径上的敌方单位受到攻击时被爆击几率提升20%，并且受到火系/骏马精灵攻击时，额外受到释放者50%物攻的火元素伤害,【火焰路径】,【火焰路径】,<251;85;114>,<220;53;76>,<241;59;84>,
3116,己方骏马精灵，跟随烈焰马冲锋，对随机1列造成释放者100%物攻伤害,【万马奔腾】,【万马奔腾】,<251;85;114>,<220;53;76>,<241;59;84>,
3211,特殊增益效果，不可驱散，【领袖】在场时，己方全体提升15%命中率和10%免控率；其他己方精灵行动后，【领袖】自身清除10%未结算的伤害,【领袖】,【领袖】,<120;203;147>,<92;153;112>,<92;153;112>,
3212,特殊增益效果，不可驱散，自身行动开始前驱散自身随机1种控制或负面效果,【健忘】,【健忘】,<120;203;147>,<92;153;112>,<92;153;112>,
3213,2级控制，【上钩】单位在行动时只能选择释放者作为攻击目标，该效果在释放者阵亡后解除,【上钩】,【上钩】,<169;123;231>,<141;93;206>,<141;93;206>,
3214,特殊效果，己方水系精灵受到致命伤害时，令其保留1点血（全场累计限1次）,【大海的贤者】,【大海的贤者】,<245;175;37>,<233;147;25>,<233;147;25>,
3215,1级控制，目标无法行动，期间易伤提升5%,【发呆】,【发呆】,<169;123;231>,<141;93;206>,<141;93;206>,
3311,护盾效果，护盾持续期间，提升20%伤害减免，并对攻击者造成50%特攻的电元素伤害，并添加1回合【感电Ⅰ】,【电磁盾】,【电磁盾】,<120;203;147>,<92;153;112>,<92;153;112>,
3811,专属形态，贝壳额外拥有500%特防的生命值，贝壳生命值被打破后会破壳而出,【缩壳】,【缩壳】,<245;175;37>,<233;147;25>,<233;147;25>,
3812,1级增益，攻击时对目标造成2~5段50%物攻/特攻的伤害,【破壳】,【破壳】,<120;203;147>,<92;153;112>,<92;153;112>,
4031,1级增益，可叠加5层，获得时每层提升30%物防和3%物伤减免,【硬化】,【硬化】,<120;203;147>,<92;153;112>,<92;153;112>,
4032,1级负面，目标主动伤害降低12%；受到的额外行动伤害提升12%,【失衡】,【失衡】,<251;85;114>,<220;53;76>,<241;59;84>,
4033,2级负面，令目标速度降低至与释放者一致,【紧缚】,【紧缚】,<251;85;114>,<220;53;76>,<241;59;84>,
4034,1级负面，攻击钢系精灵时伤害降低10%,【畏缩】,【畏缩】,<251;85;114>,<220;53;76>,<241;59;84>,
4035,1级负面，攻击有10%概率落空,【助·致盲Ⅰ】,【助·致盲Ⅰ】,<251;85;114>,<220;53;76>,<241;59;84>,
4036,1级负面，速度降低10%，攻击有20%概率落空,【助·致盲Ⅱ】,【助·致盲Ⅱ】,<251;85;114>,<220;53;76>,<241;59;84>,
4037,1级负面，目标主动伤害降低5%，受到的额外行动伤害提升5%,【助·失衡】,【助·失衡】,<251;85;114>,<220;53;76>,<241;59;84>,
4411,树果共3种，每种在食用后可享受相应效果，橙橙果：回复自身15%生命；木子果：驱散1个负面效果；枝荔果：特攻提升5%1回合,【树果】,【树果】,<245;175;37>,<233;147;25>,<233;147;25>,
5611,伤害减免提升10%，目标受到主动技能伤害时有50%概率免受此次伤害,【保护屏障】,【保护屏障】,<120;203;147>,<92;153;112>,<92;153;112>,
5711,特殊效果，自身攻击掠杀标记的目标伤害提升30%，其他虫系提升15%,【掠杀】,【掠杀】,<120;203;147>,<92;153;112>,<92;153;112>,
5712,特殊效果，自身攻击掠杀标记的目标伤害提升30%，其他虫系提升15%,【助·掠杀】,【助·掠杀】,<120;203;147>,<92;153;112>,<92;153;112>,
6031,光环效果，免疫普通睡眠效果，速度提升6%，免伤提升15%，特攻/物攻每回合永久提升4%（最多提升至20%）,【干劲】,【干劲】,<245;175;37>,<233;147;25>,<233;147;25>,
6411,拉普拉斯每回损失的生命会以凝水状态储存（最多不超过自身血量上限）,【凝水】,【凝水】,<245;175;37>,<233;147;25>,<233;147;25>,
7011,1级负面，每次行动后伤口会额外触发（2000x等级成长）神圣伤害,【粗砺伤口Ⅰ】,【粗砺伤口Ⅰ】,<251;85;114>,<220;53;76>,<241;59;84>,
7012,2级增益，暴击和飞行系闪避提升20%，期间自身释放的【粗砺之风Ⅰ】可暴击；获得时立刻释放3道【粗砺之风Ⅰ】攻击随机目标,【狂暴之风Ⅰ】,【狂暴之风Ⅰ】,<120;203;147>,<92;153;112>,<92;153;112>,
7013,2级增益，期间释放者飞行系闪避提升20%，并且造成的【粗砺之风Ⅰ】伤害提升30%,【粗砺风刃Ⅰ】,【粗砺风刃Ⅰ】,<120;203;147>,<92;153;112>,<92;153;112>,
7014,2级负面，期间受到神圣伤害额外提升20%，岩/飞系主动攻击时对其造成（2000x等级成长）神圣伤害（每回合3次）,【粗砺重伤Ⅰ】,【粗砺重伤Ⅰ】,<251;85;114>,<220;53;76>,<241;59;84>,
7015,对目标造成（2000x等级成长）神圣伤害,【粗砺之风Ⅰ】,【粗砺之风Ⅰ】,<245;175;37>,<233;147;25>,<233;147;25>,
7021,2级负面，每次行动后伤口会额外触发（3000x等级成长）神圣伤害,【粗砺伤口Ⅱ】,【粗砺伤口Ⅱ】,<251;85;114>,<220;53;76>,<241;59;84>,
7022,2级增益，暴击和飞行系闪避提升30%，期间自身释放的【粗砺之风Ⅱ】可暴击；获得时立刻释放6道【粗砺之风Ⅱ】攻击随机目标,【狂暴之风Ⅱ】,【狂暴之风Ⅱ】,<120;203;147>,<92;153;112>,<92;153;112>,
