变量名,onceEffectResPath,onceEffectDelay,effectResDelay,effectAssignLayer,effectPos,onceEffectPos,onceEffectAniName,onceEffectWait,deepCorrect,effectResPath,effectShowOnAttack,spineEffect,effectAniName,effectAniChoose,effectOffsetPos,onceEffectOffsetPos,holderActionType,pointEffect,onceEffectAssignLayer,stageArgs,linkEffect,effectOnEnd,rayEffect,__version
默认值,"""""",0,0,1,0,0,effect,FALSE,12,"""""",FALSE,{},<effect_loop>,{type=0},{y=0;x=0},{y=0;x=0},{},,,,,,,
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,__version
311656,koudai_lieyanmapf/hero_lieyanma_pifu.skel,,,,,,lybt_chuxian,,,,,,,,,,,,,,,,,
311724,koudai_lieyanmapf/hero_lieyanma_pifu_buff.skel,1500,,,,3,wmbt_chuxian,,,,,,,,,,,,0,,,,,
397011,,,,,,,,,,koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel,,,<yuandu_loop>,,,,,,,,,,,
397013,koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel,,,,,,yuandushang,TRUE,,,,,,,,,,,,,,,,
397025,koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel,,990,4,5,3,heiyingchangjingchuxian,,,koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel,,,<heiyingchangjing_loop>,,{x=0;y=170},{flip=TRUE;x=0;y=-90},,,,,,{res=koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel;pos=3;aniName=heiyingchangjingxiaoshi},,
397032,,,,,,,,,,,,{action={hit=guiwu_stanby_loop;standby=guiwu_stanby_loop};unitRes=<koudai_shinygengguimega/hero_shinygengguimega.skel;koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel>},,,,,{list=<{args={other={isShow=FALSE};lifebar={isShow=FALSE};sprite={isShow=FALSE}};playType=1;typ=hide};{args={onceEffectOffsetPos={y=150;x=0};onceEffectAniName=guiwu_bianshen;onceEffectResPath=koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel;onceEffectPos=4};playType=1;typ=onceEffect};{args={lifetime=1320};playType=1;typ=wait};{args={other={isShow=TRUE};lifebar={isShow=TRUE};sprite={isShow=TRUE}};playType=1;typ=hide}>},,,,,,,
397036,,,,,,,,,,,,,,,,,{list=<{args={other={isShow=FALSE};lifebar={isShow=FALSE};sprite={isShow=FALSE}};playType=1;typ=hide};{args={onceEffectOffsetPos={y=150;x=0};onceEffectAniName=guiwu_huanyuan;onceEffectResPath=koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel;onceEffectPos=4};playType=1;typ=onceEffect};{args={lifetime=1120};playType=1;typ=wait};{args={other={isShow=TRUE};lifebar={isShow=TRUE};sprite={isShow=TRUE}};playType=1;typ=hide}>},,,,,,,
397221,koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel,20,900,,,4,zuzhou,TRUE,,koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel,,,<zuzhou_loop>,,{x=0;y=-90},,,,,,,,,
397224,koudai_shinygengguimega_pifu/hero_shinygengguimega_pifu.skel,,,,,4,zuzhoujihuo,TRUE,,,,,,,,,,,,,,,,
522317,,,,,,,,,,,,,,,,,{list=<{args={onceEffectOffsetPos={y=180;x=10};onceEffectResPath=koudai_cangxiangpf/hero_cangxiangpf.skel;onceEffectAniName=buff_yaojingfeijian_chuxian};playType=1;typ=onceEffect};{args={lifetime=300};playType=1;typ=wait};{args={key=id};playType=1;typ=playDeferList}>},,,,,,,
523434,koudai_sgcjxyw_pifu/hero_sgcjxyw_pifu.skel,,,,,,yeren,TRUE,,,,,,,,,,,,,,,,
523452,,,,,,,,,,,,,,,,,{list=<{args={onceEffectOffsetPos={y=180;x=10};onceEffectResPath=koudai_sgcjxyw_pifu/hero_sgcjxyw_pifu.skel;onceEffectAniName=xmfd_sh};playType=1;typ=onceEffect};{args={lifetime=300};playType=1;typ=wait};{args={key=id};playType=1;typ=playDeferList}>},,,,,,,
762201,,,,,,,,,,koudai_chaojichaomengx_pf/hero_chaojichaomengx_pf.skel,,,<huajinchuxian_loop>,,,,,,,,,,,
762624,,,,,,,,,,,,,,,,,{args={res=koudai_chaojichaomengx_pf/hero_chaojichaomengx_pf.skel;highLightLimit=4;hideEmptyPoint=TRUE;activeAction=quanyilianjie_loop};typ=comboPoint},,,,,,,
762645,koudai_chaojichaomengx_pf/hero_chaojichaomengx_pf.skel,,,,,,quanyichufa,,,,,,,,,,,,,,,,,
764011,,,,,,,,,,,,{action={standby_loop=jst_standby_loop;attack=jst_attack;skill1=skill1;run_loop=jst_run_loop;skill2=skill2;hit=jst_hit};unitRes=<koudai_chaomengmegay/hero_chaomengmegay.skel;koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel>},,,,,{list=<{args={other={isShow=FALSE};lifebar={isShow=FALSE};sprite={isShow=FALSE}};playType=1;typ=hide};{args={onceEffectOffsetPos={y=0;x=0};onceEffectResPath=koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel;onceEffectAniName=bianshen};playType=1;typ=onceEffect};{args={lifetime=2360};playType=1;typ=wait};{args={other={isShow=TRUE};lifebar={isShow=TRUE};sprite={isShow=TRUE}};playType=1;typ=hide}>},,,,,,,
764021,,,,,,,,,,,,{action={standby_loop=standby_loop;attack=attack;skill1=skill1;run_loop=run_loop;skill2=skill2;hit=hit};unitRes=<koudai_chaomengmegay/hero_chaomengmegay.skel;koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel>},,,,,,,,,,,,
764041,koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel,,,,,3,lishijie_chuxian,TRUE,,,,,,,,{x=0;y=-150},,,3,<{bkCsv=csv.stage.lsj2}>,,,,
764043,koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel,,,,,,bianshen,TRUE,,,,{action={standby_loop=jst_standby_loop;attack=jst_attack;skill1=jst_skill1;run_loop=jst_run_loop;skill2=skill2;hit=jst_hit};unitRes=<koudai_chaomengmegay/hero_chaomengmegay.skel;koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel>},,,,,,,,,,,,
764045,koudai_chaomengmegay/chaomengy_buff.skel,,,,,,buffdamage,TRUE,,,,,,,,,,,,,,,,
764052,koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel,,,,,3,lishijie_xiaoshi,,,,,,,,,{x=0;y=-20},,,0,,,,,
764313,koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel,,,,,6,lishijiechongji,TRUE,,,,,,,,{flip=TRUE;x=-680;y=0},,,,,,,,
764434,koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel,,,,,3,jingshenjuxiang,,,,,,,,,,,,0,,,,,
764441,koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel,,,,,3,lishijie_chuxian,TRUE,,,,,,,,{x=0;y=-150},,,3,<{bkCsv=csv.stage.lsj2}>,,,,
1992621,koudai_jilaqi_pifu/hero_jilaqi_pifu.skel,,495,,1,1,xyj_lv_cuxian,TRUE,15,koudai_jilaqi_pifu/hero_jilaqi_pifu.skel,,,<xyj_lv_loop>,,{x=0;y=-50},{x=0;y=-20},,,,,,{res=koudai_jilaqi_pifu/hero_jilaqi_pifu.skel;pos=1;aniName=xyj_lv_xiaoshi},,
1992631,koudai_jilaqi_pifu/hero_jilaqi_pifu.skel,,495,,1,1,xyj_zi_cuxian,TRUE,15,koudai_jilaqi_pifu/hero_jilaqi_pifu.skel,,,<xyj_zi_loop>,,{x=0;y=-50},{x=0;y=-20},,,,,,{res=koudai_jilaqi_pifu/hero_jilaqi_pifu.skel;pos=1;aniName=xyj_zi_xiaoshi},,
1992641,koudai_jilaqi_pifu/hero_jilaqi_pifu.skel,,495,,1,1,xyj_lan_cuxian,TRUE,15,koudai_jilaqi_pifu/hero_jilaqi_pifu.skel,,,<xyj_lan_loop>,,{x=0;y=-50},{x=0;y=-20},,,,,,{res=koudai_jilaqi_pifu/hero_jilaqi_pifu.skel;pos=1;aniName=xyj_lan_xiaoshi},,
1992654,koudai_jilaqi_pifu/hero_jilaqi_pifu.skel,,,,,,liuxing,,,,,,,,,,,,,,,,,
2424601,,,,,,,,,,buff/manafei_buff/manafei_pifu/ruodingyu.skel,,,<buff1_loop;buff2_loop;buff3_loop;buff4_loop;standby_loop>,{mapping=<1;2;3;4;5>;type=1},{x=0;y=80},,,,,,,,,
2424602,buff/manafei_buff/manafei_pifu/houjingwang_pifu.skel,,,,,,effect1,,11,,,,,,,,{args={lifebar={isShow=FALSE};other={isShow=FALSE}};typ=hide},,,,,{res=buff/manafei_buff/manafei_pifu/houjingwang_pifu.skel;pos=0;aniName=effect2},,
2424603,,,,,,,,,,buff/manafei_buff/manafei_pifu/ruodingyu.skel,,,<standby_loop>,,,,,,,,,,,
2437601,,,,,,,,,,buff/manafei_buff/manafei_pifu2/ruodingyu_pf2.skel,,,<buff1_loop;buff2_loop;buff3_loop;buff4_loop;standby_loop>,{mapping=<1;2;3;4;5>;type=1},{x=0;y=80},,,,,,,,,
2437604,,,,,,,,,,,,{action={standby_loop=manafei_standby_loop;win_loop=win_loop;attack=attack;skill1=skill1;run_loop=standby_loop;skill2=skill2;hit=hit_bihe};unitRes=<koudai_cijiabei/hero_cijiabei.skel;buff/manafei_buff/manafei_pifu2/hero_cijiabei_pf2.skel>},,,,,{effect=<{args={other={isShow=FALSE};lifebar={isShow=FALSE};sprite={isShow=FALSE}};revertFrame=1;typ=hide};{typ=onceEffect;args={onceEffectOffsetPos={y=150;x=-150};onceEffectResPath=buff/manafei_buff/manafei_pifu2/hero_cijiabei_pf2.skel;onceEffectAniName=manafei_effect}};{typ=wait;args={lifetime=1333.3}}>;list=<{args={key=hide;lifebar={isShow=FALSE};other={isShow=FALSE};sprite={isShow=FALSE}};playType=0;typ=setObjHolderAction};{playType=0;typ=setPositionTo}>},,,,,,,
3242011,koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel,100,752,,,,yd_chuxian,TRUE,11,koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel,,,<yd_loop>,,{x=0;y=-10},{x=0;y=-10},{typ=pause},,,,,{res=koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel;pos=0;aniName=yd_xiaoshi},,
3242211,,,,,,,,,,koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel,,,<bhsd_loop>,,{x=-20;y=0},,,,,,,,,
3242321,koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel,,735,,,4,blj_chuxian,TRUE,11,koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel,,,<blj_loop>,,{x=0;y=0},{x=0;y=0},{typ=pause},,,,,{res=koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel;pos=4;aniName=blj_xiaoshi},,
3242621,koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel,,,2,3,5,syzq_chuxian,,29950,koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel,,,<syzq_loop>,,{x=750;y=-20},{x=750;y=-20},,,,,,{res=koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel;pos=5;aniName=syzq_xiaoshi},,
3242627,,,,,,,,,,koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu_buff.skel,,,<sy_loop>,,,,,,,,,,,
3242682,,,,,,,,,,,,{skin=chaopin;unitRes=<koudai_yanbaiqiuleimu/hero_yanbaiqiuleimu.skel;koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu.skel>},,,,,,,,,,,,
3601641,,,,,,,,,,koudai_zheerniyasi_jsl/fushen_jsl.skel,,,<standby_loop>,,,,,,,,,,,
3601663,koudai_zheerniyasi_jsl/hero_zheerniyasi_jsl.skel,,,,,,sms_ruchang,,,,,{action={death=sms_lichang;standby=sms_standby_loop};unitRes=<koudai_zheerniyasi/hero_zheerniyasi.skel;koudai_zheerniyasi_jsl/hero_zheerniyasi_jsl.skel>},,,,,{args={lifebar={isShow=FALSE}};typ=hide},,,,,,,
3601666,koudai_zheerniyasi_jsl/hero_zheerniyasi_jsl.skel,,,,,,sms_effect,,,,,,,,,,,,,,,,,
3626212,,,,,2,,,,,koudai_jigeerde3/hero_jgedpf.skel,,,<hxcf_loop>,,{flip=TRUE;x=0;y=-150},,,,,,,,,
3633211,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,,,,buff_cuicangguangmang_chuxian,,,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,<buff_cuicangguangmang_loop>,,,,,,,,,{res=koudai_dianxi_megapf/hero_dianxi_megapf.skel;pos=0;aniName=buff_cuicangguangmang_xiaoshi},,
3633231,,,,,,,,,,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,<buff_hudun_loop>,,,,,,,,,{res=koudai_dianxi_megapf/hero_dianxi_megapf.skel;pos=0;aniName=buff_hudun_xiaoshi},,
3633309,,,,,,,,,,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,<buff_lengjing_loop>,,,,,,,,,,,
3633311,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,,,,buff_fengying_chuxian,,,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,<buff_fengying_loop>,,,,,,,,,{res=koudai_dianxi_megapf/hero_dianxi_megapf.skel;pos=0;aniName=buff_fengying_xiaoshi},,
3633661,koudai_dianxi_mega/hero_dianxi_mega.skel,,,2,3,5,buff_yanjingyan_chuxian,,20050,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,<buff_yanjingyan_loop>,,{x=200;y=400},{x=200;y=400},,,2,,,,,
3633689,,,,,,,,,,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,<die_loop>,,,,{args={lifebar={isShow=FALSE};sprite={isShow=FALSE}};typ=hide},,,,,,,
3639211,koudai_dianxi_megapf/hero_dianxi_megapf.skel,,,,,,buff_cuicangguangmang_chuxian,,,koudai_dianxi_megapf2/hero_dianxi_megapf2.skel,,,<buff_cuicangguangmang_loop>,,,,,,,,,{res=koudai_dianxi_megapf/hero_dianxi_megapf.skel;pos=0;aniName=buff_cuicangguangmang_xiaoshi},,
3639231,,,,,,,,,,koudai_dianxi_megapf2/hero_dianxi_megapf2.skel,,,<buff_hudun_loop>,,,,,,,,,{res=koudai_dianxi_megapf/hero_dianxi_megapf.skel;pos=0;aniName=buff_hudun_xiaoshi},,
3639309,,,,,,,,,,koudai_dianxi_megapf2/hero_dianxi_megapf2.skel,,,<buff_lengjing_loop>,,,,,,,,,,,
