变量名,pointRange,huodongID,award,__version
默认值,0,0,{},
ID,本局积分达标线,活动版本ID,单局结算奖励,__version
,灵跃迷森-单局结算奖励（huodongID=1000）,,,
1,75,1000,{870=3;5000=3;gold=30000},
2,225,1000,{870=4;5000=4;gold=40000},
3,375,1000,{870=5;5000=5;gold=50000},
4,525,1000,{870=6;5000=6;gold=60000},
5,750,1000,{870=7;5000=7;gold=70000},
6,975,1000,{870=8;5000=8;gold=80000},
7,1200,1000,{870=9;5000=9;gold=90000},
8,1425,1000,{870=10;5000=10;gold=100000},
9,1575,1000,{870=11;5000=11;gold=110000},
10,1800,1000,{870=12;5000=12;gold=120000},
11,2100,1000,{870=13;5000=13;gold=130000},
12,2250,1000,{870=14;5000=14;gold=140000},
13,3000,1000,{870=15;5000=15;gold=150000},
