变量名,floor,openDay,gateSeq,autoCards,autoCards_tw,autoCards_en,autoCards_vn,autoCards_kr,cards,cards_tw,cards_en,cards_vn,cards_kr,deployLock,winCondition,roundLimit,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,deployDesc,monsterIDs,scene,beforePlot,beforePlotRepeat,beforeRes,reviewPlot,reviewPlot_tw,reviewPlot_en,reviewPlot_vn,reviewPlot_kr,award,award_tw,award_en,award_vn,award_kr,__version,gateIcon,iconPos,isFullManual,points
默认值,0,0,0,{},{},{},{},{},<>,<>,<>,<>,<>,<0;0;0;0;0;0>,{},10,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<>,csv.stage.city,,FALSE,"""""","""""","""""","""""","""""","""""",{},{},{},{},{},,"""""",{x=0;y=0},FALSE,<>
ID,层数,开启天数,关卡索引,自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),自动上阵卡牌({cardID=position;…}position为0时表示不限制位置),可选卡池(<cardID;...>不包括自动上阵卡牌),可选卡池(<cardID;...>不包括自动上阵卡牌),可选卡池(<cardID;...>不包括自动上阵卡牌),可选卡池(<cardID;...>不包括自动上阵卡牌),可选卡池(<cardID;...>不包括自动上阵卡牌),布阵上锁标记(0-不上锁;1-上锁),胜利条件({type=<value;...>;...}1-击杀固定id的卡牌;2-达到一定回合且己方存活单位数量超过x个;3-战斗结束时己方仅死亡某个固定id的卡牌),回合限制数,关卡名称,關卡名稱,Level name,Tên c?p ??,?? ??,关卡描述,關卡描述,Level description,M? t? c?p ??,?? ??,阵容信息,怪物ID,场景,关卡前剧情,是否重复触发关卡前剧情,关卡前剧情背景,剧情回顾,劇情回顧,Plot review,?ánh giá l? ??t,??? ??,首通奖励,首通奖励,首通奖励,首通奖励,首通奖励,__version,gateIcon,iconPos,isFullManual,points
101,1,1,,,,,,,<3;13;23;31;72;93;482;551>,,,,,<0;0;0;1;1;1>,,,测试一,,,,,这是测试一,,,,,,<101;102;103>,csv.stage.summer,1,,,回顾一，要通关后才显示哦,,,,,{5000=1;5001=1},,,,,,,,,
102,2,1,,{61=0},,,,,<3;13;23;31;72;93;482;551>,,,,,<0;1;0;1;0;1>,,,测试二,,,,,这是测试二,,,,,,<111;112;113>,csv.stage.summer,,,,回顾二，要通关后才显示哦,,,,,{5000=1;5001=1},,,,,,,,,
103,3,1,,{1=2},,,,,<3;13;23;31;72;93;482;551>,,,,,<0;0;0;0;0;0>,,,测试三,,,,,这是测试三,,,,,,<121;122;123>,csv.stage.summer,,,,回顾三，要通关后才显示哦,,,,,{5000=1;5001=1},,,,,,,,,
104,4,2,,{112=0},,,,,<3;13;23;31;72;93;482;551>,,,,,<0;1;0;1;0;1>,,,测试4,,,,,这是测试4,,,,,,<131;132;133>,csv.stage.summer,,,,回顾4，要通关后才显示哦,,,,,{5000=1;5001=1},,,,,,,,,
105,5,2,,{1=2},,,,,<3;13;23;31;72;93;482;551>,,,,,<0;0;0;0;0;0>,,,测试5,,,,,这是测试5,,,,,,<141;142;143>,csv.stage.summer,,,,回顾5，要通关后才显示哦,,,,,{5000=1;5001=1},,,,,,,,,
106,6,2,,{112=0},,,,,<3;13;23;31;72;93;482;551>,,,,,<0;1;0;1;0;1>,,,测试6,,,,,这是测试6,,,,,,<151;152;153>,csv.stage.summer,,,,回顾6，要通关后才显示哦,,,,,{5000=1;5001=1},,,,,,,,,
107,7,3,,{1=2},,,,,<3;13;23;31;72;93;482;551>,,,,,<0;0;0;0;0;0>,,,测试7,,,,,这是测试7,,,,,,<161;162;163>,csv.stage.summer,,,,回顾7，要通关后才显示哦,,,,,{5000=1;5001=1},,,,,,,,,
108,8,3,,{112=0},,,,,<3;13;23;31;72;93;482;551>,,,,,<0;1;0;1;0;1>,,,测试8,,,,,这是测试8,,,,,,<171;172;173>,csv.stage.summer,,,,回顾8，要通关后才显示哦,,,,,{5000=1;5001=1},,,,,,,,,
