变量名,cardID,chooseItemNum,shopWeight,drawItemsWeight,itemID,languages,tag,customLevel
默认值,0,0,0,0,0,<cn;tw;en;en_us;en_eu;vn;th;kr>,,9999
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,customLevel
1,,10,100,100,11,,tag_card1,
2,,20,100,100,12,,tag_card1,
11,11,1,100,100,,,tag_card2,
12,21,1,100,100,,,tag_card2,
21,11,1,100,100,,,tag_card3,
22,21,1,100,100,,,tag_card3,
1001,31,1,100,100,,,tag_cardB,
1002,41,1,100,100,,,tag_cardB,
1003,61,1,100,100,,,tag_cardB,
1004,71,1,100,100,,,tag_cardB,
1005,81,1,100,100,,,tag_cardB,
1006,101,1,100,100,,,tag_cardB,
1007,111,1,100,100,,,tag_cardB,
1008,121,1,100,100,,,tag_cardB,
1009,171,1,100,100,,,tag_cardB,
1010,191,1,100,100,,,tag_cardB,
1011,231,1,100,100,,,tag_cardB,
1012,351,1,100,100,,,tag_cardB,
1013,451,1,100,100,,,tag_cardB,
1014,541,1,100,100,,,tag_cardB,
1015,891,1,100,100,,,tag_cardB,
1016,1351,1,100,100,,,tag_cardB,
1017,3561,1,100,100,,,tag_cardB,
1201,1,1,100,100,,,tag_cardA,
1202,11,1,100,100,,,tag_cardA,
1203,21,1,100,100,,,tag_cardA,
1204,51,1,100,100,,,tag_cardA,
1205,91,1,100,100,,,tag_cardA,
1206,131,1,100,100,,,tag_cardA,
1207,271,1,100,100,,,tag_cardA,
1208,281,1,100,100,,,tag_cardA,
1209,301,1,100,100,,,tag_cardA,
1210,371,1,100,100,,,tag_cardA,
1211,461,1,100,100,,,tag_cardA,
1212,471,1,100,100,,,tag_cardA,
1213,481,1,100,100,,,tag_cardA,
1214,551,1,100,100,,,tag_cardA,
1215,691,1,100,100,,,tag_cardA,
1216,781,1,100,100,,,tag_cardA,
1217,791,1,100,100,,,tag_cardA,
1218,801,1,100,100,,,tag_cardA,
1219,1441,1,100,100,,,tag_cardA,
1220,1611,1,100,100,,,tag_cardA,
1221,1861,1,100,100,,,tag_cardA,
1222,2011,1,100,100,,,tag_cardA,
1223,2071,1,100,100,,,tag_cardA,
1224,2271,1,100,100,,,tag_cardA,
1225,2301,1,100,100,,,tag_cardA,
1226,2481,1,100,100,,,tag_cardA,
1227,2591,1,100,100,,,tag_cardA,
1228,2611,1,100,100,,,tag_cardA,
1229,2631,1,100,100,,,tag_cardA,
1230,2681,1,100,100,,,tag_cardA,
1231,2871,1,100,100,,,tag_cardA,
1232,2891,1,100,100,,,tag_cardA,
1233,2921,1,100,100,,,tag_cardA,
1234,2922,1,100,100,,,tag_cardA,
1235,2961,1,100,100,,,tag_cardA,
1236,3011,1,100,100,,,tag_cardA,
1237,3281,1,100,100,,,tag_cardA,
1238,3291,1,100,100,,,tag_cardA,
1239,3341,1,100,100,,,tag_cardA,
1240,3431,1,100,100,,,tag_cardA,
1241,3471,1,100,100,,,tag_cardA,
1242,3501,1,100,100,,,tag_cardA,
1243,3511,1,100,100,,,tag_cardA,
1244,1851,1,100,100,,,tag_cardA,
1245,2841,1,100,100,,,tag_cardA,
1246,221,1,100,100,,,tag_cardA,
1247,151,1,100,100,,,tag_cardA,
1248,341,1,100,100,,,tag_cardA,
1249,1801,1,100,100,,,tag_cardA,
1250,1641,1,100,100,,,tag_cardA,
1251,211,1,25,25,,,tag_cardA,
1501,261,1,100,100,,,tag_cardS,
1502,331,1,100,100,,,tag_cardS,
1503,391,1,100,100,,,tag_cardS,
1504,491,1,100,100,,,tag_cardS,
1505,571,1,100,100,,,tag_cardS,
1506,591,1,100,100,,,tag_cardS,
1507,601,1,100,100,,,tag_cardS,
1508,631,1,100,100,,,tag_cardS,
1509,721,1,50,50,,,tag_cardS,
1510,731,1,50,50,,,tag_cardS,
1511,741,1,50,50,,,tag_cardS,
1512,881,1,100,100,,,tag_cardS,
1513,1071,1,100,100,,,tag_cardS,
1514,1081,1,100,100,,,tag_cardS,
1515,1171,1,100,100,,,tag_cardS,
1516,1221,1,50,50,,,tag_cardS,
1517,1231,1,50,50,,,tag_cardS,
1518,1241,1,50,50,,,tag_cardS,
1519,1251,1,50,50,,,tag_cardS,
1520,1291,1,100,100,,,tag_cardS,
1521,1311,1,100,100,,,tag_cardS,
1522,1391,1,100,100,,,tag_cardS,
1523,1421,1,100,100,,,tag_cardS,
1524,1501,1,100,100,,,tag_cardS,
1525,1811,1,100,100,,,tag_cardS,
1526,2721,1,100,100,,,tag_cardS,
1527,3021,1,100,100,,,tag_cardS,
1528,3141,1,100,100,,,tag_cardS,
1529,3351,1,100,100,,,tag_cardS,
1530,3541,1,100,100,,,tag_cardS,
1531,1841,1,100,100,,,tag_cardS,
1532,3411,1,100,100,,,tag_cardS,
1533,241,1,100,100,,,tag_cardS,
1534,401,1,100,100,,,tag_cardS,
1535,3001,1,75,75,,,tag_cardS,
1536,2991,1,100,100,,,tag_cardS,
1537,3661,1,100,100,,,tag_cardS,
1538,161,1,100,100,,,tag_cardS,
1539,2031,1,100,100,,,tag_cardS,
1540,1911,1,100,100,,,tag_cardS,
1541,1921,1,100,100,,,tag_cardS,
1542,1931,1,100,100,,,tag_cardS,
1543,2471,1,100,100,,,tag_cardS,
1544,3151,1,100,100,,,tag_cardS,
1545,3591,1,100,100,,,tag_cardS,
1546,711,1,100,100,,,tag_cardS,
1547,2401,1,100,100,,,tag_cardS,
1548,641,1,100,100,,,tag_cardS,
1549,3771,1,100,100,,,tag_cardS,
1550,3841,1,100,100,,,tag_cardS,
1551,1941,1,100,100,,,tag_cardS,
1552,1951,1,100,100,,,tag_cardS,
1553,1031,1,100,100,,,tag_cardS,
1554,4131,1,60,60,,,tag_cardS,
1555,3251,1,60,60,,,tag_cardS,
1556,3161,1,60,60,,,tag_cardS,
1557,3171,1,60,60,,,tag_cardS,
1558,3181,1,60,60,,,tag_cardS,
1559,861,1,60,60,,,tag_cardS,
1560,381,1,60,60,,,tag_cardS,
1561,501,1,60,60,,,tag_cardS,
1562,611,1,60,60,,,tag_cardS,
1563,3191,1,60,60,,,tag_cardS,
1564,3201,1,60,60,,,tag_cardS,
1565,3231,1,60,60,,,tag_cardS,
1566,3681,1,60,60,,,tag_cardS,
1567,3961,1,40,40,,,tag_cardS,
1568,2411,1,40,40,,,tag_cardS,
1569,4081,1,40,40,,,tag_cardS,
1701,261,1,100,100,,,tag_cardS_zx,1
1702,331,1,100,100,,,tag_cardS_zx,1
1703,391,1,100,100,,,tag_cardS_zx,1
1704,491,1,100,100,,,tag_cardS_zx,1
1705,571,1,100,100,,,tag_cardS_zx,1
1706,591,1,100,100,,,tag_cardS_zx,1
1707,601,1,100,100,,,tag_cardS_zx,1
1708,631,1,100,100,,,tag_cardS_zx,1
1709,721,1,50,50,,,tag_cardS_zx,1
1710,731,1,50,50,,,tag_cardS_zx,1
1711,741,1,50,50,,,tag_cardS_zx,1
1712,881,1,100,100,,,tag_cardS_zx,1
1713,1071,1,100,100,,,tag_cardS_zx,1
1714,1081,1,100,100,,,tag_cardS_zx,1
1715,1171,1,100,100,,,tag_cardS_zx,1
1716,1221,1,50,50,,,tag_cardS_zx,1
1717,1231,1,50,50,,,tag_cardS_zx,1
1718,1241,1,50,50,,,tag_cardS_zx,1
1719,1251,1,50,50,,,tag_cardS_zx,1
1720,1291,1,100,100,,,tag_cardS_zx,1
1721,1311,1,100,100,,,tag_cardS_zx,1
1722,1391,1,100,100,,,tag_cardS_zx,1
1723,1421,1,100,100,,,tag_cardS_zx,1
1724,1501,1,100,100,,,tag_cardS_zx,1
1725,1811,1,100,100,,,tag_cardS_zx,1
1726,2721,1,100,100,,,tag_cardS_zx,1
1727,3021,1,100,100,,,tag_cardS_zx,1
1728,3141,1,100,100,,,tag_cardS_zx,1
1729,3351,1,100,100,,,tag_cardS_zx,1
1730,3541,1,100,100,,,tag_cardS_zx,1
1731,1841,1,100,100,,,tag_cardS_zx,1
1732,3411,1,100,100,,,tag_cardS_zx,1
1733,241,1,100,100,,,tag_cardS_zx,1
1734,401,1,100,100,,,tag_cardS_zx,1
1735,3001,1,75,75,,,tag_cardS_zx,1
1736,2991,1,100,100,,,tag_cardS_zx,1
1737,3661,1,100,100,,,tag_cardS_zx,1
1738,161,1,100,100,,,tag_cardS_zx,1
1739,2031,1,100,100,,,tag_cardS_zx,1
1740,1911,1,100,100,,,tag_cardS_zx,1
1741,1921,1,100,100,,,tag_cardS_zx,1
1742,1931,1,100,100,,,tag_cardS_zx,1
1743,2471,1,100,100,,,tag_cardS_zx,1
1744,3151,1,100,100,,,tag_cardS_zx,1
1745,3591,1,100,100,,,tag_cardS_zx,1
1746,711,1,100,100,,,tag_cardS_zx,1
1747,2401,1,100,100,,,tag_cardS_zx,1
1748,641,1,100,100,,,tag_cardS_zx,1
1749,3771,1,100,100,,,tag_cardS_zx,1
1750,3841,1,100,100,,,tag_cardS_zx,1
1751,1941,1,100,100,,,tag_cardS_zx,1
1752,1951,1,100,100,,,tag_cardS_zx,1
1753,1031,1,100,100,,,tag_cardS_zx,1
1754,4131,1,60,60,,,tag_cardS_zx,1
1755,3251,1,60,60,,,tag_cardS_zx,1
1756,3161,1,60,60,,,tag_cardS_zx,1
