变量名,type,desc,icon,title,targetType,targetArg,targetArg2,targetDisplay,levelReq,vipReq,languages,sortWeight,group,rankInGroup,point,awardArgs,goToPanel
默认值,0,"""""","""""","""""",1,,,"""""",1,0,<cn;tw;en;vn;th;kr>,0,0,0,0,{},
任务ID,任务类型,任务描述,任务图标,任务标题,任务目标类型,任务目标参数,任务目标参数2,任务目标显示参数,等级限制,vip限制,语言区域,顺序,任务组,任务组排序,活跃度点数,奖励物品表,前往类型枚举:5位数关卡ID-关卡10000为主线不限关10100为主线第一章20000为困难不限关  gainWay获得途径   shop商店activity活动界面roleLogo头像界面figure个人形象界面gainGold点金界面recharge充值界面gainStamina购买体力friend好友界面cardBag背包界面strengthen还有培养界面handbook图鉴界面任意英文-数字表示其页签
1000,0,主角等级达到1级,city/task/icon_actionup.png,成长奖励,1,1,,1,1,,,2,1000,1,,{gold=2500;rmb=10},10000
1001,0,主角等级达到2级,city/task/icon_actionup.png,成长奖励,1,2,,2,1,,,4,1000,2,,{gold=2500;rmb=10},10000
1002,0,主角等级达到3级,city/task/icon_actionup.png,成长奖励,1,3,,3,1,,,1,1000,3,,{gold=2500;rmb=10},10000
1003,0,主角等级达到4级,city/task/icon_actionup.png,成长奖励,1,4,,4,1,,,2,1000,4,,{gold=2500;rmb=10},10000
1004,0,主角等级达到5级,city/task/icon_actionup.png,成长奖励,1,5,,5,1,,,3,1000,5,,{gold=2500;rmb=10},10000
1005,0,主角等级达到6级,city/task/icon_actionup.png,成长奖励,1,6,,6,1,,,4,1000,6,,{gold=2500;rmb=10},10000
1006,0,主角等级达到7级,city/task/icon_actionup.png,成长奖励,1,7,,7,1,,,5,1000,7,,{gold=2500;rmb=10},10000
1007,0,主角等级达到8级,city/task/icon_actionup.png,成长奖励,1,8,,8,1,,,6,1000,8,,{gold=2500;rmb=10},10000
1008,0,主角等级达到9级,city/task/icon_actionup.png,成长奖励,1,9,,9,1,,,3,1000,9,,{gold=2500;rmb=10},10000
1009,0,主角等级达到10级,city/task/icon_actionup.png,成长奖励,1,10,,10,1,,,4,1000,10,,{gold=4000;rmb=15},10000
1010,0,主角等级达到11级,city/task/icon_actionup.png,成长奖励,1,11,,11,1,,,1,1000,11,,{gold=4000;rmb=15},10000
1011,0,主角等级达到12级,city/task/icon_actionup.png,成长奖励,1,12,,12,1,,,3,1000,12,,{gold=4000;rmb=15},10000
1012,0,主角等级达到13级,city/task/icon_actionup.png,成长奖励,1,13,,13,1,,,0,1000,13,,{gold=4000;rmb=15},10000
1013,0,主角等级达到14级,city/task/icon_actionup.png,成长奖励,1,14,,14,1,,,2,1000,14,,{gold=4000;rmb=15},10000
1014,0,主角等级达到15级,city/task/icon_actionup.png,成长奖励,1,15,,15,1,,,2,1000,15,,{gold=4000;rmb=15},10000
1015,0,主角等级达到16级,city/task/icon_actionup.png,成长奖励,1,16,,16,1,,,3,1000,16,,{gold=4000;rmb=15},10000
1016,0,主角等级达到17级,city/task/icon_actionup.png,成长奖励,1,17,,17,1,,,5,1000,17,,{gold=4000;rmb=15},10000
1017,0,主角等级达到18级,city/task/icon_actionup.png,成长奖励,1,18,,18,1,,,5,1000,18,,{gold=4000;rmb=15},10000
1018,0,主角等级达到19级,city/task/icon_actionup.png,成长奖励,1,19,,19,1,,,2,1000,19,,{gold=4000;rmb=15},10000
1019,0,主角等级达到20级,city/task/icon_actionup.png,成长奖励,1,20,,20,1,,,2,1000,20,,{gold=5000;rmb=20},10000
1020,0,主角等级达到21级,city/task/icon_actionup.png,成长奖励,1,21,,21,1,,,1,1000,21,,{gold=5000;rmb=20},10000
1021,0,主角等级达到22级,city/task/icon_actionup.png,成长奖励,1,22,,22,1,,,1,1000,22,,{gold=5000;rmb=20},10000
1022,0,主角等级达到23级,city/task/icon_actionup.png,成长奖励,1,23,,23,1,,,2,1000,23,,{gold=5000;rmb=20},10000
1023,0,主角等级达到24级,city/task/icon_actionup.png,成长奖励,1,24,,24,1,,,3,1000,24,,{gold=5000;rmb=20},10000
