变量名,name,roundLimit,isFullManual,openDay,gateSeq,scene,beforePlotRepeat,floor,beforeRes,gateIcon,autoCards,cards,deployLock,winCondition,monsterIDs,award,__version,desc,win_condition
默认值,"""""",10,FALSE,0,0,csv.stage.city,FALSE,0,"""""","""""",{},<>,<0;0;0;0;0;0>,{},<>,{},,,
ID,name,roundLimit,isFullManual,openDay,gateSeq,scene,beforePlotRepeat,floor,beforeRes,gateIcon,autoCards,cards,deployLock,winCondition,monsterIDs,award,__version,desc,win_condition
1001,密林之围,,,,1,csv.stage.summer,,1,,,,<740001;740002;740003;740004;740005;740006;740007;740008;740009;740010;740011;740012;740013;740014;740015;740016;740017;740018;740019;740020;740021;740022;740023;740024;740025;740026;740027;740028;740029;740030;740031;740032;740033;740034;740035;740036;740037;740038;740039>,<0;0;0;0;0;0>,,<1001>,{21141=10;gold=100000;rmb=50},,每回合随机两个精灵被冻结。每回合随机两个精灵被冻结。每回合随机两个精灵被冻结。每回合随机两个精灵被冻结。每回合随机两个精灵被冻结。,获得战斗胜利
1011,初见巨锻匠,,,,1,csv.stage.summer,,2,,,,<740001;740002;740003;740004;740005;740006;740007;740008;740009;740010;740011;740012;740013;740014;740015;740016;740017;740018;740019;740020;740021;740022;740023;740024;740025;740026;740027;740028;740029;740030;740031;740032;740033;740034;740035;740036;740037;740038;740039>,<0;0;0;0;0;0>,,<1011>,{gold=2},,无特殊效果。,获得战斗胜利
1021,成群结队,,,,1,csv.stage.summer,,3,,,{740030=6},<740001;740002;740003;740004;740005;740006;740007;740008;740009;740010;740011;740012;740013;740014;740015;740016;740017;740018;740019;740020;740021;740022;740023;740024;740025;740026;740027;740028;740029;740030;740031;740032;740033;740034;740035;740036;740037;740038;740039>,<0;0;0;0;0;0>,,<1021>,{gold=3},,有一个首领(随机)和五个普通敌人，普通敌人受到主动攻击会给全体加满血量。,找到正确的首领并击败它
1031,怜悯之心,,,,1,csv.stage.summer,,4,,,,<740001;740002;740003;740004;740005;740006;740007;740008;740009;740010;740011;740012;740013;740014;740015;740016;740017;740018;740019;740020;740021;740022;740023;740024;740025;740026;740027;740028;740029;740030;740031;740032;740033;740034;740035;740036;740037;740038;740039>,<0;0;0;0;0;0>,,<1031>,{gold=4},,敌方精灵血量较少。,五回合后场上仍保有至少两位敌方精灵\n五回合后场上仍保有至少两位敌方精灵\n五回合后场上仍保有至少两位敌方精灵\n五回合后场上仍保有至少两位敌方精灵
1041,风波,,,,1,csv.stage.summer,,5,,,,<740001;740002;740003;740004;740005;740006;740007;740008;740009;740010;740011;740012;740013;740014;740015;740016;740017;740018;740019;740020;740021;740022;740023;740024;740025;740026;740027;740028;740029;740030;740031;740032;740033;740034;740035;740036;740037;740038;740039>,<0;0;0;0;1;1>,,<1041>,{gold=5},,喵喵每回合只会受到物攻/特攻其中一种的伤害，每个回合会随机更换能够造成伤害的属性。,获得战斗胜利
2001,据为己有,,,,2,csv.stage.summer,,1,,city/adventure/teach_challenge/img_jxfb_gqt1,{940001=2},<940001;940002;940003;940004;940005;940006;940007>,<0;0;1;1;1;1>,,<2011>,{21141=10;gold=100000;rmb=50},,敌方双攻最高的精灵会获得一个极其强大的1级增益，信使鸟小技能的馈赠增益效果会有奇效哦,获得战斗胜利
2011,化危为安,,,,2,csv.stage.summer,,2,,city/adventure/teach_challenge/img_jxfb_gqt2,{940001=2},<940001;940002;940003;940004;940005;940006;940007>,<0;0;1;1;1;1>,,<2021>,{21141=10;gold=100000;rmb=50},,"每个大回合时会给己方攻击最高精灵添加一个极其强大的1级负面,信使鸟小技能的回馈负面效果会有奇效哦",获得战斗胜利
