变量名,gateID,sceneCount,cards,hpFix,damageFix,defenceFix,speedFix,storys,__version
默认值,0,1,<>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,{},
ID,gateID,sceneCount,cards,hpFix,damageFix,defenceFix,speedFix,storys,__version
1001,1001,,<840001;840001;840001;840001;840002;840001>,,,,,,
1011,1011,,<0;840102;0;840103;840101;840103>,,,,,,
1021,1021,,<840201;840201;840201;840202;840201;840201>,,,,,,
1031,1031,,<840302;840302;840302;840301;840301;840301>,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,
1041,1041,,<840403;840402;840401;0;0;0>,,,,,,
1051,1051,,<840501;840501;840501;840502;840502;840502>,,,,,,
1061,1061,,<840601;840601;840601;840601;840602;840601>,,,,,,
1071,1071,,<840701;840702;840703;0;0;0>,,,,,,
1081,1081,,<0;840801;0;840801;840802;840803>,,,,,,
1091,1091,,<0;840904;0;840902;840901;840902>,,,,,,
2011,2011,,<950101;950102;0;0;0;0>,,,,<0.7;0.7;0;0;0;0>,,
2021,2021,,<950201;950202;0;0;0;0>,,,,<0.7;0.7;0;0;0;0>,,
2031,2031,,<950301;950302;950303;0;0;0>,,,,<0.7;0.7;0.7;0;0;0>,,
2041,2041,,<950401;950402;0;0;0;0>,,,,<0.7;0.7;0;0;0;0>,,
2051,2051,,<950501;950501;950501;0;0;0>,,<1.5;1.5;1.5;0;0;0>,,<0.7;0.7;0.7;0;0;0>,,
2111,2111,,<951101;951102;951103;0;0;0>,<10;10;10;10;10;10>,<0.5;0.5;0.5;0;0;0>,,,,
2121,2121,,<951201;951202;951203;0;951204;0>,<4;4;4;4;4;4>,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,
2131,2131,,<0;951301;0;0;951301;0>,<10;10;10;10;10;10>,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,
2141,2141,,<951401;951401;951401;951401;951401;951401>,<2;2;2;2;2;2>,<20;20;20;20;20;20>,,<2;2;2;2;2;2>,,
2151,2151,,<951501;951502;951501;0;0;0>,<0.8;4;0.8;0;0;0>,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,
