变量名,gem3,gem2,gem1,heldItem,templateID,cardID,useSkin,contract6,contract5,contract4,contract3,contract2,contract1,chip6,chip5,chip4,chip3,chip2,chip1,gem9,gem8,gem7,gem6,gem5,gem4,__version
默认值,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ID,gem3,gem2,gem1,heldItem,templateID,cardID,useSkin,contract6,contract5,contract4,contract3,contract2,contract1,chip6,chip5,chip4,chip3,chip2,chip1,gem9,gem8,gem7,gem6,gem5,gem4,__version
101,40163,40162,40161,30401,20011,761,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
102,40163,40162,40161,31101,20011,762,,81604,81604,81604,81608,81602,81605,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
103,40163,40162,40161,31101,20011,763,,81604,81604,81604,81608,81602,81605,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
104,40663,40662,40661,30407,20011,1261,,,81602,81604,81603,81602,81601,60566,60565,60664,60663,60662,60661,40963,40962,40961,40666,40665,40664,
105,40663,40662,40661,31301,20011,1271,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
106,40463,40462,40461,30423,20011,1281,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40466,40465,40464,
107,40563,40562,40561,30404,20011,1961,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40566,40565,40564,
108,40563,40562,40561,30404,20011,1962,,81605,81605,81605,81603,81606,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40566,40565,40564,
109,40663,40662,40661,30403,20011,1971,,,81602,81604,81603,81602,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40666,40665,40664,
110,40663,40662,40661,30403,20011,1972,,81606,81604,81603,81603,81605,81601,60566,60565,60464,60463,60462,60461,40963,40962,40961,40666,40665,40664,
111,40163,40162,40161,30408,20011,1981,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
112,40163,40162,40161,30401,20011,1982,,81604,81604,81604,81608,81602,81605,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
113,40663,40662,40661,30419,20011,1991,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40666,40665,40664,
114,40163,40162,40161,30410,20011,2351,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
115,40163,40162,40161,30411,,2361,,,81606,81603,81601,81606,81606,60166,60165,60264,60263,60262,60261,40863,40862,40861,40166,40165,40164,
116,40163,40162,40161,30409,,2381,,,81606,81603,81601,81606,81606,60166,60165,60364,60363,60362,60361,40863,40862,40861,40166,40165,40164,
117,40663,40662,40661,30412,,2391,,,81602,81604,81603,81602,81601,60566,60565,60564,60563,60562,60561,40963,40962,40961,40666,40665,40664,
118,40463,40462,40461,30433,,2421,,,81601,81603,81605,81604,81602,60566,60565,60664,60663,60662,60661,40763,40762,40761,40466,40465,40464,
