变量名,level,system,csvID,__version
默认值,0,"""""",1,
ID,level,system,csvID,__version
1,24,union_skill,,
2,24,union_skill,2,
3,24,union_skill,3,
4,24,union_skill,4,
5,24,union_skill,5,
6,24,union_skill,6,
7,24,union_skill,7,
8,24,union_skill,8,
9,24,union_skill,9,
10,24,union_skill,10,
11,24,union_skill,11,
12,24,union_skill,12,
13,24,union_skill,13,
14,24,union_skill,14,
15,24,union_skill,15,
16,24,union_skill,16,
17,24,union_skill,17,
101,12,explorer,,
102,12,explorer,2,
103,12,explorer,3,
104,12,explorer,4,
105,12,explorer,5,
106,12,explorer,6,
107,12,explorer,7,
108,12,explorer,8,
109,12,explorer,9,
201,12,component,,
202,12,component,2,
203,12,component,3,
204,12,component,4,
205,12,component,5,
206,12,component,6,
207,12,component,7,
208,12,component,8,
209,12,component,9,
210,12,component,10,
211,12,component,11,
212,12,component,12,
213,12,component,13,
214,12,component,14,
215,12,component,15,
216,12,component,16,
217,12,component,17,
218,12,component,18,
219,12,component,19,
220,12,component,20,
221,12,component,21,
222,12,component,22,
223,12,component,23,
224,12,component,24,
225,12,component,25,
226,12,component,26,
227,12,component,27,
228,12,component,28,
229,12,component,29,
230,12,component,30,
231,12,component,31,
232,12,component,32,
233,12,component,33,
301,100,attr_skills,,
302,100,attr_skills,2,
303,100,attr_skills,3,
304,100,attr_skills,4,
305,100,attr_skills,5,
307,20,attr_skills,7,
308,20,attr_skills,8,
309,20,attr_skills,9,
310,20,attr_skills,10,
401,10,talent,,
402,10,talent,2,
403,10,talent,3,
