变量名,title,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,conditionDesc,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,__version
默认值,,<cn;tw;en;vn;th;kr;en_us;en_eu>,txt,<92;153;112>,,,,1,,1,,,,<>,,1,0,"""""",,,,,,,,,0,0,"""""",0,0,"""""",0,0,"""""",
ID,头衔名称,语言区域,显示类型,称号颜色,头衔底资源路径,头衔资源路径,特效称号大小,称号所属类型,相同头衔的Id,称号类别 (1=role; 2=union),称号来源,物品ID,所属系统参数,名次,获得提醒,一直显示,有效期,上线广播台词,获取条件说明,获取条件计数器,获取条件的计数,获取条件的参数2,获取条件2说明,获取条件2计数器,获取条件2的计数,获取条件2的参数2,自然属性卡牌加成(0表示全部),属性类型,属性数值,自然属性卡牌加成(0表示全部),属性类型,属性数值,自然属性卡牌加成(0表示全部),属性类型,属性数值,__version
1,真新人,,txt,<92;153;112>,config/title/img_green@.png,config/title/zxr@.png,,2,,,,,,,,,,,等级10时获得,1,10,,,,,,,9,30,,10,30,,,,
2,超级真新人,,pic,,config/title/img_red@.png,config/title/txt_cjzxr.png,,2,,,,,,,,,,,等级99时获得,1,99,,,,,,,7,500,,8,500,,,,
3,请多关照,,txt,<92;153;112>,config/title/img_green@.png,config/title/qdgz@.png,,2,,,,,,,,,,,等级1时获得,1,1,,,,,,,1,100,,,,,,,
4,新的历练,,txt,<138;92;153>,config/title/img_purple@.png,config/title/xdll@.png,,2,,,,,,,,,,,等级50时获得,1,50,,,,,,,13,30,,,,,,,
5,冒险新人,,txt,<92;153;112>,config/title/img_green@.png,config/title/mxxr@.png,,2,,,,,,,,,,,通关5-10,2,10510,,,,,,,1,300,,,,,,,
6,冒险专家,,pic,,config/title/img_red@.png,config/title/txt_mxzj.png,,2,,,,,,,,,,,通关12-10,2,11210,,,,,,,7,100,,8,100,,,,
7,热情收藏家,,txt,<61;138;153>,config/title/img_blue@.png,config/title/rqscj@.png,,2,,,,,,,,,,,解锁图鉴50个,76,50,,,,,,,1,500,,,,,,,
8,激进收藏家,,txt,<138;92;153>,config/title/img_purple@.png,config/title/jjscj@.png,,2,,,,,,,,,,,解锁图鉴100个,76,100,,,,,,,1,1000,,,,,,,
9,狂热收藏家,,pic,,config/title/img_red@.png,config/title/txt_krscj.png,,2,,,,,,,,,,,解锁图鉴200个,76,200,,,,,,,1,2000,,,,,,,
10,钢铁之躯,,pic,,config/title/img_red@.png,config/title/txt_gtzq.png,,2,,,,,,,,,,,无尽挑战通关第50关,77,100050,,,,,,,9,100,,10,100,,,,
11,好战者,,txt,<138;92;153>,config/title/img_purple@.png,config/title/hzz@.png,,2,,,,,,,,,,,竞技场累积战斗100次,41,100,,,,,,,7,60,,8,60,,,,
12,口袋空空,,txt,<138;92;153>,config/title/img_purple@.png,config/title/kdkk@.png,,2,,,,,,,,,,,累积招财200次,18,200,,,,,,,9,100,,10,100,,,,
