变量名,attrNum2,attrAddDesc2,attrNum1,attrType1,attrAddDesc1,attrDesc,powerNum,symbolGroupType,attrType2,addType1,addType2
默认值,"""""","""""","""""",0,"""""","""""",1,0,0,0,0
ID,属性2数值,属性2描述,属性1数值,属性1类型,属性1描述,属性描述,战力加成,符组类型,属性2类型,加成类型1,加成类型2
101,,,3.00%,1,生命增加,战斗中提升前排精灵的基础生命百分比,35,1,,1,
102,3.00%,特防增加,3.00%,9,物防增加,战斗中提升前排精灵的基础双防百分比,80,1,10,1,1
103,,,300,16,暴击抗性增加,提升所有精灵的暴击抗性百分比,130,1,,3,
104,,,300,16,暴击抗性增加,提升所有精灵的暴击抗性百分比,200,1,,3,
105,,,300,18,破抵御率增加,提升所有精灵的破抵御率百分比,290,1,,3,
201,,,3.00%,1,生命增加,战斗中提升后排精灵的基础生命百分比,35,2,,2,
202,3.00%,特攻增加,3.00%,7,物攻增加,战斗中提升后排精灵的基础双攻百分比,80,2,8,2,2
203,,,300,14,暴击率增加,提升所有精灵的暴击率百分比,130,2,,3,
204,,,300,14,暴击率增加,提升所有精灵的暴击率百分比,200,2,,3,
205,,,300,24,必杀伤害加成,提升所有精灵的必杀伤害加成百分比,290,2,,3,
301,,,8000,1,生命增加,提升所有精灵的生命,40,3,,3,
302,,,3.00%,1,生命增加,提升所有精灵的基础生命百分比,90,3,,3,
303,,,300,23,伤害减免增加,提升所有精灵的伤害减免百分比,160,3,,3,
304,,,300,23,伤害减免增加,提升所有精灵的伤害减免百分比,250,3,,3,
305,,,300,25,必杀伤害减免增加,提升所有精灵的必杀伤害减免百分比,360,3,,3,
401,2000,特攻增加,2000,7,物攻增加,提升所有精灵的双攻,40,4,8,3,3
402,3.00%,特攻增加,3.00%,7,物攻增加,提升所有精灵的基础双攻百分比,90,4,8,3,3
403,,,300,22,伤害加成增加,提升所有精灵的伤害加成百分比,160,4,,3,
404,,,300,22,伤害加成增加,提升所有精灵的伤害加成百分比,250,4,,3,
405,,,300,18,破抵御率增加,提升所有精灵的破抵御率百分比,360,4,,3,
406,,,300,18,破抵御率增加,提升所有精灵的破抵御率百分比,520,4,,3,
501,,,8000,1,生命增加,提升所有精灵的生命,60,5,,3,
502,,,3.00%,1,生命增加,提升所有精灵的基础生命百分比,130,5,,3,
503,,,300,93,竞技伤害减免增加,提升所有精灵的竞技伤害减免百分比,240,5,,3,
504,,,300,93,竞技伤害减免增加,提升所有精灵的竞技伤害减免百分比,360,5,,3,
505,,,300,91,免控率增加,提升所有精灵的免控率百分比,500,5,,3,
506,,,300,91,免控率增加,提升所有精灵的免控率百分比,700,5,,3,
