变量名,sortValue,showUnable,vipStart,endDate,beginDate,regainHour,exchangeLimit,limitTimes,limitType,group,itemMap,costMap,levelRange,languages
默认值,0,FALSE,0,20990101,0,0,-1,0,0,1,{},{},<1;150>,<cn;tw;en;en_us;en_eu>
ID,排序值,是否显示不可用,VIP开始,结束日期,开始日期,恢复小时,兑换限制,限制次数,限制类型,分组,物品映射,消耗映射,等级范围,语言
101,,,,,,,,5,3,2,{8811=1},{coin18=30},,
102,,,,,,,,5,3,2,{8812=1},{coin18=120},,
103,,,,,,,,3,3,2,{8813=1},{coin18=300},,
104,,,,,,,,1,3,2,{8814=1},{coin18=1200},,
1001,,,,,,,,8,4,,{8301=1},{coin18=50},,
1002,,,,,,,,8,4,,{8302=1},{coin18=50},,
1003,,,,,,,,8,4,,{8303=1},{coin18=50},,
1004,,,,,,,,8,4,,{8304=1},{coin18=50},,
1005,,,,,,,,8,4,,{8305=1},{coin18=50},,
1006,,,,,,,,8,4,,{8306=1},{coin18=50},,
1007,,,,,,,,8,4,,{8307=1},{coin18=50},,
1008,,,,,,,,8,4,,{8308=1},{coin18=50},,
1009,,,,,,,,8,4,,{8309=1},{coin18=50},,
1010,,,,,,,,8,4,,{8310=1},{coin18=50},,
1011,,,,,,,,8,4,,{8311=1},{coin18=50},,
1012,,,,,,,,8,4,,{8312=1},{coin18=50},,
1013,,,,,,,,8,4,,{8313=1},{coin18=50},,
1014,,,,,,,,8,4,,{8314=1},{coin18=50},,
1015,,,,,,,,8,4,,{8315=1},{coin18=50},,
1016,,,,,,,,8,4,,{8316=1},{coin18=50},,
1017,,,,,,,,8,4,,{8317=1},{coin18=50},,
1018,,,,,,,,8,4,,{8318=1},{coin18=50},,
1019,,,,,,,,8,4,,{8319=1},{coin18=50},,
1020,,,,,,,,8,4,,{8320=1},{coin18=50},,
1021,,,,,,,,8,4,,{8321=1},{coin18=50},,
1022,,,,,,,,8,4,,{8322=1},{coin18=50},,
1023,,,,,,,,8,4,,{8323=1},{coin18=50},,
1024,,,,,,,,8,4,,{8324=1},{coin18=50},,
1025,,,,,,,,8,4,,{8325=1},{coin18=50},,
1026,,,,,,,,8,4,,{8326=1},{coin18=50},,
1027,,,,,,,,8,4,,{8327=1},{coin18=50},,
1028,,,,,,,,8,4,,{8328=1},{coin18=50},,
1029,,,,,,,,8,4,,{8329=1},{coin18=50},,
1030,,,,,,,,8,4,,{8330=1},{coin18=50},,
1031,,,,,,,,8,4,,{8331=1},{coin18=50},,
1032,,,,,,,,8,4,,{8332=1},{coin18=50},,
1033,,,,,,,,8,4,,{8333=1},{coin18=50},,
1034,,,,,,,,8,4,,{8334=1},{coin18=50},,
