变量名,vipStart,itemCount,type,vipWeight,showUnable,endDate,limitTimes,beginDate,position,limitType,itemWeightMap,itemMap,costMap,levelRange,languages
默认值,0,0,0,1,FALSE,20990101,0,0,0,0,{},{},{},<200;200>,<cn;tw;en;en_us;en_eu>
ID,VIP开始,物品数量,类型,VIP权重,显示不可用,结束日期,限制次数,开始日期,位置,限制类型,物品权重映射,物品映射,消耗映射,等级范围,语言
1,,1,2,,,,,,1,,{220=100;221=100;222=100;223=100;224=100;225=100;230=100;231=100;232=100;202=100;234=100;204=100;205=100;203=100;235=100;200=100;201=100;210=100;211=100;212=100;213=100;214=100;215=100;233=100},,{coin17=200},,
2,,1,2,,,,,,2,,{220=100;221=100;222=100;223=100;224=100;225=100;230=100;231=100;232=100;202=100;234=100;204=100;205=100;203=100;235=100;200=100;201=100;210=100;211=100;212=100;213=100;214=100;215=100;233=100},,{coin17=200},,
3,,1,2,,,,,,3,,{31201=100;31202=100;30201=100;30202=100;30203=100;30204=100;30205=100;30206=100;30207=100;30209=100;30208=100},,{coin17=200},,
4,,1,2,,,,,,3,,{30301=100;30302=100;30303=100;30304=100;30305=100;30306=100;30307=150;30308=150;30309=150;30310=150;30311=150;30312=150;30313=100;30314=100;30315=100;30316=100;30317=100},,{coin17=200},,
5,,1,2,,,,,,4,,{31201=100;31202=100;30201=100;30202=100;30203=100;30204=100;30205=100;30206=100;30207=100;30209=100;30208=100},,{coin17=200},,
6,,1,2,,,,,,4,,{30301=100;30302=100;30303=100;30304=100;30305=100;30306=100;30307=150;30308=150;30309=150;30310=150;30311=150;30312=150;30313=100;30314=100;30315=100;30316=100;30317=100},,{coin17=200},,
7,,1,2,,,,,,5,,{30101=100;30102=100;30103=100;30104=100;30106=100;30105=100},,{coin17=200},,
8,,1,2,,,,,,6,,{30101=100;30102=100;30103=100;30104=100;30106=100;30105=100},,{coin17=200},,
61,,,1,,,,,,7,,,{501=1},{coin17=200},,
62,,,1,,,,,,8,,,{902=5},{coin17=201},,
63,,,1,,,,,,9,,,{2103=1},{coin17=202},,
64,,,1,,,,,,10,,,{941=1},{coin17=203},,
65,,,1,,,,,,11,,,{940=1},{coin17=204},,
101,,,2,0,,,,,4,,,{30201=1},{coin17=211},,
102,,,2,0,,,,,5,,,{30202=1},{coin17=212},,
103,,,2,0,,,,,6,,,{30203=1},{coin17=213},,
104,,,2,0,,,,,7,,,{30204=1},{coin17=214},,
105,,,2,0,,,,,8,,,{30205=1},{coin17=215},,
106,,,2,0,,,,,9,,,{30206=1},{coin17=216},,
107,,,2,0,,,,,10,,,{30207=1},{coin17=217},,
108,,,2,0,,,,,11,,,{30208=1},{coin17=218},,
109,,,2,0,,,,,12,,,{30209=1},{coin17=219},,
201,,,2,0,,,,,14,,,{30101=1},{coin17=221},,
202,,,2,0,,,,,15,,,{30102=1},{coin17=222},,
203,,,2,0,,,,,16,,,{30103=1},{coin17=223},,
204,,,2,0,,,,,17,,,{30104=1},{coin17=224},,
205,,,2,0,,,,,18,,,{30105=1},{coin17=225},,
206,,,2,0,,,,,19,,,{30106=1},{coin17=226},,
207,,,2,0,,,,,20,,,{30107=1},{coin17=227},,
301,,,1,,,,3,,12,3,,{2152=1},{coin17=206},,
302,,,1,,,,2,,13,3,,{2153=1},{coin17=207},,
1000,,1,2,100,,,,,1,,{8316=100;8317=100;8318=100;8319=100;8320=100;8321=100;8322=100;8323=100;8324=100;8325=100;8326=100;8327=100;8328=100;8330=100;8331=100;8332=100;8333=100;8334=100;8335=100;8336=100;8337=100;8338=100;8339=100;8340=100;8341=100;8342=100;8343=100;8344=100;8301=100;8302=100;8303=100;8304=100;8305=100;8306=100;8307=100;8308=100;8309=100;8310=100;8311=100;8312=100;8313=100;8314=100;8315=100;8329=100},,{coin17=60},<1;200>,
1100,,1,2,100,,,,,2,,{8316=100;8317=100;8318=100;8319=100;8320=100;8321=100;8322=100;8323=100;8324=100;8325=100;8326=100;8327=100;8328=100;8330=100;8331=100;8332=100;8333=100;8334=100;8335=100;8336=100;8337=100;8338=100;8339=100;8340=100;8341=100;8342=100;8343=100;8344=100;8301=100;8302=100;8303=100;8304=100;8305=100;8306=100;8307=100;8308=100;8309=100;8310=100;8311=100;8312=100;8313=100;8314=100;8315=100;8329=100},,{coin17=60},<1;200>,
1200,,1,2,100,,,,,3,,{8316=100;8317=100;8318=100;8319=100;8320=100;8321=100;8322=100;8323=100;8324=100;8325=100;8326=100;8327=100;8328=100;8330=100;8331=100;8332=100;8333=100;8334=100;8335=100;8336=100;8337=100;8338=100;8339=100;8340=100;8341=100;8342=100;8343=100;8344=100;8301=100;8302=100;8303=100;8304=100;8305=100;8306=100;8307=100;8308=100;8309=100;8310=100;8311=100;8312=100;8313=100;8314=100;8315=100;8329=100},,{coin17=60},<1;200>,
1300,,1,2,100,,,,,4,,{8401=100;8402=100;8403=100;8404=100;8405=100;8406=100;8407=100;8408=100;8409=100;8410=100;8411=100;8412=100;8413=100;8414=100;8415=100;8416=100;8417=100;8418=100;8419=100;8420=100;8421=100;8422=100;8423=100;8424=100;8425=100;8426=100;8427=100;8428=100;8429=100;8430=100;8431=100;8432=100;8433=100;8434=100;8435=100;8436=100;8437=100;8438=100;8439=100;8440=100},,{coin17=240},<1;200>,
1400,,1,2,100,,,,,5,,{8401=100;8402=100;8403=100;8404=100;8405=100;8406=100;8407=100;8408=100;8409=100;8410=100;8411=100;8412=100;8413=100;8414=100;8415=100;8416=100;8417=100;8418=100;8419=100;8420=100;8421=100;8422=100;8423=100;8424=100;8425=100;8426=100;8427=100;8428=100;8429=100;8430=100;8431=100;8432=100;8433=100;8434=100;8435=100;8436=100;8437=100;8438=100;8439=100;8440=100},,{coin17=240},<1;200>,
1500,,1,2,100,,,,,6,,{8401=100;8402=100;8403=100;8404=100;8405=100;8406=100;8407=100;8408=100;8409=100;8410=100;8411=100;8412=100;8413=100;8414=100;8415=100;8416=100;8417=100;8418=100;8419=100;8420=100;8421=100;8422=100;8423=100;8424=100;8425=100;8426=100;8427=100;8428=100;8429=100;8430=100;8431=100;8432=100;8433=100;8434=100;8435=100;8436=100;8437=100;8438=100;8439=100;8440=100},,{coin17=240},<1;200>,
1600,,1,2,100,,,,,7,,{8505=100;8506=100;8507=100;8508=100;8509=100;8510=100;8511=100;8512=100;8513=100;8514=100;8501=100;8502=100;8504=100;8503=100},,{coin17=600},<1;200>,
1700,,1,2,100,,,,,8,,{8610=100;8611=100;8612=100;8613=100;8614=100;8601=100;8602=100;8603=100;8604=100;8605=100;8606=100;8607=100;8609=100;8608=100},,{coin17=3000},<1;200>,
