变量名,attrType1,symbolGroupType,attrNum2,extraAttrNum2,extraAttrsType2,starSeqID,attrType2,extraAttrsType1,extraAttrNum1,attrNum1,name,sort,power,totemGroup1,symbolPosition,nature
默认值,0,0,"""""","""""",0,101,0,0,"""""","""""","""""",1,0,<>,<>,<>
ID,属性1类型,符组类型,属性2数值,额外属性2数值,额外属性2类型,星级序列ID,属性2类型,额外属性1类型,额外属性1数值,属性1数值,名称,排序,战力,图腾组,符文位置,自然
101,1,1,,,,,,,,36,关都,99,1,<8301>,<2>,
102,7,1,11,,,,8,,,11,丰缘,38,1,<8302>,<6>,
103,9,1,6,,,,10,,,7,神奥,57,1,<8303>,<2>,
104,1,1,,,,,,,,36,合众,38,1,<8304>,<1>,
105,7,1,11,,,,8,,,11,真心,15,1,<8305>,<4>,
106,9,1,6,,,,10,,,7,常青,91,1,<8306>,<2>,
107,1,1,,,,,,,,36,常盘,61,1,<8307>,<1>,
108,7,1,11,,,,8,,,11,常磐,2,1,<8308>,<4>,
109,9,1,6,,,,10,,,7,深灰,85,1,<8309>,<1>,
110,1,1,,,,,,,,36,尼比,27,1,<8310>,<2>,
111,7,1,11,,,,8,,,11,华蓝,32,1,<8311>,<6>,
112,9,1,6,,,,10,,,7,枯叶,99,1,<8312>,<1>,
113,1,1,,,,,,,,36,玉虹,60,1,<8313>,<6>,
114,7,1,11,,,,8,,,11,彩虹,84,1,<8314>,<1>,
115,9,1,6,,,,10,,,7,紫苑,63,1,<8315>,<6>,
116,1,1,,,,,,,,36,金黄,87,1,<8316>,<1>,
117,7,1,11,,,,8,,,11,石英,40,1,<8317>,<2>,
118,9,1,6,,,,10,,,7,月见,96,1,<8318>,<1>,
119,1,1,,,,,,,,36,岩山,87,1,<8319>,<6>,
120,7,1,11,,,,8,,,11,寂静,58,1,<8320>,<4>,
121,9,1,6,,,,10,,,7,双子,21,1,<8321>,<1>,
122,1,1,,,,,,,,36,圣特安努,36,1,<8322>,<2>,
123,7,1,11,,,,8,,,11,西尔佛,94,1,<8323>,<6>,
124,9,1,6,,,,10,,,7,常青,,1,<8324>,<4>,
125,7,1,130,,,,8,,,130,未白,5,1,<8313;8507>,<2;3>,
126,9,1,77,,,,10,,,78,古玫,28,1,<8320;8511>,<5;7>,
127,1,1,,,,,,,,432,古辰,13,1,<8338;8514>,<5;7>,
128,1,1,,,,,,,,180,橙华,64,1,<8338;8402>,<3;6>,
129,7,1,54,,,,8,,,54,卡那兹,3,1,<8340;8401>,<5;7>,
130,9,1,28,,,,10,,,33,武斗,49,1,<8330;8403>,<5;7>,
131,1,1,,,,,,,,180,凯那,15,1,<8325;8411>,<1;4>,
132,7,1,54,,,,8,,,54,紫堇,82,1,<8334;8417>,<2;3>,
133,9,1,28,,,,10,,,33,秋叶,90,1,<8325;8422>,<2;3>,
