变量名,taskBelong,sort,desc,areaType,taskType,awards,targetArg
默认值,0,1,"""""",0,0,{},0
ID,任务归属,排序,任务描述,区域类型,任务类型,奖励{物品=数量},目标参数
101,1,,探险5次,1,1,{8201=1200;gold=100000},5
111,1,2,探险20次,1,1,{8201=2400;gold=200000},20
121,1,3,探险60次,1,1,{8201=3600;gold=300000},60
201,1,,探险5次,2,1,{8201=1200;gold=100000},5
211,1,2,探险20次,2,1,{8201=2400;gold=200000},20
221,1,3,探险60次,2,1,{8201=3600;gold=300000},60
301,1,,探险5次,3,1,{8201=1200;gold=100000},5
311,1,2,探险20次,3,1,{8201=2400;gold=200000},20
321,1,3,探险60次,3,1,{8201=3600;gold=300000},60
401,1,,探险5次,4,1,{8201=1200;gold=100000},5
411,1,2,探险20次,4,1,{8201=2400;gold=200000},20
421,1,3,探险60次,4,1,{8201=3600;gold=300000},60
1001,2,,达到试探,1,2,{527=2;gold=50000;rmb=30},2
1011,2,2,达到冒险深入,1,2,{526=2;gold=100000;rmb=50},3
1021,2,3,达到柳暗花明,1,2,{501=2;gold=200000;rmb=50},4
1031,2,4,达到熟门熟路,1,2,{521=3;gold=300000;rmb=100},5
1101,2,,达到试探,2,2,{527=2;gold=50000;rmb=30},2
1111,2,2,达到冒险深入,2,2,{526=2;gold=100000;rmb=50},3
1121,2,3,达到柳暗花明,2,2,{501=2;gold=200000;rmb=50},4
1131,2,4,达到熟门熟路,2,2,{521=3;gold=300000;rmb=100},5
1201,2,,达到试探,3,2,{527=2;gold=50000;rmb=30},2
1211,2,2,达到冒险深入,3,2,{526=2;gold=100000;rmb=50},3
1221,2,3,达到柳暗花明,3,2,{501=2;gold=200000;rmb=50},4
1231,2,4,达到熟门熟路,3,2,{521=3;gold=300000;rmb=100},5
1301,2,,达到试探,4,2,{527=2;gold=50000;rmb=30},2
1311,2,2,达到冒险深入,4,2,{526=2;gold=100000;rmb=50},3
1321,2,3,达到柳暗花明,4,2,{501=2;gold=200000;rmb=50},4
1331,2,4,达到熟门熟路,4,2,{521=3;gold=300000;rmb=100},5
