变量名,spineRes,unlockType2,unlockType1,levelUpCostTime,name,res,open,desc,level,buildType,buildID,levelUpCost,unlockParams1,unlockParams2,relicTabPos,touchSize,languages
默认值,"""""",0,0,0,"""""","""""",0,"""""",1,0,0,{},<>,<>,{y=0;x=0;scale=1},<>,<cn;tw;kr;en;en_us;en_eu>
ID,Spine动画资源,解锁条件类型2,解锁条件类型1,升级耗时(秒),建筑名称,建筑图片资源,开放标记,建筑描述,建筑等级,建筑类型(1城镇中心2小屋3工厂等),建筑类型ID,升级消耗{货币=数量},解锁参数1<类型;值>,解锁参数2<类型;值>,遗迹标签位置,点击区域<<x;y>>,语言限制
1,,,,,市中心,city/town/map/building/6.png,,这是一片比较僻静的地区，马路虽然不多，但也井井有条。建筑不算高大，但看起来也很干净舒服，人们和精灵在这里简单而又平淡的生活着。,,1,1,,,,,<<83;20>;<160;62>;<220;35>;<305;68>;<280;120>;<312;147>;<278;220>;<218;268>;<210;332>;<167;428>;<120;313>;<92;257>;<44;252>;<5;202>;<-5;120>;<12;54>>,
2,,1,1,10,市中心,city/town/map/building/6.png,,利用这一座城市靠山环水的绝佳地理优势，你规划了很合理的发展规划，规划里每一块区域都分的清清楚楚，有工厂工作的地方，有园区办公的地方，当然还少不了娱乐区域，那么就开始吧！,2,1,1,{8202=120;8203=120;gold=300000},<3;1>,<4;1>,,<<83;20>;<160;62>;<220;35>;<305;68>;<280;120>;<312;147>;<278;220>;<218;268>;<210;332>;<167;428>;<120;313>;<92;257>;<44;252>;<5;202>;<-5;120>;<12;54>>,
3,,1,1,60,市中心,city/town/map/building/6.png,,路边的草皮，楼旁的大树，外观在规划建设不久后开始变得整齐起来了，再也不是以往随意疯长的凌乱模样，被修剪掉参差不齐的树枝后，它们更加茁壮起来，显得这座城市更加生机勃勃。,3,1,1,{8202=252;8203=252;gold=600000},<3;2>,<4;2>,,<<83;20>;<160;62>;<220;35>;<305;68>;<280;120>;<312;147>;<278;220>;<218;268>;<210;332>;<167;428>;<120;313>;<92;257>;<44;252>;<5;202>;<-5;120>;<12;54>>,
4,,1,1,600,市中心,city/town/map/building/6.png,,城市中的精灵也慢慢多了起来，Ta们不像火箭队的喵喵能懂得人类的语言，初来城市时很是焦虑，还好城市中的训练家们组成了志愿者小队，还在溪流边改造了一个绿化棚屋供精灵们休息。,4,1,1,{8202=318;8203=318;gold=900000},<3;3>,<4;3>,,<<83;20>;<160;62>;<220;35>;<305;68>;<280;120>;<312;147>;<278;220>;<218;268>;<210;332>;<167;428>;<120;313>;<92;257>;<44;252>;<5;202>;<-5;120>;<12;54>>,
5,,1,1,12000,市中心,city/town/map/building/6.png,,街头巷尾多了很多的小店铺，还有工作园区内，每一栋楼层都贴了不少的招工启事，细看能发现不少很有趣的工作，到了晚上，中心街区更是张灯结彩的热闹起来，看起来很吸引人呢。,5,1,1,{8202=600;8203=600;gold=1200000},<3;4>,<4;4>,,<<83;20>;<160;62>;<220;35>;<305;68>;<280;120>;<312;147>;<278;220>;<218;268>;<210;332>;<167;428>;<120;313>;<92;257>;<44;252>;<5;202>;<-5;120>;<12;54>>,
6,,1,1,27000,市中心,city/town/map/building/6_1.png,,基本设施的维护与升级在每个角落都在悄悄进行着，每天晨起都会伴随着鸟叫与建筑的声音，也没过了几日，似乎街道和建筑们看起来更加精致了一些。,6,1,1,{8202=4380;8203=4380;gold=1500000},<3;5>,<4;5>,,<<83;20>;<161;58>;<220;31>;<301;72>;<289;127>;<313;138>;<283;172>;<283;221>;<263;256>;<215;267>;<221;311>;<179;380>;<124;312>;<101;249>;<55;254>;<7;203>;<-5;125>;<27;86>;<10;57>>,
7,,1,1,45000,市中心,city/town/map/building/6_1.png,,城市中建设的港口不知不觉的完工开放了，刚开始只有稀稀拉拉的一些货船、训练家们的探险器在此停泊，但是从他们的交谈中可以发现他们对这座城市充满好感。,7,1,1,{8202=15240;8203=15240;gold=1800000},<3;6>,<4;6>,,<<83;20>;<161;58>;<220;31>;<301;72>;<289;127>;<313;138>;<283;172>;<283;221>;<263;256>;<215;267>;<221;311>;<179;380>;<124;312>;<101;249>;<55;254>;<7;203>;<-5;125>;<27;86>;<10;57>>,
8,,1,1,60000,市中心,city/town/map/building/6_1.png,,城市中开始多了一些陌生的面孔，看来是刚搬进来居住的人，他们基本晨作夜歇，在空余的时间参加各种聚会认识新朋友们，没有多久人们就互相熟识了许多，看起来是满意这里的生活呢,8,1,1,{8202=57600;8203=57600;gold=2100000},<3;7>,<4;7>,,<<83;20>;<161;58>;<220;31>;<301;72>;<289;127>;<313;138>;<283;172>;<283;221>;<263;256>;<215;267>;<221;311>;<179;380>;<124;312>;<101;249>;<55;254>;<7;203>;<-5;125>;<27;86>;<10;57>>,
9,,1,1,72000,市中心,city/town/map/building/6_1.png,,你的城市以“基建狂魔”的称号逐渐闻名起来，随之慢慢出名的便是各具特色的建筑群，古朴和风小镇、摩登时代的高楼、造型出位的商圈……,9,1,1,{8202=66600;8203=66600;gold=2400000},<3;8>,<4;8>,,<<83;20>;<161;58>;<220;31>;<301;72>;<289;127>;<313;138>;<283;172>;<283;221>;<263;256>;<215;267>;<221;311>;<179;380>;<124;312>;<101;249>;<55;254>;<7;203>;<-5;125>;<27;86>;<10;57>>,
10,,1,1,84000,市中心,city/town/map/building/6_1.png,,以前远远眺望可以看到2、3个街区之外的建筑，现在可是不行了，城市里的各种工厂、园区、购物中心等等建筑拔地而起，个个都是小高楼，逢年过节的简单装饰一下，整个城市就变得好看的不得了。,10,1,1,{8202=79200;8203=79200;gold=2700000},<3;9>,<4;9>,,<<83;20>;<161;58>;<220;31>;<301;72>;<289;127>;<313;138>;<283;172>;<283;221>;<263;256>;<215;267>;<221;311>;<179;380>;<124;312>;<101;249>;<55;254>;<7;203>;<-5;125>;<27;86>;<10;57>>,
11,,1,1,96000,市中心,city/town/map/building/6_2.png,,城市的角落里仍然有一些没有被顾及到的废旧建筑，这里最近出现了一批涂鸦的狂热爱好者，他们把自己喜欢的精灵填满了原来破旧的墙面，在短时间内吸引了好多人前往观赏,11,1,1,{8202=111600;8203=111600;gold=3000000},<3;10>,<4;10>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;90>>,
12,,1,1,126000,市中心,city/town/map/building/6_2.png,,“哐哐哐”熟悉的施工小队又开始工作了，这次可是一些大工程呢，你的城市开始渐渐出名了，据说居住在这里的人们和精灵们幸福感指数爆表，只是缺少一些现代化，这不马上安排上了！,12,1,1,{8202=129600;8203=129600;gold=3300000},<3;11>,<4;11>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;91>>,
13,,1,1,160000,市中心,city/town/map/building/6_2.png,,市中心的区域人气开始升高，可能是这里有一个可以休息也可以聚会的大花园，也可能是这里有一些规模较大的店铺，这里 也是大家每日必经的区域，这刺激了更多的人们来到这片区域进行深度拓展。,13,1,1,{8202=210600;8203=210600;gold=3600000},<3;12>,<4;12>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;92>>,
14,,1,1,200000,市中心,city/town/map/building/6_2.png,,市中心的闹市区规划建设很有成效，人气很足，感觉都快要装不下大家的热情了，慢慢城市周边各种地方也开始了特色的规划，有遗迹保护区、有自然农场体验区、还有刺激游玩区等等,14,1,1,{8202=270000;8203=270000;gold=3900000},<3;13>,<4;13>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;93>>,
15,,1,1,240000,市中心,city/town/map/building/6_2.png,,最近从临近城市刮来一阵“回归自然”之风，闲暇之余人们和精灵们喜欢来到城市东边的农场里，在这农耕织种，山间野餐，农场的大伯更是忙得热火朝天，还又多开垦了几片农田。,15,1,1,{8202=333000;8203=333000;gold=4200000},<3;14>,<4;14>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;94>>,
16,,1,1,280000,市中心,city/town/map/building/6_2.png,,又到了评选城市的时期，为了留下所有人对于这座城市的好印象，城市中的人们铆足了劲，兢兢业业的守在自己的岗位上，做好自己的工作，直至夜幕降临城市各处仍灯火通明。,16,1,1,{8202=396000;8203=396000;gold=4500000},<3;15>,<4;15>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;95>>,
17,,1,1,360000,市中心,city/town/map/building/6_2.png,,到了长假时间，城市中的工作园区一下子安静了起来，倒是游乐区人声鼎沸的，有坐着云霄飞车鬼哄鬼叫的，也有拿着泳圈水上漂浮的，大家都在享受这难得的休闲时光。,17,1,1,{8202=612000;8203=612000;gold=4800000},<3;16>,<4;16>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;96>>,
18,,1,1,440000,市中心,city/town/map/building/6_2.png,,俯瞰城市时，发现这里现代化气息十足，但同时也保留了一些个性、年轻化风格的表达，虽然大街上人们熙熙攘攘，生活节奏变快，但从每个人的脸上都能看到充沛的朝气，是一个年轻的城市的象征。,18,1,1,{8202=1557000;8203=1557000;gold=5100000},<3;17>,<4;17>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;97>>,
19,,1,1,560000,市中心,city/town/map/building/6_2.png,,每到节日期间，城市的各个区域都能看见很多来这里旅游的游客们，游客们通过摄像镜头来记录和传播着这座城市的美好，怪不得这里接连不断的被报道还评选为最受欢迎&入住幸福感最高的城市！,19,1,1,{8202=2970000;8203=2970000;gold=5400000},<3;18>,<4;18>,,<<202;484>;<115;258>;<30;137>;<58;62>;<202;15>;<387;98>>,
