变量名,needExp,level,addAttrs
默认值,99999999,0,{}
ID,所需经验,等级,属性加成{属性ID=值}
1,0,1,{1=330;7=99;8=99;9=33;10=33}
2,400,2,{1=356;7=107;8=107;9=36;10=36}
3,450,3,{1=384;7=115;8=115;9=38;10=38}
4,500,4,{1=412;7=124;8=124;9=41;10=41}
5,550,5,{1=442;7=133;8=133;9=44;10=44}
6,600,6,{1=472;7=142;8=142;9=47;10=47}
7,650,7,{1=504;7=151;8=151;9=50;10=50}
8,700,8,{1=536;7=161;8=161;9=54;10=54}
9,750,9,{1=570;7=171;8=171;9=57;10=57}
10,800,10,{1=604;7=181;8=181;9=60;10=60}
11,900,11,{1=640;7=192;8=192;9=64;10=64}
12,1000,12,{1=676;7=203;8=203;9=68;10=68}
13,1100,13,{1=714;7=214;8=214;9=71;10=71}
14,1200,14,{1=752;7=226;8=226;9=75;10=75}
15,1300,15,{1=792;7=238;8=238;9=79;10=79}
16,1450,16,{1=832;7=250;8=250;9=83;10=83}
17,1600,17,{1=874;7=262;8=262;9=87;10=87}
18,1750,18,{1=916;7=275;8=275;9=92;10=92}
19,1900,19,{1=960;7=288;8=288;9=96;10=96}
20,2050,20,{1=1004;7=301;8=301;9=100;10=100}
21,2250,21,{1=1050;7=315;8=315;9=105;10=105}
22,2450,22,{1=1096;7=329;8=329;9=110;10=110}
23,2650,23,{1=1144;7=343;8=343;9=114;10=114}
24,2850,24,{1=1192;7=358;8=358;9=119;10=119}
25,3050,25,{1=1242;7=373;8=373;9=124;10=124}
26,3250,26,{1=1292;7=388;8=388;9=129;10=129}
27,3450,27,{1=1344;7=403;8=403;9=134;10=134}
28,3650,28,{1=1396;7=419;8=419;9=140;10=140}
29,3850,29,{1=1450;7=435;8=435;9=145;10=145}
30,4050,30,{1=1504;7=451;8=451;9=150;10=150}
