变量名,type,name,attr,size,languages
默认值,501,"""""",{},{height=1;width=1},<cn;tw;en;en_us;en_eu;kr>
ID,类型,名称,属性{data=<家具配置>;flip;right},尺寸{width;height},语言限制
100101,,照片墙,{data=<{z=234;x=1;y=1;rotateParam=0;id=72501};{z=233;x=2;y=1;rotateParam=0;id=72504};{z=228;x=7;y=1;rotateParam=0;id=72503};{z=229;x=6;y=1;rotateParam=0;id=72505}>;flip=TRUE;right=TRUE},{height=5;width=9},
100102,,多彩窗户,{data=<{z=225;x=8;y=1;rotateParam=0;id=72502};{z=232;x=1;y=1;rotateParam=0;id=72003};{z=230;x=3;y=1;rotateParam=0;id=71504};{z=227;x=6;y=1;rotateParam=0;id=72003}>;flip=TRUE;right=TRUE},{height=5;width=9},
100103,,门窗书柜,{data=<{z=232;x=1;y=1;rotateParam=0;id=72001};{z=229;x=4;y=1;rotateParam=0;id=71503};{z=226;x=7;y=1;rotateParam=0;id=72001}>;flip=TRUE;right=TRUE},{height=5;width=9},
100104,,普通小开门,{data=<{z=231;x=4;y=1;rotateParam=0;id=72002};{z=232;x=3;y=1;rotateParam=0;id=72501};{z=228;x=7;y=1;rotateParam=0;id=72503};{z=234;x=1;y=1;rotateParam=0;id=72502}>;flip=TRUE;right=TRUE},{height=5;width=9},
100105,,新年大开门,{data=<{z=229;x=2;y=1;rotateParam=0;id=72010};{z=230;x=1;y=1;rotateParam=0;id=71512};{z=225;x=6;y=1;rotateParam=0;id=71512}>;flip=TRUE;right=TRUE},{height=5;width=6},
100106,,万圣节小窗,{data=<{z=230;x=3;y=1;rotateParam=0;id=72507};{z=226;x=7;y=1;rotateParam=0;id=72007};{z=232;x=1;y=1;rotateParam=0;id=72007}>;flip=TRUE;right=TRUE},{height=5;width=8},
100107,,时钟,{data=<{z=229;x=5;y=1;rotateParam=0;id=72003};{z=231;x=3;y=1;rotateParam=0;id=71508};{z=227;x=7;y=1;rotateParam=0;id=71509};{z=233;x=1;y=1;rotateParam=0;id=71510}>;flip=TRUE;right=TRUE},{height=5;width=9},
100108,,仓库的窗户,{data=<{z=224;x=5;y=1;rotateParam=0;id=71501};{z=226;x=3;y=1;rotateParam=0;id=72003};{z=228;x=1;y=1;rotateParam=0;id=71502}>;flip=TRUE;right=TRUE},{height=5;width=8},
100109,,现在几点了,{data=<{z=228;x=3;y=1;rotateParam=0;id=72009};{z=230;x=1;y=1;rotateParam=0;id=71510};{z=224;x=7;y=1;rotateParam=0;id=72007}>;flip=TRUE;right=TRUE},{height=5;width=8},
100110,,纪念照,{data=<{z=225;x=7;y=1;rotateParam=0;id=71509};{z=229;x=3;y=1;rotateParam=0;id=72507};{z=231;x=1;y=1;rotateParam=0;id=71508}>;flip=TRUE;right=TRUE},{height=5;width=9},
100111,,火光与照片,{data=<{z=229;x=5;y=1;rotateParam=0;id=71505};{z=225;x=9;y=1;rotateParam=0;id=72505};{z=233;x=1;y=1;rotateParam=0;id=72504}>;flip=TRUE;right=TRUE},{height=5;width=9},
100112,,读书角,{data=<{z=223;x=7;y=1;rotateParam=0;id=71503};{z=226;x=4;y=1;rotateParam=0;id=72001};{z=229;x=1;y=1;rotateParam=0;id=71503}>;flip=TRUE;right=TRUE},{height=5;width=9},
100113,,开门啦,{data=<{z=237;x=3;y=1;rotateParam=0;id=72504};{z=233;x=7;y=1;rotateParam=0;id=72002};{z=239;x=1;y=1;rotateParam=0;id=71510}>;flip=TRUE;right=TRUE},{height=5;width=9},
100114,,海报与多彩,{data=<{z=230;x=1;y=1;rotateParam=0;id=72503};{z=227;x=4;y=1;rotateParam=0;id=71504};{z=224;x=7;y=1;rotateParam=0;id=72502}>;flip=TRUE;right=TRUE},{height=5;width=8},
100115,,艺术展,{data=<{z=230;x=3;y=1;rotateParam=0;id=72504};{z=232;x=1;y=1;rotateParam=0;id=71512};{z=225;x=8;y=1;rotateParam=0;id=71512};{z=231;x=2;y=1;rotateParam=0;id=72505};{z=226;x=7;y=1;rotateParam=0;id=72501}>;flip=TRUE;right=TRUE},{height=5;width=8},
100116,,知识海洋,{data=<{z=232;x=1;y=1;rotateParam=0;id=71503};{z=229;x=4;y=1;rotateParam=0;id=72009};{z=225;x=8;y=1;rotateParam=0;id=71510}>;flip=TRUE;right=TRUE},{height=5;width=9},
100117,,温暖炉火,{data=<{z=228;x=5;y=1;rotateParam=0;id=71505};{z=232;x=1;y=1;rotateParam=0;id=71502};{z=224;x=9;y=1;rotateParam=0;id=72501};{z=230;x=3;y=1;rotateParam=0;id=72003}>;flip=TRUE;right=TRUE},{height=5;width=9},
100118,,魅力衣橱,{data=<{z=224;x=1;y=1;rotateParam=0;id=71506};{z=223;x=2;y=1;rotateParam=0;id=71507};{z=221;x=4;y=1;rotateParam=0;id=71506}>;flip=TRUE;right=TRUE},{height=5;width=4},
100201,502,普通客厅,{data=<{z=511;x=1;y=2;rotateParam=0;id=75002};{z=503;x=1;y=7;rotateParam=0;id=74501};{z=501;x=4;y=7;rotateParam=1;id=75503};{z=21;x=1;y=2;rotateParam=1;id=70501};{z=505;x=5;y=4;rotateParam=1;id=74508};{z=509;x=4;y=2;rotateParam=1;id=76504};{z=507;x=1;y=4;rotateParam=1;id=74007}>;flip=TRUE},{height=7;width=5},
100202,502,普通饭厅,{data=<{z=501;x=6;y=7;rotateParam=0;id=75507};{z=511;x=6;y=2;rotateParam=0;id=77054};{z=503;x=1;y=7;rotateParam=0;id=75505};{z=509;x=2;y=3;rotateParam=0;id=74001};{z=515;x=3;y=2;rotateParam=3;id=74503};{z=507;x=3;y=5;rotateParam=0;id=74503};{z=505;x=5;y=5;rotateParam=0;id=74503};{z=22;x=1;y=2;rotateParam=0;id=70502};{z=513;x=4;y=2;rotateParam=3;id=74503}>;flip=TRUE},{height=7;width=6},
100203,502,普通卧室,{data=<{z=509;x=6;y=1;rotateParam=0;id=75504};{z=511;x=4;y=1;rotateParam=0;id=74502};{z=505;x=3;y=3;rotateParam=0;id=75003};{z=503;x=2;y=7;rotateParam=0;id=76501};{z=507;x=2;y=3;rotateParam=1;id=76505};{z=501;x=3;y=7;rotateParam=0;id=75005};{z=35;x=2;y=2;rotateParam=0;id=70505}>;flip=TRUE},{height=7;width=6},
100204,502,普通会客室,{data=<{z=503;x=1;y=7;rotateParam=0;id=75001};{z=507;x=2;y=5;rotateParam=0;id=74505};{z=511;x=2;y=2;rotateParam=0;id=74002};{z=23;x=1;y=2;rotateParam=0;id=70501};{z=501;x=4;y=7;rotateParam=0;id=75001};{z=509;x=1;y=5;rotateParam=0;id=76506};{z=505;x=6;y=5;rotateParam=0;id=76506}>;flip=TRUE},{height=7;width=6},
100205,502,入流音乐鉴赏,{data=<{z=507;x=2;y=7;rotateParam=1;id=76502};{z=501;x=7;y=8;rotateParam=0;id=74008};{z=513;x=3;y=1;rotateParam=1;id=77052};{z=511;x=8;y=5;rotateParam=1;id=75014};{z=25;x=2;y=2;rotateParam=1;id=70503};{z=503;x=3;y=8;rotateParam=0;id=74504};{z=505;x=8;y=7;rotateParam=1;id=74506};{z=509;x=3;y=6;rotateParam=0;id=74006}>;flip=TRUE},{height=9;width=8},
100206,502,普通书房,{data=<{z=509;x=4;y=1;rotateParam=1;id=76504};{z=511;x=1;y=2;rotateParam=0;id=77050};{z=503;x=3;y=6;rotateParam=1;id=74506};{z=501;x=6;y=4;rotateParam=1;id=75506};{z=505;x=1;y=4;rotateParam=1;id=74004};{z=507;x=7;y=2;rotateParam=1;id=75502};{z=20;x=1;y=4;rotateParam=1;id=70506}>;flip=TRUE},{height=6;width=7},
100207,502,普通厨房,{data=<{z=501;x=1;y=3;rotateParam=0;id=76002};{z=507;x=5;y=1;rotateParam=1;id=76505};{z=509;x=2;y=1;rotateParam=0;id=74003};{z=505;x=7;y=1;rotateParam=1;id=77053};{z=503;x=7;y=2;rotateParam=0;id=76001};{z=511;x=1;y=2;rotateParam=0;id=74502};{z=23;x=1;y=1;rotateParam=0;id=70507}>;flip=TRUE},{height=6;width=7},
100208,502,普通学习区,{data=<{z=505;x=6;y=3;rotateParam=1;id=75503};{z=501;x=2;y=4;rotateParam=0;id=74005};{z=507;x=3;y=2;rotateParam=0;id=77050};{z=503;x=1;y=7;rotateParam=0;id=75507}>;flip=TRUE},{height=7;width=7},
100209,502,普通卧室看电视,{data=<{z=35;x=1;y=3;rotateParam=0;id=70506};{z=503;x=2;y=8;rotateParam=0;id=75005};{z=509;x=6;y=2;rotateParam=0;id=75501};{z=501;x=7;y=7;rotateParam=0;id=75504};{z=507;x=2;y=4;rotateParam=1;id=75002};{z=505;x=4;y=4;rotateParam=0;id=75003};{z=511;x=2;y=2;rotateParam=0;id=75005}>;flip=TRUE},{height=8;width=7},
