变量名,correctValue,averageScoreRange,text,type
默认值,1,<>,,1
ID,修正值,平均分范围<min;max>,text,type
1,0.9,<0;1.5>,,
2,,<1.5;2>,,
3,1.1,<2;2.25>,,
4,1.2,<2.25;2.5>,,
5,1.3,<2.5;2.75>,,
6,1.4,<2.75;2.9>,,
7,1.5,<2.9;3>,,
101,0.4,<-0.1;0.3>,*快填充一些家具在你的小屋吧,2
102,0.8,<0.3;0.45>,,2
103,,<0.45;0.58>,,2
104,-2.7,<0.58;1>,*小屋过于拥挤，请减少家具摆放#C0xFFF76B45#%s%%#C0xFF60C456#/58%%,2
201,-0.4,<-0.1;0.05>,*布置更多稀有家具来提高评价,3
202,0.5,<0.05;0.1>,*布置部分稀有家具来提高评价,3
203,0.8,<0.1;0.15>,*再布置一些稀有家具来提高评价,3
204,,<0.15;0.25>,,3
205,1.1,<0.25;1>,,3
