变量名,homeLevel,showUnable,limitTimes,limitType,centerLevel,vipStart,regainHour,exchangeLimit,sortValue,endDate,beginDate,itemMap,costMap,levelRange,languages
默认值,0,FALSE,0,0,0,0,0,-1,0,20990101,0,{},{},<1;150>,<>
ID,所需家园等级,不满足时显示,限购次数,限购类型(0不限1日2周3月4永久),城镇中心等级,VIP等级要求,恢复小时,兑换限制,排序值,结束日期YYYYMMDD,开始日期YYYYMMDD,物品{ID=数量},消耗{货币=数量},等级范围<min;max>,语言限制
1001,1,,,,,,,,,,,{70501=1},{coin16=25},,<cn;tw;en;en_us;en_eu;kr>
1002,1,,,,,,,,,,,{70502=1},{coin16=25},,<cn;tw;en;en_us;en_eu;kr>
1003,4,,,,,,,,,,,{71503=1},{coin16=290},,<cn;tw;en;en_us;en_eu;kr>
1004,1,,,,,,,,,,,{72002=1},{coin16=25},,<cn;tw;en;en_us;en_eu;kr>
1005,1,,,,,,,,,,,{72003=1},{coin16=15},,<cn;tw;en;en_us;en_eu;kr>
1006,1,,,,,,,,,,,{72505=1},{coin16=15},,<cn;tw;en;en_us;en_eu;kr>
1007,1,,,,,,,,,,,{74001=1},{coin16=50},,<cn;tw;en;en_us;en_eu;kr>
1008,1,,,,,,,,,,,{74007=1},{coin16=20},,<cn;tw;en;en_us;en_eu;kr>
1009,6,,,,,,,,,,,{74008=1},{coin16=720},,<cn;tw;en;en_us;en_eu;kr>
1010,2,,,,,,,,,,,{74502=1},{coin16=65},,<cn;tw;en;en_us;en_eu;kr>
1011,1,,,,,,,,,,,{74503=1},{coin16=30},,<cn;tw;en;en_us;en_eu;kr>
1012,1,,,,,,,,,,,{74504=1},{coin16=125},,<cn;tw;en;en_us;en_eu;kr>
1013,6,,,,,,,,,,,{74506=1},{coin16=610},,<cn;tw;en;en_us;en_eu;kr>
1014,1,,,,,,,,,,,{74507=1},{coin16=15},,<cn;tw;en;en_us;en_eu;kr>
1015,1,,,,,,,,,,,{74508=1},{coin16=20},,<cn;tw;en;en_us;en_eu;kr>
1016,6,,,,,,,,,,,{75001=1},{coin16=680},,<cn;tw;en;en_us;en_eu;kr>
1017,1,,,,,,,,,,,{75003=1},{coin16=90},,<cn;tw;en;en_us;en_eu;kr>
1018,1,,,,,,,,,,,{75004=1},{coin16=15},,<cn;tw;en;en_us;en_eu;kr>
1019,4,,,,,,,,,,,{75005=1},{coin16=245},,<cn;tw;en;en_us;en_eu;kr>
1020,2,,,,,,,,,,,{75006=1},{coin16=65},,<cn;tw;en;en_us;en_eu;kr>
1021,4,,,,,,,,,,,{75502=1},{coin16=245},,<cn;tw;en;en_us;en_eu;kr>
1022,1,,,,,,,,,,,{75503=1},{coin16=20},,<cn;tw;en;en_us;en_eu;kr>
1023,1,,,,,,,,,,,{75505=1},{coin16=20},,<cn;tw;en;en_us;en_eu;kr>
1024,1,,,,,,,,,,,{76002=1},{coin16=135},,<cn;tw;en;en_us;en_eu;kr>
1025,1,,,,,,,,,,,{76501=1},{coin16=15},,<cn;tw;en;en_us;en_eu;kr>
1029,1,,,,,,,,166,20250320,20241220,{75014=1},{coin16=50},,<cn;tw;en;en_us;en_eu;kr>
1030,2,,,,,,,,180,20250424,20250124,{71512=1},{coin16=135},,<cn;tw;en;en_us;en_eu;kr>
1031,1,,,,,,,,140,20250129,20241029,{75509=1},{coin16=25},,<cn;tw;en;en_us;en_eu;kr>
1032,1,,,,,,,,230,20260131,20251031,{74512=1},{coin16=20},,<cn;tw;en;en_us;en_eu;kr>
2001,2,,,,,,,,,,,{74006=1},{coin16=90},,<cn;tw;en;en_us;en_eu;kr>
2002,2,,,,,,,,,,,{76506=1},{coin16=65},,<cn;tw;en;en_us;en_eu;kr>
2003,2,,,,,,,,,,,{78001=1},{coin16=130},,<cn;tw;en;en_us;en_eu;kr>
2004,2,,,,,,,,,,,{78003=1},{coin16=75},,<cn;tw;en;en_us;en_eu;kr>
2005,2,,,,,,,,,,,{78004=1},{coin16=310},,<cn;tw;en;en_us;en_eu;kr>
2006,2,,,,,,,,,,,{78005=1},{coin16=45},,<cn;tw;en;en_us;en_eu;kr>
2007,2,,,,,,,,,,,{78009=1},{coin16=75},,<cn;tw;en;en_us;en_eu;kr>
2008,2,,,,,,,,,,,{78010=1},{coin16=90},,<cn;tw;en;en_us;en_eu;kr>
2012,2,,,,,,,,167,20250320,20241220,{74015=1},{coin16=175},,<cn;tw;en;en_us;en_eu;kr>
2013,2,,,,,,,,168,20250320,20241220,{78026=1},{rmb=180},,<cn;tw;en;en_us;en_eu;kr>
2014,2,,,,,,,,181,20250424,20250124,{72010=1},{coin16=195},,<cn;tw;en;en_us;en_eu;kr>
2015,2,,,,,,,,115,20230624,20230324,{76511=1},{coin16=295},,<cn>
2016,2,,,,,,,,141,20250129,20241029,{70513=1},{coin16=175},,<cn;tw;en;en_us;en_eu;kr>
2017,2,,,,,,,,142,20250129,20241029,{71509=1},{coin16=210},,<cn;tw;en;en_us;en_eu;kr>
2018,2,,,,,,,,186,20250424,20250124,{78027=1},{coin16=240},,<cn;tw;en;en_us;en_eu;kr>
2019,2,,,,,,,,201,20250831,20250531,{74016=1},{coin16=250},,<cn;tw;en;en_us;en_eu;kr>
2020,2,,,,,,,,202,20250831,20250531,{70006=1},{coin16=210},,<cn;tw;en;en_us;en_eu;kr>
2021,2,,,,,,,,203,20250831,20250531,{70514=1},{coin16=715},,<cn;tw;en;en_us;en_eu;kr>
2022,2,,,,,,,,231,20260131,20251031,{74012=1},{coin16=160},,<cn;tw;en;en_us;en_eu;kr>
2023,2,,,,,,,,232,20260131,20251031,{75012=1},{coin16=155},,<cn;tw;en;en_us;en_eu;kr>
2024,2,,,,,,,,174,20250320,20241220,{71513=1},{rmb=255},,<cn;tw;en;en_us;en_eu;kr>
2025,2,,,,,,,,175,20250320,20241220,{72012=1},{coin16=155},,<cn;tw;en;en_us;en_eu;kr>
3001,3,,,,,,,,,,,{70505=1},{coin16=195},,<cn;tw;en;en_us;en_eu;kr>
3002,3,,,,,,,,,,,{70507=1},{coin16=150},,<cn;tw;en;en_us;en_eu;kr>
3003,3,,,,,,,,,,,{71502=1},{coin16=150},,<cn;tw;en;en_us;en_eu;kr>
3004,3,,,,,,,,,,,{71504=1},{coin16=200},,<cn;tw;en;en_us;en_eu;kr>
3005,3,,,,,,,,,,,{72501=1},{coin16=130},,<cn;tw;en;en_us;en_eu;kr>
3006,3,,,,,,,,,,,{72502=1},{coin16=180},,<cn;tw;en;en_us;en_eu;kr>
3007,3,,,,,,,,,,,{74003=1},{coin16=180},,<cn;tw;en;en_us;en_eu;kr>
3008,3,,,,,,,,,,,{74005=1},{coin16=450},,<cn;tw;en;en_us;en_eu;kr>
3009,3,,,,,,,,,,,{74501=1},{coin16=280},,<cn;tw;en;en_us;en_eu;kr>
3010,3,,,,,,,,,,,{75002=1},{coin16=200},,<cn;tw;en;en_us;en_eu;kr>
3011,3,,,,,,,,,,,{75501=1},{coin16=180},,<cn;tw;en;en_us;en_eu;kr>
3012,3,,,,,,,,,,,{75507=1},{coin16=130},,<cn;tw;en;en_us;en_eu;kr>
3013,3,,,,,,,,,,,{76503=1},{coin16=200},,<cn;tw;en;en_us;en_eu;kr>
3014,3,,,,,,,,,,,{76504=1},{coin16=200},,<cn;tw;en;en_us;en_eu;kr>
3015,3,,,,,,,,,,,{78002=1},{coin16=180},,<cn;tw;en;en_us;en_eu;kr>
3016,3,,,,,,,,,,,{78007=1},{coin16=200},,<cn;tw;en;en_us;en_eu;kr>
3017,3,,,,,,,,,,,{78018=1},{coin16=260},,<cn;tw;en;en_us;en_eu;kr>
3018,3,,,,,,,,,,,{78019=1},{coin16=150},,<cn;tw;en;en_us;en_eu;kr>
3022,3,,,,,,,,169,20250320,20241220,{71005=1},{rmb=380},,<cn;tw;en;en_us;en_eu;kr>
3023,3,,,,,,,,182,20250424,20250124,{74516=1},{rmb=275},,<cn;tw;en;en_us;en_eu;kr>
3024,3,,,,,,,,116,20230624,20230324,{76512=1},{coin16=345},,<cn>
3025,3,,,,,,,,117,20230624,20230324,{74518=1},{rmb=240},,<cn>
3026,3,,,,,,,,225,20251129,20250829,{76513=1},{coin16=225},,<cn;tw>
3027,3,,,,,,,,226,20251129,20250829,{70004=1},{coin16=790},,<cn;tw>
3028,3,,,,,,,,143,20250129,20241029,{70005=1},{coin16=790},,<cn;tw;en;en_us;en_eu;kr>
3029,3,,,,,,,,204,20250831,20250531,{71006=1},{rmb=365},,<cn;tw;en;en_us;en_eu;kr>
3030,3,,,,,,,,205,20250831,20250531,{74519=1},{rmb=320},,<cn;tw;en;en_us;en_eu;kr>
3031,3,,,,,,,,233,20260131,20251031,{77059=1},{rmb=435},,<cn;tw;en;en_us;en_eu;kr>
3032,3,,,,,,,,190,20250424,20250124,{74520=1},{coin16=240},,<cn>
3033,3,,,,,,,,221,20251018,20250718,{77066=1},{coin16=520},,<cn;tw>
4001,4,,,,,,,,,,,{71501=1},{coin16=415},,<cn;tw;en;en_us;en_eu;kr>
4002,4,,,,,,,,,,,{72004=1},{coin16=580},,<cn;tw;en;en_us;en_eu;kr>
4003,4,,,,,,,,,,,{75504=1},{coin16=320},,<cn;tw;en;en_us;en_eu;kr>
4004,4,,,,,,,,,,,{76001=1},{coin16=415},,<cn;tw;en;en_us;en_eu;kr>
4005,4,,,,,,,,,,,{76505=1},{coin16=385},,<cn;tw;en;en_us;en_eu;kr>
4006,4,,,,,,,,,,,{78006=1},{coin16=500},,<cn;tw;en;en_us;en_eu;kr>
4007,4,,,,,,,,,,,{78012=1},{coin16=500},,<cn;tw;en;en_us;en_eu;kr>
4008,4,,,,,,,,,,,{78013=1},{coin16=510},,<cn;tw;en;en_us;en_eu;kr>
4011,4,,,,,,,,170,20250320,20241220,{78025=1},{rmb=375},,<cn;tw;en;en_us;en_eu;kr>
4012,4,,,,,,,,171,20250320,20241220,{77061=1},{coin16=625},,<cn;tw;en;en_us;en_eu;kr>
4013,4,,,,,,,,183,20250424,20250124,{75015=1},{rmb=460},,<cn;tw;en;en_us;en_eu;kr>
4014,4,,,,,,,,118,20230624,20230324,{70512=1},{rmb=460},,<cn>
4015,4,,,,,,,,227,20251129,20250829,{75016=1},{rmb=415},,<cn;tw>
4016,4,,,,,,,,228,20251129,20250829,{76010=1},{rmb=735},,<cn;tw>
4017,4,,,,,,,,144,20250129,20241029,{71508=1},{rmb=415},,<cn;tw;en;en_us;en_eu;kr>
4018,4,,,,,,,,145,20250129,20241029,{76008=1},{rmb=415},,<cn;tw;en;en_us;en_eu;kr>
4019,4,,,,,,,,187,20250424,20250124,{78028=1},{coin16=1230},,<cn;tw;en;en_us;en_eu;kr>
4020,4,,,,,,,,206,20250831,20250531,{75510=1},{rmb=385},,<cn;tw;en;en_us;en_eu;kr>
4021,4,,,,,,,,234,20260131,20251031,{70515=1},{rmb=500},,<cn;tw;en;en_us;en_eu;kr>
4022,4,,,,,,,,176,20250320,20241220,{75512=1},{coin16=640},,<cn;tw;en;en_us;en_eu;kr>
4023,4,,,,,,,,191,20250424,20250124,{74017=1},{rmb=580},,<cn>
4024,4,,,,,,,,222,20251018,20250718,{76012=1},{rmb=500},,<cn;tw>
5001,5,,,,,,,,,,,{70503=1},{coin16=480},,<cn;tw;en;en_us;en_eu;kr>
5002,5,,,,,,,,,,,{70506=1},{coin16=480},,<cn;tw;en;en_us;en_eu;kr>
5003,5,,,,,,,,,,,{72001=1},{coin16=490},,<cn;tw;en;en_us;en_eu;kr>
5004,5,,,,,,,,,,,{72503=1},{coin16=560},,<cn;tw;en;en_us;en_eu;kr>
5005,5,,,,,,,,,,,{74002=1},{coin16=750},,<cn;tw;en;en_us;en_eu;kr>
5006,5,,,,,,,,,,,{74004=1},{coin16=575},,<cn;tw;en;en_us;en_eu;kr>
5007,5,,,,,,,,,,,{76502=1},{coin16=670},,<cn;tw;en;en_us;en_eu;kr>
5008,5,,,,,,,,,,,{77050=1},{coin16=575},,<cn;tw;en;en_us;en_eu;kr>
5009,5,,,,,,,,,,,{77051=1},{coin16=875},,<cn;tw;en;en_us;en_eu;kr>
5010,5,,,,,,,,,,,{77052=1},{coin16=875},,<cn;tw;en;en_us;en_eu;kr>
5011,5,,,,,,,,,,,{77054=1},{coin16=430},,<cn;tw;en;en_us;en_eu;kr>
5012,5,,,,,,,,,,,{77055=1},{coin16=1075},,<cn;tw;en;en_us;en_eu;kr>
5013,5,,,,,,,,,,,{77056=1},{coin16=920},,<cn;tw;en;en_us;en_eu;kr>
5014,5,,,,,,,,,,,{78011=1},{coin16=690},,<cn;tw;en;en_us;en_eu;kr>
5015,5,,,,,,,,,,,{78015=1},{coin16=770},,<cn;tw;en;en_us;en_eu;kr>
5016,5,,,,,,,,,,,{78016=1},{coin16=1055},,<cn;tw;en;en_us;en_eu;kr>
5017,5,,,,,,,,,,,{78017=1},{coin16=1265},,<cn;tw;en;en_us;en_eu;kr>
5020,5,,,,,,,,172,20250320,20241220,{77063=1},{coin16=1900},,<cn;tw;en;en_us;en_eu;kr>
5021,5,,,,,,,,184,20250424,20250124,{74517=1},{rmb=520},,<cn;tw;en;en_us;en_eu;kr>
5022,5,,,,,,,,119,20230624,20230324,{77064=1},{rmb=715},,<cn>
5023,5,,,,,,,,229,20251129,20250829,{76011=1},{rmb=970},,<cn;tw>
5024,5,,,,,,,,146,20250129,20241029,{72507=1},{rmb=675},,<cn;tw;en;en_us;en_eu;kr>
5025,5,,,,,,,,147,20250129,20241029,{76514=1},{rmb=595},,<cn;tw;en;en_us;en_eu;kr>
5026,5,,,,,,,,188,20250424,20250124,{78029=1},{rmb=830},,<cn;tw;en;en_us;en_eu;kr>
5027,5,,,,,,,,207,20250831,20250531,{78031=1},{coin16=3040},,<cn;tw;en;en_us;en_eu;kr>
5028,5,,,,,,,,235,20260131,20251031,{75511=1},{rmb=505},,<cn;tw;en;en_us;en_eu;kr>
5029,5,,,,,,,,177,20250320,20241220,{72011=1},{rmb=560},,<cn;tw;en;en_us;en_eu;kr>
5030,5,,,,,,,,192,20250424,20250124,{76516=1},{rmb=580},,<cn>
5031,5,,,,,,,,223,20251018,20250718,{76013=1},{rmb=655},,<cn;tw>
6001,6,,,,,,,,,,,{70504=1},{coin16=1250},,<cn;tw;en;en_us;en_eu;kr>
6002,6,,,,,,,,,,,{71505=1},{coin16=1455},,<cn;tw;en;en_us;en_eu;kr>
6003,6,,,,,,,,,,,{72504=1},{coin16=1455},,<cn;tw;en;en_us;en_eu;kr>
6004,6,,,,,,,,,,,{74505=1},{coin16=1120},,<cn;tw;en;en_us;en_eu;kr>
6005,6,,,,,,,,,,,{75506=1},{coin16=960},,<cn;tw;en;en_us;en_eu;kr>
6006,6,,,,,,,,,,,{77053=1},{coin16=720},,<cn;tw;en;en_us;en_eu;kr>
6007,6,,,,,,,,,,,{78008=1},{coin16=800},,<cn;tw;en;en_us;en_eu;kr>
6008,6,,,,,,,,,,,{78014=1},{coin16=2110},,<cn;tw;en;en_us;en_eu;kr>
6011,6,,,,,,,,173,20250320,20241220,{77062=1},{rmb=925},,<cn;tw;en;en_us;en_eu;kr>
6012,6,,,,,,,,185,20250424,20250124,{76009=1},{rmb=670},,<cn;tw;en;en_us;en_eu;kr>
6013,6,,,,,,,,148,20250129,20241029,{76007=1},{rmb=1075},,<cn;tw;en;en_us;en_eu;kr>
6014,6,,,,,,,,189,20250424,20250124,{78030=1},{rmb=1480},,<cn;tw;en;en_us;en_eu;kr>
6015,6,,,,,,,,208,20250831,20250531,{78032=1},{rmb=1480},,<cn;tw;en;en_us;en_eu;kr>
6016,6,,,,,,,,178,20250320,20241220,{75017=1},{rmb=895},,<cn;tw;en;en_us;en_eu;kr>
6017,6,,,,,,,,179,20250320,20241220,{76515=1},{rmb=645},,<cn;tw;en;en_us;en_eu;kr>
6018,6,,,,,,,,193,20250424,20250124,{77065=1},{rmb=730},,<cn>
6019,6,,,,,,,,224,20251018,20250718,{72013=1},{rmb=560},,<cn;tw>
7001,1,,,,,,,,,,,{70508=1},{coin16=25},,<cn;tw;en;en_us;en_eu;kr>
