变量名,overSign,startSign,startPos,path
默认值,TRUE,FALSE,<>,<>
ID,结束标记,开始标记,起始位置<x;y>,路径数据<{lastPoint;info=<<x;y>>}>
1,,,<1530;874>,<{info=<<1530;874>;<1494;848>;<1480;822>;<1369;761>;<1638;619>;<1808;704>;<1958;633>;<2673;1004>;<2910;891>;<2924;903>;<2936;925>;<3070;1004>;<3173;976>;<3214;962>;<3262;955>;<3380;1036>;<3287;1093>;<3264;1124>>;lastPoint=6}>
2,,TRUE,<1229;1117>,<{info=<<1229;1117>;<1194;1138>;<900;994>;<1639;616>;<1815;706>;<1957;637>;<2674;1004>;<1825;1431>;<1874;1471>;<1724;1554>;<1825;1606>;<1841;1626>;<1900;1656>;<1916;1675>;<2012;1720>;<2031;1747>;<2107;1785>>;lastPoint=5}>
3,,TRUE,<1244;643>,<{info=<<1244;643>;<1395;740>;<1639;618>;<1809;706>;<1959;633>;<2089;702>;<1929;791>;<2029;854>;<2141;932>;<2235;964>;<2302;966>;<2374;939>;<2462;894>;<2675;1005>;<3489;596>;<3812;754>;<3836;746>;<3886;781>;<3825;813>>;lastPoint=9}>
4,,TRUE,<938;1179>,<{info=<<938;1179>;<739;1074>;<905;989>;<1798;1441>;<2687;1005>;<1960;634>;<1806;703>;<1652;620>;<2421;223>>;lastPoint=12}>
5,,TRUE,<2107;1785>,<{info=<<2107;1785>;<2033;1748>;<2017;1722>;<1918;1682>;<1903;1659>;<1849;1633>;<1828;1607>;<1727;1554>;<1889;1469>;<1822;1430>;<2673;1005>;<1960;634>;<1808;707>;<1650;614>;<2225;321>;<1918;156>;<1966;136>;<1942;122>>;lastPoint=13}>
6,,TRUE,<3264;1124>,<{info=<<3264;1124>;<3277;1108>;<3281;1094>;<3384;1044>;<3271;961>;<3206;971>;<3080;1019>;<2940;930>;<2932;906>;<2912;890>;<2679;1007>;<2535;932>;<2622;869>>;lastPoint=7}>
7,,,<2622;869>,<{info=<<2622;869>;<2531;928>;<2454;894>;<2325;958>;<2266;961>;<2227;967>;<2130;944>;<2009;857>;<1968;798>;<1986;760>;<2090;703>;<1960;638>;<1806;705>;<1644;620>;<742;1072>;<938;1179>>;lastPoint=4}>
8,,TRUE,<3334;744>,<{info=<<3334;744>;<3279;701>;<1799;1441>;<902;995>;<689;1102>;<574;1040>;<557;1033>;<667;965>;<598;918>;<738;829>;<1031;671>>;lastPoint=16}>
9,,TRUE,<3825;813>,<{info=<<3825;813>;<3890;776>;<3844;746>;<3813;750>;<3489;594>;<1800;1440>;<902;991>;<1366;760>;<1481;817>;<1493;849>;<1530;874>>;lastPoint=1}>
10,,TRUE,<3293;608>,<{info=<<3293;608>;<3365;655>;<2680;1007>;<2455;888>;<2330;952>;<2279;969>;<2202;960>;<2127;936>;<1989;825>;<1967;788>;<2020;742>;<2091;699>;<1963;634>;<1813;705>;<1647;620>;<904;991>;<1197;1135>;<1229;1117>>;lastPoint=2}>
11,,TRUE,<2155;221>,<{info=<<2155;221>;<2107;256>;<2226;320>;<902;995>;<1564;1319>;<1222;1509>>;lastPoint=17}>
12,,,<2421;223>,<{info=<<2421;223>;<1649;620>;<691;1098>;<511;1017>;<400;1072>;<511;1125>;<479;1141>;<460;1173>;<412;1216>;<440;1259>>;lastPoint=18}>
13,,TRUE,<1942;122>,<{info=<<1942;122>;<1965;138>;<1923;158>;<2226;327>;<1400;746>;<1244;643>>;lastPoint=3}>
14,,TRUE,<1844;1565>,<{info=<<1844;1565>;<1819;1605>;<1730;1558>;<1882;1469>;<1819;1432>;<1793;1443>;<900;997>;<1635;618>;<1809;705>;<1959;636>;<2674;1007>;<3271;703>;<3334;744>>;lastPoint=8}>
15,,TRUE,<2024;297>,<{info=<<2024;297>;<1974;266>;<2043;225>;<2221;323>;<1642;618>;<1806;707>;<1956;632>;<2673;1007>;<3364;657>;<3293;608>>;lastPoint=10}>
16,,TRUE,<1031;671>,<{info=<<1031;671>;<604;912>;<665;961>;<557;1033>;<687;1094>;<902;991>;<1799;1438>;<1823;1432>;<1886;1469>;<1728;1554>;<1799;1600>;<1825;1594>;<1844;1565>>;lastPoint=14}>
17,,,<1222;1509>,<{info=<<1222;1509>;<1552;1325>;<1793;1436>;<2164;1260>;<2680;1011>;<1959;636>;<1809;705>;<1647;622>;<2218;329>;<2044;223>;<1969;268>;<2024;297>>;lastPoint=15}>
18,,TRUE,<440;1259>,<{info=<<440;1259>;<397;1222>;<456;1181>;<476;1145>;<507;1127>;<400;1072>;<509;1015>;<689;1098>;<1671;612>;<2222;329>;<2105;256>;<2155;221>>;lastPoint=11}>
