变量名,energyExpend,efficient,item,inventory,slotCapacityAdd,slotTimeAdd,showRes,orderCostTime,slotStockAdd,baseID,unlockSeat,level,orderCostItem
默认值,999,0,"""""",0,0,"""""","""""",99999,0,0,3,0,{}
ID,能量消耗,效率,产出物品ID,库存上限,槽位容量加成,槽位时间加成,显示资源,订单消耗时间(秒),槽位库存加成,基础ID,解锁座位数,等级,订单消耗物品{ID=数量}
301,20,60,8203,900,1.2,,city/town/basebuilding/img_lj.png,,18,3,0,1,
302,20,100,8203,1500,2,,city/town/basebuilding/img_lj.png,,30,3,1,2,
303,21,140,8203,2000,2.8,,city/town/basebuilding/img_lj.png,,40,3,1,3,
304,21,180,8203,2600,3.6,,city/town/basebuilding/img_lj.png,,52,3,1,4,
305,22,220,8203,3100,4.4,,city/town/basebuilding/img_lj.png,,62,3,1,5,
306,22,260,8203,3600,5.2,,city/town/basebuilding/img_lj.png,,72,3,2,6,
307,23,340,8203,4700,6.8,,city/town/basebuilding/img_lj.png,,94,3,2,7,
308,23,420,8203,5700,8.4,,city/town/basebuilding/img_lj.png,,114,3,2,8,
309,24,500,8203,6700,10,,city/town/basebuilding/img_lj.png,,134,3,2,9,
310,24,580,8203,7700,11.6,,city/town/basebuilding/img_lj.png,,154,3,,10,
311,25,660,8203,8600,13.2,,city/town/basebuilding/img_lj.png,,172,3,,11,
312,25,820,8203,10500,16.4,,city/town/basebuilding/img_lj.png,,210,3,,12,
313,26,980,8203,12300,19.6,,city/town/basebuilding/img_lj.png,,246,3,,13,
314,26,1140,8203,14100,22.8,,city/town/basebuilding/img_lj.png,,282,3,,14,
315,27,1300,8203,15900,26,,city/town/basebuilding/img_lj.png,,318,3,,15,
316,27,1460,8203,17500,29.2,,city/town/basebuilding/img_lj.png,,350,3,,16,
317,28,1780,8203,21000,35.6,,city/town/basebuilding/img_lj.png,,420,3,,17,
318,28,2100,8203,24400,42,,city/town/basebuilding/img_lj.png,,488,3,,18,
319,29,2420,8203,27600,48.4,,city/town/basebuilding/img_lj.png,,552,3,,19,
320,29,2740,8203,30700,54.8,,city/town/basebuilding/img_lj.png,,614,3,,20,
401,20,60,8202,900,1.2,,city/town/basebuilding/img_td.png,,18,4,0,1,
402,20,100,8202,1500,2,,city/town/basebuilding/img_td.png,,30,4,1,2,
403,21,140,8202,2000,2.8,,city/town/basebuilding/img_td.png,,40,4,1,3,
404,21,180,8202,2600,3.6,,city/town/basebuilding/img_td.png,,52,4,1,4,
405,22,220,8202,3100,4.4,,city/town/basebuilding/img_td.png,,62,4,1,5,
406,22,260,8202,3600,5.2,,city/town/basebuilding/img_td.png,,72,4,2,6,
407,23,340,8202,4700,6.8,,city/town/basebuilding/img_td.png,,94,4,2,7,
408,23,420,8202,5700,8.4,,city/town/basebuilding/img_td.png,,114,4,2,8,
409,24,500,8202,6700,10,,city/town/basebuilding/img_td.png,,134,4,2,9,
410,24,580,8202,7700,11.6,,city/town/basebuilding/img_td.png,,154,4,,10,
411,25,660,8202,8600,13.2,,city/town/basebuilding/img_td.png,,172,4,,11,
412,25,820,8202,10500,16.4,,city/town/basebuilding/img_td.png,,210,4,,12,
413,26,980,8202,12300,19.6,,city/town/basebuilding/img_td.png,,246,4,,13,
414,26,1140,8202,14100,22.8,,city/town/basebuilding/img_td.png,,282,4,,14,
415,27,1300,8202,15900,26,,city/town/basebuilding/img_td.png,,318,4,,15,
416,27,1460,8202,17500,29.2,,city/town/basebuilding/img_td.png,,350,4,,16,
417,28,1780,8202,21000,35.6,,city/town/basebuilding/img_td.png,,420,4,,17,
418,28,2100,8202,24400,42,,city/town/basebuilding/img_td.png,,488,4,,18,
419,29,2420,8202,27600,48.4,,city/town/basebuilding/img_td.png,,552,4,,19,
420,29,2740,8202,30700,54.8,,city/town/basebuilding/img_td.png,,614,4,,20,
501,30,150,8201,2300,4,,city/town/basebuilding/img_td.png,,60,5,0,1,
502,31,160,8201,2400,4.8,,city/town/basebuilding/img_td.png,,72,5,1,2,
503,32,170,8201,2500,5.6,,city/town/basebuilding/img_td.png,,82,5,1,3,
504,33,180,8201,2600,6.4,,city/town/basebuilding/img_td.png,,92,5,1,4,
505,34,190,8201,2700,7.2,,city/town/basebuilding/img_td.png,,102,5,1,5,
506,35,200,8201,2800,8,,city/town/basebuilding/img_td.png,,112,5,2,6,
507,36,210,8201,2900,8.8,,city/town/basebuilding/img_td.png,,122,5,2,7,
508,37,220,8201,3000,9.6,,city/town/basebuilding/img_td.png,,130,5,2,8,
509,38,230,8201,3100,10.4,,city/town/basebuilding/img_td.png,,140,5,2,9,
510,39,240,8201,3200,11.2,,city/town/basebuilding/img_td.png,,148,5,,10,
511,40,250,8201,3300,12,,city/town/basebuilding/img_td.png,,156,5,,11,
512,41,260,8201,3300,12.8,,city/town/basebuilding/img_td.png,,164,5,,12,
513,42,270,8201,3400,13.6,,city/town/basebuilding/img_td.png,,172,5,,13,
514,43,280,8201,3500,14.4,,city/town/basebuilding/img_td.png,,178,5,,14,
515,44,290,8201,3500,15.2,,city/town/basebuilding/img_td.png,,186,5,,15,
516,45,300,8201,3600,16,,city/town/basebuilding/img_td.png,,192,5,,16,
517,46,310,8201,3700,16.8,,city/town/basebuilding/img_td.png,,198,5,,17,
518,47,320,8201,3700,17.6,,city/town/basebuilding/img_td.png,,204,5,,18,
519,48,330,8201,3800,18.4,,city/town/basebuilding/img_td.png,,210,5,,19,
520,49,340,8201,3800,19.2,,city/town/basebuilding/img_td.png,,216,5,,20,
601,30,20,coin16,300,,2%,city/town/basebuilding/img_yh.png,180,,6,0,1,{8202=60;8203=60}
602,31,21.18,coin16,310,,2%,city/town/basebuilding/img_yh.png,170,,6,1,2,{8202=65;8203=65}
603,32,22.5,coin16,330,,2%,city/town/basebuilding/img_yh.png,160,,6,1,3,{8202=70;8203=70}
604,33,24,coin16,350,,2%,city/town/basebuilding/img_yh.png,150,,6,1,4,{8202=75;8203=75}
605,34,25.71,coin16,370,,2%,city/town/basebuilding/img_yh.png,140,,6,1,5,{8202=80;8203=80}
606,35,27.69,coin16,390,,2%,city/town/basebuilding/img_yh.png,130,,6,2,6,{8202=85;8203=85}
607,36,28.8,coin16,400,,2%,city/town/basebuilding/img_yh.png,125,,6,2,7,{8202=90;8203=90}
608,37,30,coin16,410,,2%,city/town/basebuilding/img_yh.png,120,,6,2,8,{8202=95;8203=95}
609,38,31.3,coin16,420,,2%,city/town/basebuilding/img_yh.png,115,,6,2,9,{8202=100;8203=100}
610,39,32.73,coin16,430,,2%,city/town/basebuilding/img_yh.png,110,,6,,10,{8202=105;8203=105}
611,40,34.29,coin16,450,,2%,city/town/basebuilding/img_yh.png,105,,6,,11,{8202=110;8203=110}
612,41,36,coin16,460,,2%,city/town/basebuilding/img_yh.png,100,,6,,12,{8202=115;8203=115}
613,42,37.89,coin16,480,,2%,city/town/basebuilding/img_yh.png,95,,6,,13,{8202=120;8203=120}
614,43,40,coin16,500,,2%,city/town/basebuilding/img_yh.png,90,,6,,14,{8202=125;8203=125}
615,44,42.35,coin16,520,,2%,city/town/basebuilding/img_yh.png,85,,6,,15,{8202=130;8203=130}
616,45,45,coin16,540,,2%,city/town/basebuilding/img_yh.png,80,,6,,16,{8202=135;8203=135}
617,46,48,coin16,570,,2%,city/town/basebuilding/img_yh.png,75,,6,,17,{8202=140;8203=140}
618,47,51.43,coin16,600,,2%,city/town/basebuilding/img_yh.png,70,,6,,18,{8202=145;8203=145}
619,48,55.38,coin16,630,,2%,city/town/basebuilding/img_yh.png,65,,6,,19,{8202=150;8203=150}
620,49,60,coin16,670,,2%,city/town/basebuilding/img_yh.png,60,,6,,20,{8202=155;8203=155}
801,20,60,8203,900,1.2,,city/town/basebuilding/img_lj.png,,18,8,0,1,
802,20,100,8203,1500,2,,city/town/basebuilding/img_lj.png,,30,8,1,2,
803,21,140,8203,2000,2.8,,city/town/basebuilding/img_lj.png,,40,8,1,3,
804,21,180,8203,2600,3.6,,city/town/basebuilding/img_lj.png,,52,8,1,4,
805,22,220,8203,3100,4.4,,city/town/basebuilding/img_lj.png,,62,8,1,5,
806,22,260,8203,3600,5.2,,city/town/basebuilding/img_lj.png,,72,8,2,6,
807,23,340,8203,4700,6.8,,city/town/basebuilding/img_lj.png,,94,8,2,7,
808,23,420,8203,5700,8.4,,city/town/basebuilding/img_lj.png,,114,8,2,8,
809,24,500,8203,6700,10,,city/town/basebuilding/img_lj.png,,134,8,2,9,
810,24,580,8203,7700,11.6,,city/town/basebuilding/img_lj.png,,154,8,,10,
811,25,660,8203,8600,13.2,,city/town/basebuilding/img_lj.png,,172,8,,11,
812,25,820,8203,10500,16.4,,city/town/basebuilding/img_lj.png,,210,8,,12,
813,26,980,8203,12300,19.6,,city/town/basebuilding/img_lj.png,,246,8,,13,
814,26,1140,8203,14100,22.8,,city/town/basebuilding/img_lj.png,,282,8,,14,
815,27,1300,8203,15900,26,,city/town/basebuilding/img_lj.png,,318,8,,15,
816,27,1460,8203,17500,29.2,,city/town/basebuilding/img_lj.png,,350,8,,16,
817,28,1780,8203,21000,35.6,,city/town/basebuilding/img_lj.png,,420,8,,17,
818,28,2100,8203,24400,42,,city/town/basebuilding/img_lj.png,,488,8,,18,
819,29,2420,8203,27600,48.4,,city/town/basebuilding/img_lj.png,,552,8,,19,
820,29,2740,8203,30700,54.8,,city/town/basebuilding/img_lj.png,,614,8,,20,
901,20,60,8202,900,1.2,,city/town/basebuilding/img_td.png,,18,9,0,1,
902,20,100,8202,1500,2,,city/town/basebuilding/img_td.png,,30,9,1,2,
903,21,140,8202,2000,2.8,,city/town/basebuilding/img_td.png,,40,9,1,3,
