变量名,param,effectiveTimes,type,desc,lotteryType,duration,weight,relicLevelLimit,award
默认值,0,0,0,"""""",0,0,0,{},{}
ID,参数,生效次数,Buff类型,描述,抽奖类型,持续时间,权重,遗迹等级限制{等级=<min;max>},奖励
91,,,,,10,,100,,
101,0.2,1,1,#C0xF76B45#冒险-日常副本-金币副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,100,{14=<1;51>},
102,0.2,1,1,#C0xF76B45#冒险-日常副本-金币副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,95,{14=<5;51>},
103,0.25,1,1,#C0xF76B45#冒险-日常副本-金币副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,90,{14=<10;51>},
104,0.25,1,1,#C0xF76B45#冒险-日常副本-金币副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,85,{14=<15;51>},
105,0.3,1,1,#C0xF76B45#冒险-日常副本-金币副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,80,{14=<20;51>},
106,0.35,1,1,#C0xF76B45#冒险-日常副本-金币副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,75,{14=<25;51>},
107,0.4,1,1,#C0xF76B45#冒险-日常副本-金币副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,70,{14=<30;51>},
108,0.45,1,1,#C0xF76B45#冒险-日常副本-金币副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,65,{14=<35;51>},
109,0.5,1,1,#C0xF76B45#冒险-日常副本-金币副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,60,{14=<40;51>},
201,0.2,1,2,#C0xF76B45#冒险-日常副本-经验副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,100,{15=<1;51>},
202,0.2,1,2,#C0xF76B45#冒险-日常副本-经验副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,95,{15=<5;51>},
203,0.25,1,2,#C0xF76B45#冒险-日常副本-经验副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,90,{15=<10;51>},
204,0.25,1,2,#C0xF76B45#冒险-日常副本-经验副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,85,{15=<15;51>},
205,0.3,1,2,#C0xF76B45#冒险-日常副本-经验副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,80,{15=<20;51>},
206,0.35,1,2,#C0xF76B45#冒险-日常副本-经验副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,75,{15=<25;51>},
207,0.4,1,2,#C0xF76B45#冒险-日常副本-经验副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,70,{15=<30;51>},
208,0.45,1,2,#C0xF76B45#冒险-日常副本-经验副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,65,{15=<35;51>},
209,0.5,1,2,#C0xF76B45#冒险-日常副本-经验副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,60,{15=<40;51>},
301,0.2,1,3,#C0xF76B45#冒险-日常副本-礼物副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,100,{16=<1;51>},
302,0.2,1,3,#C0xF76B45#冒险-日常副本-礼物副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,95,{16=<5;51>},
303,0.25,1,3,#C0xF76B45#冒险-日常副本-礼物副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,90,{16=<10;51>},
304,0.25,1,3,#C0xF76B45#冒险-日常副本-礼物副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,85,{16=<15;51>},
305,0.3,1,3,#C0xF76B45#冒险-日常副本-礼物副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,80,{16=<20;51>},
306,0.35,1,3,#C0xF76B45#冒险-日常副本-礼物副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,75,{16=<25;51>},
307,0.4,1,3,#C0xF76B45#冒险-日常副本-礼物副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,70,{16=<30;51>},
308,0.45,1,3,#C0xF76B45#冒险-日常副本-礼物副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,65,{16=<35;51>},
309,0.5,1,3,#C0xF76B45#冒险-日常副本-礼物副本#C0x5B545B#中，任一难度副本产出增加%s，持续%d次,11,,60,{16=<40;51>},
401,0.2,1,4,#C0xF76B45#冒险-日常副本-碎片副本#C0x5B545B#中，任一难度副本道具产出增加%s，且%s的概率再获得1个碎片，持续%d次,11,,100,{17=<1;51>},
402,0.2,1,4,#C0xF76B45#冒险-日常副本-碎片副本#C0x5B545B#中，任一难度副本道具产出增加%s，且%s的概率再获得1个碎片，持续%d次,11,,95,{17=<5;51>},
403,0.25,1,4,#C0xF76B45#冒险-日常副本-碎片副本#C0x5B545B#中，任一难度副本道具产出增加%s，且%s的概率再获得1个碎片，持续%d次,11,,90,{17=<10;51>},
404,0.25,1,4,#C0xF76B45#冒险-日常副本-碎片副本#C0x5B545B#中，任一难度副本道具产出增加%s，且%s的概率再获得1个碎片，持续%d次,11,,85,{17=<15;51>},
405,0.3,1,4,#C0xF76B45#冒险-日常副本-碎片副本#C0x5B545B#中，任一难度副本道具产出增加%s，且%s的概率再获得1个碎片，持续%d次,11,,80,{17=<20;51>},
406,0.35,1,4,#C0xF76B45#冒险-日常副本-碎片副本#C0x5B545B#中，任一难度副本道具产出增加%s，且%s的概率再获得1个碎片，持续%d次,11,,75,{17=<25;51>},
407,0.4,1,4,#C0xF76B45#冒险-日常副本-碎片副本#C0x5B545B#中，任一难度副本道具产出增加%s，且%s的概率再获得1个碎片，持续%d次,11,,70,{17=<30;51>},
408,0.45,1,4,#C0xF76B45#冒险-日常副本-碎片副本#C0x5B545B#中，任一难度副本道具产出增加%s，且%s的概率再获得1个碎片，持续%d次,11,,65,{17=<35;51>},
409,0.5,1,4,#C0xF76B45#冒险-日常副本-碎片副本#C0x5B545B#中，任一难度副本道具产出增加%s，且%s的概率再获得1个碎片，持续%d次,11,,60,{17=<40;51>},
501,0.05,,5,#C0xF76B45#冒险-冒险之路#C0x5B545B#中，24小时以内，扫荡时概率获得的道具再增加%s的获得概率,12,24,100,{14=<10;51>},
502,0.075,,5,#C0xF76B45#冒险-冒险之路#C0x5B545B#中，24小时以内，扫荡时概率获得的道具再增加%s的获得概率,12,24,80,{14=<20;51>},
503,0.1,,5,#C0xF76B45#冒险-冒险之路#C0x5B545B#中，24小时以内，扫荡时概率获得的道具再增加%s的获得概率,12,24,60,{14=<30;51>},
504,0.125,,5,#C0xF76B45#冒险-冒险之路#C0x5B545B#中，24小时以内，扫荡时概率获得的道具再增加%s的获得概率,12,24,40,{14=<40;51>},
505,,,,,12,,1,,
601,1,1,6,#C0xF76B45#冒险-派遣#C0x5B545B#中，对获得该祝福后进行的派遣任务获得奖励翻倍，持续%d次,12,,100,{15=<10;51>},
602,1,2,6,#C0xF76B45#冒险-派遣#C0x5B545B#中，对获得该祝福后进行的派遣任务获得奖励翻倍，持续%d次,12,,80,{15=<20;51>},
