变量名,relicID,resScale,level,award,attrMap
默认值,0,1.5,0,{},{}
ID,遗迹ID,资源缩放,等级,奖励{物品=数量},属性{属性ID=值}
1,14,,1,{930=20;5000=20;gold=100000},{1=300;9=30;10=20;17=0;19=0}
2,14,,2,{930=20;5000=20;gold=120000},{1=612;9=61;10=41;17=10;19=10}
3,14,,3,{930=20;5000=20;gold=140000},{1=936;9=94;10=62;17=10;19=10}
4,14,,4,{930=22;5000=22;gold=160000},{1=1272;9=127;10=85;17=20;19=20}
5,14,,5,{930=22;5000=22;gold=180000},{1=1620;9=162;10=108;17=20;19=20}
6,14,,6,{930=22;5000=22;gold=200000},{1=1980;9=198;10=132;17=20;19=20}
7,14,,7,{930=24;5000=24;gold=220000},{1=2352;9=235;10=157;17=30;19=30}
8,14,,8,{930=24;5000=24;gold=240000},{1=2736;9=274;10=182;17=30;19=30}
9,14,,9,{930=24;5000=24;gold=260000},{1=3132;9=313;10=209;17=30;19=30}
10,14,,10,{930=26;5000=26;gold=280000},{1=3540;9=354;10=236;17=40;19=40}
11,14,,11,{930=26;5000=26;gold=300000},{1=3960;9=396;10=264;17=40;19=40}
12,14,,12,{930=26;5000=26;gold=320000},{1=4392;9=439;10=293;17=40;19=40}
13,14,,13,{930=28;5000=28;gold=340000},{1=4836;9=484;10=322;17=50;19=50}
14,14,,14,{930=28;5000=28;gold=360000},{1=5292;9=529;10=353;17=50;19=50}
15,14,,15,{930=28;5000=28;gold=380000},{1=5760;9=576;10=384;17=50;19=50}
16,14,,16,{930=30;5000=30;gold=400000},{1=6240;9=624;10=416;17=60;19=60}
17,14,,17,{930=30;5000=30;gold=420000},{1=6732;9=673;10=449;17=60;19=60}
18,14,,18,{930=30;5000=30;gold=440000},{1=7236;9=724;10=482;17=60;19=60}
19,14,,19,{930=32;5000=32;gold=460000},{1=7752;9=775;10=517;17=70;19=70}
20,14,,20,{930=32;5000=32;gold=480000},{1=8280;9=828;10=552;17=70;19=70}
21,14,,21,{930=32;5000=32;gold=500000},{1=8820;9=882;10=588;17=70;19=70}
22,14,,22,{930=34;5000=34;gold=520000},{1=9372;9=937;10=625;17=80;19=80}
23,14,,23,{930=34;5000=34;gold=540000},{1=9936;9=994;10=662;17=80;19=80}
24,14,,24,{930=34;5000=34;gold=560000},{1=10512;9=1051;10=701;17=80;19=80}
25,14,,25,{930=36;5000=36;gold=580000},{1=11100;9=1110;10=740;17=90;19=90}
26,14,,26,{930=36;5000=36;gold=600000},{1=11700;9=1170;10=780;17=90;19=90}
27,14,,27,{930=36;5000=36;gold=620000},{1=12312;9=1231;10=821;17=90;19=90}
28,14,,28,{930=38;5000=38;gold=640000},{1=12936;9=1294;10=862;17=100;19=100}
29,14,,29,{930=38;5000=38;gold=660000},{1=13572;9=1357;10=905;17=100;19=100}
30,14,,30,{930=38;5000=38;gold=680000},{1=14220;9=1422;10=948;17=100;19=100}
31,14,,31,{930=40;5000=40;gold=700000},{1=14880;9=1488;10=992;17=110;19=110}
32,14,,32,{930=40;5000=40;gold=720000},{1=15552;9=1555;10=1037;17=110;19=110}
33,14,,33,{930=40;5000=40;gold=740000},{1=16236;9=1624;10=1082;17=110;19=110}
34,14,,34,{930=42;5000=42;gold=760000},{1=16932;9=1693;10=1129;17=120;19=120}
35,14,,35,{930=42;5000=42;gold=780000},{1=17640;9=1764;10=1176;17=120;19=120}
36,14,,36,{930=42;5000=42;gold=800000},{1=18360;9=1836;10=1224;17=120;19=120}
37,14,,37,{930=44;5000=44;gold=820000},{1=19092;9=1909;10=1273;17=130;19=130}
38,14,,38,{930=44;5000=44;gold=840000},{1=19836;9=1984;10=1322;17=130;19=130}
39,14,,39,{930=44;5000=44;gold=860000},{1=20592;9=2059;10=1373;17=130;19=130}
40,14,,40,{930=46;5000=46;gold=880000},{1=21360;9=2136;10=1424;17=140;19=140}
41,14,,41,{930=46;5000=46;gold=900000},{1=22140;9=2214;10=1476;17=140;19=140}
42,14,,42,{930=46;5000=46;gold=920000},{1=22932;9=2293;10=1529;17=140;19=140}
43,14,,43,{930=48;5000=48;gold=940000},{1=23736;9=2374;10=1582;17=150;19=150}
44,14,,44,{930=48;5000=48;gold=960000},{1=24552;9=2455;10=1637;17=150;19=150}
45,14,,45,{930=48;5000=48;gold=980000},{1=25380;9=2538;10=1692;17=150;19=150}
46,14,,46,{930=50;5000=50;gold=1000000},{1=26220;9=2622;10=1748;17=160;19=160}
47,14,,47,{930=50;5000=50;gold=1020000},{1=27072;9=2707;10=1805;17=160;19=160}
48,14,,48,{930=50;5000=50;gold=1040000},{1=27936;9=2794;10=1862;17=160;19=160}
49,14,,49,{930=52;5000=52;gold=1060000},{1=28812;9=2881;10=1921;17=170;19=170}
50,14,,50,{930=52;5000=52;gold=1080000},{1=29700;9=2970;10=1980;17=170;19=170}
1001,15,,1,{930=20;5000=20;gold=100000},{1=300;7=90;8=90;24=0;25=0}
1002,15,,2,{930=20;5000=20;gold=120000},{1=612;7=184;8=184;24=10;25=10}
1003,15,,3,{930=20;5000=20;gold=140000},{1=936;7=281;8=281;24=10;25=10}
1004,15,,4,{930=22;5000=22;gold=160000},{1=1272;7=382;8=382;24=20;25=20}
1005,15,,5,{930=22;5000=22;gold=180000},{1=1620;7=486;8=486;24=20;25=20}
1006,15,,6,{930=22;5000=22;gold=200000},{1=1980;7=594;8=594;24=20;25=20}
1007,15,,7,{930=24;5000=24;gold=220000},{1=2352;7=706;8=706;24=30;25=30}
1008,15,,8,{930=24;5000=24;gold=240000},{1=2736;7=821;8=821;24=30;25=30}
1009,15,,9,{930=24;5000=24;gold=260000},{1=3132;7=940;8=940;24=30;25=30}
1010,15,,10,{930=26;5000=26;gold=280000},{1=3540;7=1062;8=1062;24=40;25=40}
1011,15,,11,{930=26;5000=26;gold=300000},{1=3960;7=1188;8=1188;24=40;25=40}
1012,15,,12,{930=26;5000=26;gold=320000},{1=4392;7=1318;8=1318;24=40;25=40}
1013,15,,13,{930=28;5000=28;gold=340000},{1=4836;7=1451;8=1451;24=50;25=50}
1014,15,,14,{930=28;5000=28;gold=360000},{1=5292;7=1588;8=1588;24=50;25=50}
1015,15,,15,{930=28;5000=28;gold=380000},{1=5760;7=1728;8=1728;24=50;25=50}
1016,15,,16,{930=30;5000=30;gold=400000},{1=6240;7=1872;8=1872;24=60;25=60}
1017,15,,17,{930=30;5000=30;gold=420000},{1=6732;7=2020;8=2020;24=60;25=60}
1018,15,,18,{930=30;5000=30;gold=440000},{1=7236;7=2171;8=2171;24=60;25=60}
1019,15,,19,{930=32;5000=32;gold=460000},{1=7752;7=2326;8=2326;24=70;25=70}
1020,15,,20,{930=32;5000=32;gold=480000},{1=8280;7=2484;8=2484;24=70;25=70}
1021,15,,21,{930=32;5000=32;gold=500000},{1=8820;7=2646;8=2646;24=70;25=70}
1022,15,,22,{930=34;5000=34;gold=520000},{1=9372;7=2812;8=2812;24=80;25=80}
1023,15,,23,{930=34;5000=34;gold=540000},{1=9936;7=2981;8=2981;24=80;25=80}
1024,15,,24,{930=34;5000=34;gold=560000},{1=10512;7=3154;8=3154;24=80;25=80}
1025,15,,25,{930=36;5000=36;gold=580000},{1=11100;7=3330;8=3330;24=90;25=90}
1026,15,,26,{930=36;5000=36;gold=600000},{1=11700;7=3510;8=3510;24=90;25=90}
1027,15,,27,{930=36;5000=36;gold=620000},{1=12312;7=3694;8=3694;24=90;25=90}
1028,15,,28,{930=38;5000=38;gold=640000},{1=12936;7=3881;8=3881;24=100;25=100}
1029,15,,29,{930=38;5000=38;gold=660000},{1=13572;7=4072;8=4072;24=100;25=100}
1030,15,,30,{930=38;5000=38;gold=680000},{1=14220;7=4266;8=4266;24=100;25=100}
