变量名,type,skill,effect2,name,icon,needStar,desc,needAdvance,effect1,level,params1,params2,cost
默认值,0,0,0,"""""","""""",0,"""""",0,0,0,<>,<>,{}
ID,技能类型,技能编号,效果2,技能名称,图标路径,所需星级,技能描述,所需突破等级,效果1,等级,参数1<值>,参数2<值>,升级消耗{货币=数量}
1,,,,,,,,,,,,,
2,7,11,,精力充沛,config/town_skill/icon_hpjd.png,,未知探险中生效，使探险的精灵精力消耗-2点,15,9,1,<2>,,
3,7,11,,精力充沛,config/town_skill/icon_hpjd.png,,未知探险中生效，使探险的精灵精力消耗-3点,,9,2,<3>,,{8203=60;gold=50000}
4,7,11,8,精力充沛,config/town_skill/icon_hpjd.png,,未知探险中生效，使探险的精灵精力消耗-4点，且甜点消耗减少2,,9,3,<4>,<2>,{8203=126;gold=100000}
5,7,11,8,精力充沛,config/town_skill/icon_hpjd.png,,未知探险中生效，使探险的精灵精力消耗-5点，且甜点消耗减少3,,9,4,<5>,<3>,{8203=159;gold=150000}
6,7,12,,省吃俭用,config/town_skill/icon_txq1.png,,未知探险中生效，本次行动甜点消耗减少2,15,8,1,<2>,,
7,7,12,,省吃俭用,config/town_skill/icon_txq1.png,,未知探险中生效，本次行动甜点消耗减少3,,8,2,<3>,,{8203=60;gold=50000}
8,7,12,,省吃俭用,config/town_skill/icon_txq.png,,"未知探险中生效，本次行动甜点消耗减少3,若在名胜区探险时，甜点消耗减少4个",,8,3,<3;3;4>,,{8203=126;gold=100000}
9,7,12,,省吃俭用,config/town_skill/icon_txq.png,,"未知探险中生效，本次行动甜点消耗减少4,若在名胜区探险时，甜点消耗减少5个",,8,4,<3;3;5>,,{8203=159;gold=150000}
10,7,13,,宝藏多多,config/town_skill/icon_jl.png,5,未知探险中生效，本次普通掉落数量+30%,8,6,1,<30%>,,
11,7,13,,宝藏多多,config/town_skill/icon_jl.png,6,未知探险中生效，本次普通掉落数量+50%,9,6,2,<50%>,,
12,7,13,,宝藏多多,config/town_skill/icon_jl.png,8,未知探险中生效，区域探索度等级未达到5级时，普通掉落数量+50%，达到后，普通掉落数量+80%,10,6,3,<50%;10;80%>,,
13,7,13,7,宝藏多多,config/town_skill/icon_jl.png,10,未知探险中生效，区域探索度等级未达到5级时，普通掉落数量+50%，达到后，普通掉落数量+80%；探索时间缩短15%（时间效果不叠加，取1个最优生效）,11,6,4,<50%;10;80%>,<15%>,
14,7,13,7,宝藏多多,config/town_skill/icon_jl.png,12,未知探险中生效，区域探索度等级未达到5级时，普通掉落数量+50%，达到后，普通掉落数量+100%；探索时间缩短20%（时间效果不叠加，取1个最优生效）,12,6,5,<50%;8;100%>,<20%>,
15,7,14,,加速发掘,config/town_skill/icon_jl.png,5,未知探险中生效，探索时间缩短10%（时间效果不叠加，取1个最优生效）,8,7,1,<10%>,,
16,7,14,,加速发掘,config/town_skill/icon_jl.png,6,未知探险中生效，探索时间缩短15%（时间效果不叠加，取1个最优生效）,9,7,2,<15%>,,
17,7,14,,加速发掘,config/town_skill/icon_jl.png,8,未知探险中生效，探索时间缩短20%（时间效果不叠加，取1个最优生效）,10,7,3,<20%>,,
18,7,14,,加速发掘,config/town_skill/icon_jl.png,10,未知探险中生效，探索时间缩短25%（时间效果不叠加，取1个最优生效）,11,7,4,<25%>,,
19,7,14,,加速发掘,config/town_skill/icon_jl.png,12,未知探险中生效，探索时间缩短35%（时间效果不叠加，取1个最优生效）,12,7,5,<35%>,,
10011,3,1001,,初级炼金效率,config/town_skill/icon_ylc.png,5,在炼金厂中生效，使得生产速度增加5/小时,6,1,1,<5>,,
10012,3,1001,,初级炼金效率,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得生产速度增加10/小时,9,1,2,<10>,,
10013,3,1001,,初级炼金效率,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得生产速度增加15/小时,12,1,3,<15>,,
10014,3,1001,,初级炼金效率,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得生产速度增加20/小时,15,1,4,<20>,,
10015,3,1001,,初级炼金效率,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得生产速度增加25/小时,18,1,5,<25>,,
10021,3,1002,,中级炼金效率,config/town_skill/icon_ylc.png,5,在炼金厂中生效，使得生产速度增加10/小时,6,1,1,<10>,,
10022,3,1002,,中级炼金效率,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得生产速度增加20/小时,9,1,2,<20>,,
10023,3,1002,,中级炼金效率,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得生产速度增加30/小时,12,1,3,<30>,,
10024,3,1002,,中级炼金效率,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得生产速度增加40/小时,15,1,4,<40>,,
10025,3,1002,,中级炼金效率,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得生产速度增加50/小时,18,1,5,<50>,,
10031,3,1003,,高级炼金效率,config/town_skill/icon_ylc.png,4,在炼金厂中生效，使得生产速度增加15/小时,6,1,1,<15>,,
10032,3,1003,,高级炼金效率,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得生产速度增加30/小时,9,1,2,<30>,,
10033,3,1003,,高级炼金效率,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得生产速度增加45/小时,12,1,3,<45>,,
10034,3,1003,,高级炼金效率,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得生产速度增加60/小时,15,1,4,<60>,,
10035,3,1003,,高级炼金效率,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得生产速度增加75/小时,18,1,5,<75>,,
10111,4,1011,,初级伐木效率,config/town_skill/icon_fmc.png,5,在伐木场中生效，使得生产速度增加5/小时,6,1,1,<5>,,
10112,4,1011,,初级伐木效率,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得生产速度增加10/小时,9,1,2,<10>,,
10113,4,1011,,初级伐木效率,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得生产速度增加15/小时,12,1,3,<15>,,
10114,4,1011,,初级伐木效率,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得生产速度增加20/小时,15,1,4,<20>,,
10115,4,1011,,初级伐木效率,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得生产速度增加25/小时,18,1,5,<25>,,
10121,4,1012,,中级伐木效率,config/town_skill/icon_fmc.png,5,在伐木场中生效，使得生产速度增加10/小时,6,1,1,<10>,,
10122,4,1012,,中级伐木效率,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得生产速度增加20/小时,9,1,2,<20>,,
10123,4,1012,,中级伐木效率,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得生产速度增加30/小时,12,1,3,<30>,,
10124,4,1012,,中级伐木效率,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得生产速度增加40/小时,15,1,4,<40>,,
10125,4,1012,,中级伐木效率,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得生产速度增加50/小时,18,1,5,<50>,,
10131,4,1013,,高级伐木效率,config/town_skill/icon_fmc.png,4,在伐木场中生效，使得生产速度增加15/小时,6,1,1,<15>,,
10132,4,1013,,高级伐木效率,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得生产速度增加30/小时,9,1,2,<30>,,
10133,4,1013,,高级伐木效率,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得生产速度增加45/小时,12,1,3,<45>,,
10134,4,1013,,高级伐木效率,config/town_skill/icon_fmc.png,10,在伐木场中生效，使得生产速度增加60/小时,15,1,4,<60>,,
10135,4,1013,,高级伐木效率,config/town_skill/icon_fmc.png,12,在伐木场中生效，使得生产速度增加75/小时,18,1,5,<75>,,
10211,5,1021,,初级加工效率,config/town_skill/icon_tgw.png,5,在甜品站中生效，使得生产速度增加2/小时,6,1,1,<2>,,
10212,5,1021,,初级加工效率,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得生产速度增加4/小时,9,1,2,<4>,,
10213,5,1021,,初级加工效率,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得生产速度增加6/小时,12,1,3,<6>,,
10214,5,1021,,初级加工效率,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得生产速度增加8/小时,15,1,4,<8>,,
10215,5,1021,,初级加工效率,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得生产速度增加10/小时,18,1,5,<10>,,
10221,5,1022,,中级加工效率,config/town_skill/icon_tgw.png,5,在甜品站中生效，使得生产速度增加4/小时,6,1,1,<4>,,
10222,5,1022,,中级加工效率,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得生产速度增加8/小时,9,1,2,<8>,,
10223,5,1022,,中级加工效率,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得生产速度增加12/小时,12,1,3,<12>,,
10224,5,1022,,中级加工效率,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得生产速度增加16/小时,15,1,4,<16>,,
10225,5,1022,,中级加工效率,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得生产速度增加20/小时,18,1,5,<20>,,
10231,5,1023,,高级加工效率,config/town_skill/icon_tgw.png,4,在甜品站中生效，使得生产速度增加6/小时,6,1,1,<6>,,
10232,5,1023,,高级加工效率,config/town_skill/icon_tgw.png,6,在甜品站中生效，使得生产速度增加12/小时,9,1,2,<12>,,
10233,5,1023,,高级加工效率,config/town_skill/icon_tgw.png,8,在甜品站中生效，使得生产速度增加18/小时,12,1,3,<18>,,
10234,5,1023,,高级加工效率,config/town_skill/icon_tgw.png,10,在甜品站中生效，使得生产速度增加24/小时,15,1,4,<24>,,
10235,5,1023,,高级加工效率,config/town_skill/icon_tgw.png,12,在甜品站中生效，使得生产速度增加30/小时,18,1,5,<30>,,
10311,3,1031,,初级炼金效率,config/town_skill/icon_ylc.png,5,在炼金厂中生效，使得生产速度增加1%/小时,6,1,1,<1.0%>,,
10312,3,1031,,初级炼金效率,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得生产速度增加2%/小时,9,1,2,<2.0%>,,
10313,3,1031,,初级炼金效率,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得生产速度增加3%/小时,12,1,3,<3.0%>,,
10314,3,1031,,初级炼金效率,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得生产速度增加4%/小时,15,1,4,<4.0%>,,
10315,3,1031,,初级炼金效率,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得生产速度增加5%/小时,18,1,5,<5.0%>,,
10321,3,1032,,中级炼金效率,config/town_skill/icon_ylc.png,5,在炼金厂中生效，使得生产速度增加1.5%/小时,6,1,1,<1.5%>,,
10322,3,1032,,中级炼金效率,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得生产速度增加3%/小时,9,1,2,<3.0%>,,
10323,3,1032,,中级炼金效率,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得生产速度增加4.5%/小时,12,1,3,<4.5%>,,
10324,3,1032,,中级炼金效率,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得生产速度增加6%/小时,15,1,4,<6.0%>,,
10325,3,1032,,中级炼金效率,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得生产速度增加7.5%/小时,18,1,5,<7.5%>,,
10331,3,1033,,高级炼金效率,config/town_skill/icon_ylc.png,4,在炼金厂中生效，使得生产速度增加2%/小时,6,1,1,<2.0%>,,
10332,3,1033,,高级炼金效率,config/town_skill/icon_ylc.png,6,在炼金厂中生效，使得生产速度增加4%/小时,9,1,2,<4.0%>,,
10333,3,1033,,高级炼金效率,config/town_skill/icon_ylc.png,8,在炼金厂中生效，使得生产速度增加6%/小时,12,1,3,<6.0%>,,
10334,3,1033,,高级炼金效率,config/town_skill/icon_ylc.png,10,在炼金厂中生效，使得生产速度增加8%/小时,15,1,4,<8.0%>,,
10335,3,1033,,高级炼金效率,config/town_skill/icon_ylc.png,12,在炼金厂中生效，使得生产速度增加10%/小时,18,1,5,<10.0%>,,
10411,4,1041,,初级伐木效率,config/town_skill/icon_fmc.png,5,在伐木场中生效，使得生产速度增加1%/小时,6,1,1,<1.0%>,,
10412,4,1041,,初级伐木效率,config/town_skill/icon_fmc.png,6,在伐木场中生效，使得生产速度增加2%/小时,9,1,2,<2.0%>,,
10413,4,1041,,初级伐木效率,config/town_skill/icon_fmc.png,8,在伐木场中生效，使得生产速度增加3%/小时,12,1,3,<3.0%>,,
