变量名,vipWeight,position,limitType,endDate,beginDate,vipStart,showUnable,limitTimes,itemCount,itemWeightMap,costMap,levelRange,centerBuildingFilterRange,centerBuildingRange,languages,sortWeight
默认值,1,0,0,20990101,0,0,FALSE,0,0,{},{coin3=0},<1;100>,<1;150>,<1;100>,<cn;tw;en;en_us;en_eu;vn;th;kr>,0
ID,VIP权重,显示位置,限购类型(0不限1日2周3月4永久),结束日期YYYYMMDD,开始日期YYYYMMDD,VIP等级要求,不满足时是否显示,限购次数,物品数量,物品权重{ID=权重},购买消耗{货币=数量},等级范围<min;max>,城镇中心过滤范围,城镇中心等级范围<min;max>,语言限制,sortWeight
101,100,,,,,,,,5,{21931=10},{535=2500},<150;150>,,<1;150>,,
102,100,1,,,,,TRUE,,5,{21911=10},{535=2500},<150;150>,,<5;150>,,
103,100,2,,,,,TRUE,,5,{21921=10},{535=3200},<150;150>,,<7;150>,,
104,100,3,,,,,,,5,{23591=10},{535=1800},<150;150>,,<1;150>,,
105,100,4,,,,,,,100,{529=10},{535=600},<150;150>,,<1;150>,,
106,100,5,,,,,,,20,{5000=10},{535=1000},<150;150>,,<1;150>,,
107,100,6,,,,,,,20,{930=10},{535=1000},<150;150>,,<1;150>,,
108,100,7,,,,,,,10,{514=10},{535=600},<150;150>,,<1;150>,,
1010,100,,3,,,,TRUE,30,3,{20381=1},{coin16=600},<1;150>,,<1;150>,,
1020,100,1,3,,,,TRUE,30,3,{20501=1},{coin16=600},<1;150>,,<1;150>,,1
1030,100,2,3,,,,TRUE,30,3,{20611=1},{coin16=800},<1;150>,,<7;150>,,2
1040,100,3,3,,,,TRUE,30,3,{23681=1},{coin16=800},<1;150>,,<9;150>,,3
1042,100,16,3,,,,TRUE,30,3,{24141=1},{coin16=800},<1;150>,,<12;150>,,4
1044,100,17,3,,,,TRUE,30,3,{24061=1},{coin16=800},<1;150>,,<12;150>,,5
1050,100,4,3,,,,TRUE,5,1,{8811=1},{coin16=300},<1;150>,,<1;150>,,6
1060,100,5,3,,,,TRUE,2,1,{8812=1},{coin16=1200},<1;150>,,<1;150>,,7
1070,100,6,3,,,,TRUE,1,1,{8813=1},{coin16=3000},<1;150>,,<9;150>,,8
1080,100,7,4,,,,TRUE,1,1,{2526=1},{coin16=5000},<1;150>,,<1;150>,,9
1090,100,8,3,,,,TRUE,15,1,{22381=1},{coin16=1200},<1;150>,,<12;150>,,10
1100,100,13,3,,,,TRUE,30,3,{91311=1},{coin16=600},<85;150>,,<5;150>,<cn;tw;en_us>,15
1110,100,14,3,,,,TRUE,30,3,{91171=1},{coin16=600},<85;150>,,<7;150>,<cn;tw;en_us>,16
2101,100,9,,,,,TRUE,,1760,{8202=1},{rmb=80},<1;150>,<1;5>,<1;150>,,11
2102,100,9,,,,,TRUE,,2030,{8202=1},{rmb=80},<1;150>,<6;6>,<1;150>,,11
2103,100,9,,,,,TRUE,,2580,{8202=1},{rmb=80},<1;150>,<7;7>,<1;150>,,11
2104,100,9,,,,,TRUE,,3110,{8202=1},{rmb=80},<1;150>,<8;8>,<1;150>,,11
2105,100,9,,,,,TRUE,,3600,{8202=1},{rmb=80},<1;150>,<9;9>,<1;150>,,11
2106,100,9,,,,,TRUE,,4060,{8202=1},{rmb=80},<1;150>,<10;10>,<1;150>,,11
2107,100,9,,,,,TRUE,,4490,{8202=1},{rmb=80},<1;150>,<11;11>,<1;150>,,11
2108,100,9,,,,,TRUE,,5410,{8202=1},{rmb=80},<1;150>,<12;12>,<1;150>,,11
2109,100,9,,,,,TRUE,,6270,{8202=1},{rmb=80},<1;150>,<13;13>,<1;150>,,11
2110,100,9,,,,,TRUE,,7070,{8202=1},{rmb=80},<1;150>,<14;14>,<1;150>,,11
2111,100,9,,,,,TRUE,,7800,{8202=1},{rmb=80},<1;150>,<15;15>,<1;150>,,11
2112,100,9,,,,,TRUE,,8470,{8202=1},{rmb=80},<1;150>,<16;16>,<1;150>,,11
2113,100,9,,,,,TRUE,,9970,{8202=1},{rmb=80},<1;150>,<17;17>,<1;150>,,11
2114,100,9,,,,,TRUE,,11340,{8202=1},{rmb=80},<1;150>,<18;18>,<1;150>,,11
2115,100,9,,,,,TRUE,,12580,{8202=1},{rmb=80},<1;150>,<19;19>,<1;150>,,11
2116,100,9,,,,,TRUE,,13700,{8202=1},{rmb=80},<1;150>,<20;20>,<1;150>,,11
2117,100,9,,,,,TRUE,,3520,{8202=1},{rmb=160},<1;150>,<1;5>,<1;150>,,11
2118,100,9,,,,,TRUE,,4060,{8202=1},{rmb=160},<1;150>,<6;6>,<1;150>,,11
2119,100,9,,,,,TRUE,,5160,{8202=1},{rmb=160},<1;150>,<7;7>,<1;150>,,11
2120,100,9,,,,,TRUE,,6220,{8202=1},{rmb=160},<1;150>,<8;8>,<1;150>,,11
2121,100,9,,,,,TRUE,,7200,{8202=1},{rmb=160},<1;150>,<9;9>,<1;150>,,11
2122,100,9,,,,,TRUE,,8120,{8202=1},{rmb=160},<1;150>,<10;10>,<1;150>,,11
2123,100,9,,,,,TRUE,,8980,{8202=1},{rmb=160},<1;150>,<11;11>,<1;150>,,11
2124,100,9,,,,,TRUE,,10820,{8202=1},{rmb=160},<1;150>,<12;12>,<1;150>,,11
2125,100,9,,,,,TRUE,,12540,{8202=1},{rmb=160},<1;150>,<13;13>,<1;150>,,11
2126,100,9,,,,,TRUE,,14140,{8202=1},{rmb=160},<1;150>,<14;14>,<1;150>,,11
2127,100,9,,,,,TRUE,,15600,{8202=1},{rmb=160},<1;150>,<15;15>,<1;150>,,11
2128,100,9,,,,,TRUE,,16940,{8202=1},{rmb=160},<1;150>,<16;16>,<1;150>,,11
2129,100,9,,,,,TRUE,,19940,{8202=1},{rmb=160},<1;150>,<17;17>,<1;150>,,11
2130,100,9,,,,,TRUE,,22680,{8202=1},{rmb=160},<1;150>,<18;18>,<1;150>,,11
2131,100,9,,,,,TRUE,,25160,{8202=1},{rmb=160},<1;150>,<19;19>,<1;150>,,11
2132,100,9,,,,,TRUE,,27400,{8202=1},{rmb=160},<1;150>,<20;20>,<1;150>,,11
2201,100,10,,,,,TRUE,,1760,{8203=1},{rmb=80},<1;150>,<1;5>,<1;150>,,12
2202,100,10,,,,,TRUE,,2030,{8203=1},{rmb=80},<1;150>,<6;6>,<1;150>,,12
2203,100,10,,,,,TRUE,,2580,{8203=1},{rmb=80},<1;150>,<7;7>,<1;150>,,12
2204,100,10,,,,,TRUE,,3110,{8203=1},{rmb=80},<1;150>,<8;8>,<1;150>,,12
2205,100,10,,,,,TRUE,,3600,{8203=1},{rmb=80},<1;150>,<9;9>,<1;150>,,12
2206,100,10,,,,,TRUE,,4060,{8203=1},{rmb=80},<1;150>,<10;10>,<1;150>,,12
2207,100,10,,,,,TRUE,,4490,{8203=1},{rmb=80},<1;150>,<11;11>,<1;150>,,12
2208,100,10,,,,,TRUE,,5410,{8203=1},{rmb=80},<1;150>,<12;12>,<1;150>,,12
2209,100,10,,,,,TRUE,,6270,{8203=1},{rmb=80},<1;150>,<13;13>,<1;150>,,12
2210,100,10,,,,,TRUE,,7070,{8203=1},{rmb=80},<1;150>,<14;14>,<1;150>,,12
2211,100,10,,,,,TRUE,,7800,{8203=1},{rmb=80},<1;150>,<15;15>,<1;150>,,12
2212,100,10,,,,,TRUE,,8470,{8203=1},{rmb=80},<1;150>,<16;16>,<1;150>,,12
2213,100,10,,,,,TRUE,,9970,{8203=1},{rmb=80},<1;150>,<17;17>,<1;150>,,12
2214,100,10,,,,,TRUE,,11340,{8203=1},{rmb=80},<1;150>,<18;18>,<1;150>,,12
2215,100,10,,,,,TRUE,,12580,{8203=1},{rmb=80},<1;150>,<19;19>,<1;150>,,12
2216,100,10,,,,,TRUE,,13700,{8203=1},{rmb=80},<1;150>,<20;20>,<1;150>,,12
2217,100,10,,,,,TRUE,,3520,{8203=1},{rmb=160},<1;150>,<1;5>,<1;150>,,12
2218,100,10,,,,,TRUE,,4060,{8203=1},{rmb=160},<1;150>,<6;6>,<1;150>,,12
2219,100,10,,,,,TRUE,,5160,{8203=1},{rmb=160},<1;150>,<7;7>,<1;150>,,12
2220,100,10,,,,,TRUE,,6220,{8203=1},{rmb=160},<1;150>,<8;8>,<1;150>,,12
2221,100,10,,,,,TRUE,,7200,{8203=1},{rmb=160},<1;150>,<9;9>,<1;150>,,12
2222,100,10,,,,,TRUE,,8120,{8203=1},{rmb=160},<1;150>,<10;10>,<1;150>,,12
2223,100,10,,,,,TRUE,,8980,{8203=1},{rmb=160},<1;150>,<11;11>,<1;150>,,12
2224,100,10,,,,,TRUE,,10820,{8203=1},{rmb=160},<1;150>,<12;12>,<1;150>,,12
2225,100,10,,,,,TRUE,,12540,{8203=1},{rmb=160},<1;150>,<13;13>,<1;150>,,12
2226,100,10,,,,,TRUE,,14140,{8203=1},{rmb=160},<1;150>,<14;14>,<1;150>,,12
2227,100,10,,,,,TRUE,,15600,{8203=1},{rmb=160},<1;150>,<15;15>,<1;150>,,12
2228,100,10,,,,,TRUE,,16940,{8203=1},{rmb=160},<1;150>,<16;16>,<1;150>,,12
2229,100,10,,,,,TRUE,,19940,{8203=1},{rmb=160},<1;150>,<17;17>,<1;150>,,12
2230,100,10,,,,,TRUE,,22680,{8203=1},{rmb=160},<1;150>,<18;18>,<1;150>,,12
2231,100,10,,,,,TRUE,,25160,{8203=1},{rmb=160},<1;150>,<19;19>,<1;150>,,12
2232,100,10,,,,,TRUE,,27400,{8203=1},{rmb=160},<1;150>,<20;20>,<1;150>,,12
2301,100,11,,,,,TRUE,,1760,{8203=1},{rmb=80},<1;150>,<1;5>,<1;150>,,13
2302,100,11,,,,,TRUE,,2030,{8203=1},{rmb=80},<1;150>,<6;6>,<1;150>,,13
2303,100,11,,,,,TRUE,,2580,{8203=1},{rmb=80},<1;150>,<7;7>,<1;150>,,13
2304,100,11,,,,,TRUE,,3110,{8203=1},{rmb=80},<1;150>,<8;8>,<1;150>,,13
2305,100,11,,,,,TRUE,,3600,{8203=1},{rmb=80},<1;150>,<9;9>,<1;150>,,13
2306,100,11,,,,,TRUE,,4060,{8203=1},{rmb=80},<1;150>,<10;10>,<1;150>,,13
2307,100,11,,,,,TRUE,,4490,{8203=1},{rmb=80},<1;150>,<11;11>,<1;150>,,13
2308,100,11,,,,,TRUE,,5410,{8203=1},{rmb=80},<1;150>,<12;12>,<1;150>,,13
2309,100,11,,,,,TRUE,,6270,{8203=1},{rmb=80},<1;150>,<13;13>,<1;150>,,13
2310,100,11,,,,,TRUE,,7070,{8203=1},{rmb=80},<1;150>,<14;14>,<1;150>,,13
2311,100,11,,,,,TRUE,,7800,{8203=1},{rmb=80},<1;150>,<15;15>,<1;150>,,13
2312,100,11,,,,,TRUE,,8470,{8203=1},{rmb=80},<1;150>,<16;16>,<1;150>,,13
2313,100,11,,,,,TRUE,,9970,{8203=1},{rmb=80},<1;150>,<17;17>,<1;150>,,13
2314,100,11,,,,,TRUE,,11340,{8203=1},{rmb=80},<1;150>,<18;18>,<1;150>,,13
2315,100,11,,,,,TRUE,,12580,{8203=1},{rmb=80},<1;150>,<19;19>,<1;150>,,13
2316,100,11,,,,,TRUE,,13700,{8203=1},{rmb=80},<1;150>,<20;20>,<1;150>,,13
2317,100,11,,,,,TRUE,,3520,{8203=1},{rmb=160},<1;150>,<1;5>,<1;150>,,13
2318,100,11,,,,,TRUE,,4060,{8203=1},{rmb=160},<1;150>,<6;6>,<1;150>,,13
2319,100,11,,,,,TRUE,,5160,{8203=1},{rmb=160},<1;150>,<7;7>,<1;150>,,13
2320,100,11,,,,,TRUE,,6220,{8203=1},{rmb=160},<1;150>,<8;8>,<1;150>,,13
2321,100,11,,,,,TRUE,,7200,{8203=1},{rmb=160},<1;150>,<9;9>,<1;150>,,13
2322,100,11,,,,,TRUE,,8120,{8203=1},{rmb=160},<1;150>,<10;10>,<1;150>,,13
2323,100,11,,,,,TRUE,,8980,{8203=1},{rmb=160},<1;150>,<11;11>,<1;150>,,13
2324,100,11,,,,,TRUE,,10820,{8203=1},{rmb=160},<1;150>,<12;12>,<1;150>,,13
2325,100,11,,,,,TRUE,,12540,{8203=1},{rmb=160},<1;150>,<13;13>,<1;150>,,13
2326,100,11,,,,,TRUE,,14140,{8203=1},{rmb=160},<1;150>,<14;14>,<1;150>,,13
2327,100,11,,,,,TRUE,,15600,{8203=1},{rmb=160},<1;150>,<15;15>,<1;150>,,13
2328,100,11,,,,,TRUE,,16940,{8203=1},{rmb=160},<1;150>,<16;16>,<1;150>,,13
2329,100,11,,,,,TRUE,,19940,{8203=1},{rmb=160},<1;150>,<17;17>,<1;150>,,13
2330,100,11,,,,,TRUE,,22680,{8203=1},{rmb=160},<1;150>,<18;18>,<1;150>,,13
2331,100,11,,,,,TRUE,,25160,{8203=1},{rmb=160},<1;150>,<19;19>,<1;150>,,13
2332,100,11,,,,,TRUE,,27400,{8203=1},{rmb=160},<1;150>,<20;20>,<1;150>,,13
2400,100,12,,,,,TRUE,,1760,{8202=1},{rmb=80},<1;150>,<1;5>,<1;150>,,14
2401,100,12,,,,,TRUE,,2030,{8202=1},{rmb=80},<1;150>,<6;6>,<1;150>,,14
2402,100,12,,,,,TRUE,,2580,{8202=1},{rmb=80},<1;150>,<7;7>,<1;150>,,14
2403,100,12,,,,,TRUE,,3110,{8202=1},{rmb=80},<1;150>,<8;8>,<1;150>,,14
2404,100,12,,,,,TRUE,,3600,{8202=1},{rmb=80},<1;150>,<9;9>,<1;150>,,14
2405,100,12,,,,,TRUE,,4060,{8202=1},{rmb=80},<1;150>,<10;10>,<1;150>,,14
2406,100,12,,,,,TRUE,,4490,{8202=1},{rmb=80},<1;150>,<11;11>,<1;150>,,14
2407,100,12,,,,,TRUE,,5410,{8202=1},{rmb=80},<1;150>,<12;12>,<1;150>,,14
2408,100,12,,,,,TRUE,,6270,{8202=1},{rmb=80},<1;150>,<13;13>,<1;150>,,14
2409,100,12,,,,,TRUE,,7070,{8202=1},{rmb=80},<1;150>,<14;14>,<1;150>,,14
2410,100,12,,,,,TRUE,,7800,{8202=1},{rmb=80},<1;150>,<15;15>,<1;150>,,14
2411,100,12,,,,,TRUE,,8470,{8202=1},{rmb=80},<1;150>,<16;16>,<1;150>,,14
2412,100,12,,,,,TRUE,,9970,{8202=1},{rmb=80},<1;150>,<17;17>,<1;150>,,14
2413,100,12,,,,,TRUE,,11340,{8202=1},{rmb=80},<1;150>,<18;18>,<1;150>,,14
2414,100,12,,,,,TRUE,,12580,{8202=1},{rmb=80},<1;150>,<19;19>,<1;150>,,14
2415,100,12,,,,,TRUE,,13700,{8202=1},{rmb=80},<1;150>,<20;20>,<1;150>,,14
2416,100,12,,,,,TRUE,,3520,{8202=1},{rmb=160},<1;150>,<1;5>,<1;150>,,14
2417,100,12,,,,,TRUE,,4060,{8202=1},{rmb=160},<1;150>,<6;6>,<1;150>,,14
2418,100,12,,,,,TRUE,,5160,{8202=1},{rmb=160},<1;150>,<7;7>,<1;150>,,14
2419,100,12,,,,,TRUE,,6220,{8202=1},{rmb=160},<1;150>,<8;8>,<1;150>,,14
2420,100,12,,,,,TRUE,,7200,{8202=1},{rmb=160},<1;150>,<9;9>,<1;150>,,14
2421,100,12,,,,,TRUE,,8120,{8202=1},{rmb=160},<1;150>,<10;10>,<1;150>,,14
2422,100,12,,,,,TRUE,,8980,{8202=1},{rmb=160},<1;150>,<11;11>,<1;150>,,14
2423,100,12,,,,,TRUE,,10820,{8202=1},{rmb=160},<1;150>,<12;12>,<1;150>,,14
